,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,David Ferrer,F,7-5 6-1,Guillermo Coria,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
1,H2H 6-2,Luis Horna,SF,6-2 6-2,Guillermo Coria,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
2,H2H 5-3,Ruben Ramirez Hidalgo,SF,6-7(2) 6-3 6-4,David Ferrer,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
3,H2H 2-0,Juan Carlos Ferrero,QF,6-1 7-6(1),Luis Horna,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
4,H2H 2-0,Olivier Mutis,QF,6-3 6-4,Guillermo Coria,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
5,H2H 1-0,Andreas Vinciguerra,QF,6-1 6-2,David Ferrer,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
6,H2H 5-1,Galo Blanco,QF,6-7(7) 6-4 6-0,Ruben Ramirez Hidalgo,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
7,H2H 1-0,Frantisek Cermak,R16,4-6 7-5 6-2,Juan Carlos Ferrero,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
8,H2H 3-1,Dominik Hrbaty,R16,6-3 6-1,Luis Horna,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
9,H2H 3-0,Christophe Rochus,R16,6-1 6-0,Guillermo Coria,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
10,H2H 2-0,Marc-Kevin Goellner,R16,6-4 6-2,Olivier Mutis,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
11,H2H 2-0,David Sanchez-Munoz,R16,6-3 6-4,Andreas Vinciguerra,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
12,H2H 9-5,David Nalbandian,R16,6-4 4-6 6-3,David Ferrer,2003-07-28,https://matchstat.com/tennis/tournaments/m/Sopot/2003,Sopot
