,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 5-5,Jose Acasuso,0.0,1.0,5752656.0,120369.0,,2.2,Jose Acasuso,41.0,5.0,2.0,55.0,19.0,53.0,30.0,12.0,23.0,10.0,,,,,,1.0,108.0,,,2.20,1.65,F,7-5 6-0,Tommy Robredo,1.0,0.0,5752656.0,120370.0,,1.65,Tommy Robredo,67.0,8.0,5.0,53.0,31.0,55.0,39.0,25.0,16.0,11.0,,,,,,2.0,108.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
1,H2H 6-3,Albert Montanes,2.0,5.0,5752654.0,120337.0,,4.0,Albert Montanes,33.0,5.0,0.0,49.0,13.0,43.0,20.0,14.0,23.0,6.0,,,,,,1.0,92.0,,,4.00,1.30,SF,6-1 6-2,Jose Acasuso,5.0,3.0,5752654.0,120338.0,,1.303,Jose Acasuso,59.0,4.0,4.0,43.0,23.0,49.0,25.0,21.0,24.0,15.0,,,,,,2.0,92.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
2,H2H 5-1,Gilles Simon,0.0,3.0,5752655.0,120339.0,,2.7,Gilles Simon,71.0,6.0,4.0,72.0,33.0,82.0,52.0,27.0,30.0,11.0,,,,,,1.0,154.0,,,2.70,1.56,SF,6-3 7-6(4),Tommy Robredo,2.0,1.0,5752655.0,120340.0,,1.556,Tommy Robredo,83.0,9.0,6.0,82.0,44.0,72.0,51.0,27.0,21.0,12.0,,,,,,2.0,154.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
3,H2H 2-2,Martin Vassallo Arguello,3.0,2.0,5752650.0,120329.0,,2.75,Martin Vassallo Arguello,70.0,5.0,4.0,69.0,25.0,74.0,53.0,32.0,21.0,13.0,,,,,,1.0,143.0,,,2.75,1.54,QF,2-6 6-4 6-2,Albert Montanes,4.0,2.0,5752650.0,120330.0,,1.541,Albert Montanes,73.0,13.0,5.0,74.0,29.0,69.0,48.0,31.0,21.0,13.0,,,,,,2.0,143.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
4,H2H 2-2,Florian Mayer,4.0,4.0,5752651.0,120332.0,,2.1,Florian Mayer,68.0,4.0,3.0,63.0,21.0,87.0,41.0,28.0,46.0,19.0,,,,,,2.0,150.0,,,2.10,1.83,QF,7-6(4) 6-3,Jose Acasuso,2.0,2.0,5752651.0,120331.0,,1.833,Jose Acasuso,82.0,11.0,4.0,87.0,40.0,63.0,30.0,25.0,33.0,17.0,,,,,,1.0,150.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
5,H2H 4-0,Igor Andreev,1.0,2.0,5752652.0,120334.0,,1.493,Igor Andreev,59.0,5.0,1.0,65.0,19.0,65.0,39.0,23.0,26.0,17.0,,,,,,2.0,130.0,,,1.49,2.83,QF,6-4 7-5,Gilles Simon,3.0,2.0,5752652.0,120333.0,,2.83,Gilles Simon,71.0,3.0,3.0,65.0,25.0,65.0,29.0,23.0,36.0,23.0,,,,,,1.0,130.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
6,H2H 5-1,Stefan Koubek,0.0,4.0,5752653.0,120335.0,,3.75,Stefan Koubek,104.0,5.0,3.0,96.0,38.0,120.0,75.0,44.0,45.0,22.0,,,,,,1.0,216.0,,,3.75,1.33,QF,5-7 6-4 6-1,Tommy Robredo,1.0,3.0,5752653.0,120336.0,,1.328,Tommy Robredo,112.0,14.0,6.0,120.0,54.0,96.0,65.0,42.0,31.0,16.0,,,,,,2.0,216.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
7,H2H 2-0,Nikolay Davydenko,0.0,4.0,5752642.0,120309.0,,1.206,Nikolay Davydenko,65.0,3.0,2.0,59.0,21.0,74.0,46.0,26.0,28.0,18.0,,,,,,1.0,133.0,,,1.21,5.45,R16,2-6 6-3 2-1 Retired,Martin Vassallo Arguello,3.0,1.0,5752642.0,120310.0,,5.45,Martin Vassallo Arguello,68.0,11.0,2.0,74.0,30.0,59.0,41.0,30.0,18.0,8.0,,,,,,2.0,133.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
8,H2H 3-1,Mariano Zabaleta,2.0,6.0,5752643.0,120312.0,,2.05,Mariano Zabaleta,87.0,4.0,4.0,85.0,31.0,99.0,52.0,31.0,47.0,25.0,,,,,,2.0,184.0,,,2.05,1.70,R16,4-6 6-3 7-5,Albert Montanes,3.0,5.0,5752643.0,120311.0,,1.7,Albert Montanes,97.0,15.0,6.0,99.0,43.0,85.0,49.0,36.0,36.0,18.0,,,,,,1.0,184.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
9,H2H 2-1,Sergio Roitman,3.0,0.0,5752644.0,116573.0,,2.4,Sergio Roitman,47.0,2.0,1.0,54.0,15.0,53.0,39.0,24.0,14.0,8.0,,,,,,1.0,107.0,,,2.40,1.50,R16,6-4 6-4,Jose Acasuso,5.0,0.0,5752644.0,116574.0,,1.5,Jose Acasuso,60.0,5.0,3.0,53.0,21.0,54.0,30.0,22.0,24.0,17.0,,,,,,2.0,107.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
10,H2H 1-0,Olivier Patience,1.0,0.0,5752645.0,120287.0,,2.55,Olivier Patience,30.0,0.0,0.0,35.0,7.0,53.0,35.0,16.0,18.0,7.0,,,,,,1.0,88.0,,,2.55,1.45,R16,6-1 6-1,Florian Mayer,4.0,0.0,5752645.0,120288.0,,1.45,Florian Mayer,58.0,9.0,5.0,53.0,30.0,35.0,24.0,22.0,11.0,6.0,,,,,,2.0,88.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
11,H2H 2-0,Boris Pashanski,2.0,4.0,5752646.0,120289.0,,2.76,Boris Pashanski,101.0,11.0,4.0,105.0,45.0,103.0,51.0,34.0,52.0,22.0,,,,,,1.0,208.0,,5.0,2.76,1.54,R16,6-4 4-6 6-3,Gilles Simon,3.0,1.0,5752646.0,120290.0,,1.538,Gilles Simon,107.0,16.0,5.0,103.0,47.0,105.0,43.0,26.0,62.0,34.0,,,,,,2.0,208.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
12,H2H 1-0,Michal Przysiezny,6.0,4.0,5752647.0,120292.0,,7.0,Michal Przysiezny,63.0,5.0,1.0,66.0,19.0,72.0,39.0,31.0,33.0,13.0,,,,,,2.0,138.0,,,7.00,1.07,R16,7-5 6-4,Igor Andreev,7.0,0.0,5752647.0,120291.0,,1.07,Igor Andreev,75.0,8.0,3.0,72.0,28.0,66.0,49.0,33.0,17.0,14.0,,,,,,1.0,138.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
13,H2H 1-1,Kristof Vliegen,0.0,4.0,5752648.0,120314.0,,1.69,Kristof Vliegen,80.0,13.0,4.0,99.0,40.0,72.0,37.0,22.0,35.0,18.0,,,,,,2.0,171.0,,,1.69,2.35,R16,6-2 3-6 6-4,Stefan Koubek,4.0,4.0,5752648.0,120313.0,,2.35,Stefan Koubek,91.0,9.0,5.0,72.0,32.0,99.0,56.0,37.0,43.0,22.0,,,,,,1.0,171.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
14,H2H 1-0,Steve Darcis,1.0,0.0,5752649.0,120315.0,,2.75,Steve Darcis,69.0,8.0,4.0,74.0,32.0,71.0,37.0,25.0,34.0,12.0,,,,,,1.0,145.0,,,2.75,1.54,R16,1-6 6-0 7-5,Tommy Robredo,3.0,2.0,5752649.0,120316.0,,1.541,Tommy Robredo,76.0,8.0,6.0,71.0,34.0,74.0,54.0,33.0,20.0,9.0,,,,,,2.0,145.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
15,H2H 4-1,Andrei Pavel,1.0,0.0,5752626.0,120222.0,,4.0,Andrei Pavel,52.0,2.0,1.0,49.0,14.0,71.0,43.0,22.0,28.0,16.0,,,,,,2.0,120.0,,,4.00,1.30,R32,6-3 6-4,Nikolay Davydenko,2.0,1.0,5752626.0,120221.0,,1.303,Nikolay Davydenko,68.0,9.0,4.0,71.0,33.0,49.0,32.0,28.0,17.0,7.0,,,,,,1.0,120.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
16,H2H 2-0,Maximo Gonzalez,1.0,2.0,5752627.0,120224.0,,2.76,Maximo Gonzalez,62.0,4.0,3.0,68.0,21.0,74.0,55.0,34.0,19.0,7.0,,,,,,2.0,142.0,,,2.76,1.54,R32,2-6 6-3 6-2,Martin Vassallo Arguello,5.0,2.0,5752627.0,120223.0,,1.538,Martin Vassallo Arguello,80.0,7.0,4.0,74.0,33.0,68.0,51.0,35.0,17.0,12.0,,,,,,1.0,142.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
17,H2H 2-0,Diego Hartfield,4.0,2.0,5752628.0,120214.0,,2.35,Diego Hartfield,55.0,3.0,0.0,62.0,20.0,69.0,45.0,25.0,24.0,10.0,,,,,,2.0,131.0,,,2.35,1.69,R32,6-1 6-3,Albert Montanes,1.0,2.0,5752628.0,120213.0,,1.69,Albert Montanes,76.0,10.0,4.0,69.0,34.0,62.0,30.0,23.0,32.0,19.0,,,,,,1.0,131.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
18,H2H 2-2,Nicolas Almagro,0.0,4.0,5752629.0,120216.0,,1.4,Nicolas Almagro,66.0,10.0,3.0,73.0,32.0,68.0,58.0,31.0,10.0,3.0,,,,,,2.0,141.0,,,1.40,3.30,R32,6-3 7-5,Mariano Zabaleta,0.0,2.0,5752629.0,120215.0,,3.3,Mariano Zabaleta,75.0,9.0,6.0,68.0,34.0,73.0,46.0,27.0,27.0,14.0,,,,,,1.0,141.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
19,H2H 2-4,Juan Ignacio Chela,0.0,2.0,5752630.0,120225.0,,1.465,Juan Ignacio Chela,47.0,12.0,1.0,65.0,27.0,47.0,23.0,12.0,24.0,8.0,,,,,,1.0,112.0,,,1.47,2.95,R32,6-1 6-2,Sergio Roitman,1.0,0.0,5752630.0,120226.0,,2.95,Sergio Roitman,65.0,7.0,6.0,47.0,27.0,65.0,45.0,31.0,20.0,7.0,,,,,,2.0,112.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
20,H2H 1-0,Werner Eschauer,4.0,2.0,5752631.0,120218.0,,3.05,Werner Eschauer,53.0,2.0,2.0,47.0,19.0,72.0,42.0,26.0,30.0,8.0,,,,,,2.0,119.0,,,3.05,1.44,R32,6-2 6-3,Jose Acasuso,2.0,2.0,5752631.0,120217.0,,1.444,Jose Acasuso,66.0,14.0,6.0,72.0,38.0,47.0,31.0,23.0,16.0,5.0,,,,,,1.0,119.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
21,H2H 1-0,Dawid Olejniczak,6.0,2.0,5752632.0,120228.0,,4.5,Dawid Olejniczak,65.0,4.0,1.0,73.0,23.0,65.0,37.0,26.0,28.0,16.0,,,,,,2.0,138.0,,,4.50,1.26,R32,7-6(0) 6-4,Olivier Patience,3.0,7.0,5752632.0,120227.0,,1.263,Olivier Patience,73.0,3.0,2.0,65.0,23.0,73.0,41.0,31.0,32.0,19.0,,,,,,1.0,138.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
22,H2H 2-1,Juan-Pablo Brzezicki,1.0,0.0,5752633.0,120229.0,,,Juan-Pablo Brzezicki,51.0,1.0,1.0,48.0,13.0,72.0,50.0,24.0,22.0,14.0,,,,,,1.0,120.0,,,,,R32,6-3 6-3,Florian Mayer,1.0,1.0,5752633.0,120230.0,,,Florian Mayer,69.0,12.0,4.0,72.0,34.0,48.0,29.0,23.0,19.0,12.0,,,,,,2.0,120.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
23,H2H 2-1,Potito Starace,2.0,1.0,5752634.0,120231.0,,1.543,Potito Starace,60.0,2.0,1.0,62.0,13.0,83.0,64.0,36.0,19.0,11.0,,,,,,1.0,145.0,,,1.54,2.74,R32,6-7(4) 6-2 3-1 Retired,Boris Pashanski,5.0,1.0,5752634.0,120232.0,,2.74,Boris Pashanski,85.0,7.0,4.0,83.0,36.0,62.0,42.0,36.0,20.0,13.0,,,,,,2.0,145.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
24,H2H 6-1,Viktor Troicki,1.0,3.0,5752635.0,120234.0,,3.1,Viktor Troicki,53.0,4.0,2.0,58.0,22.0,68.0,37.0,19.0,31.0,12.0,,,,,,2.0,126.0,,,3.10,1.44,R32,6-0 7-6(6),Gilles Simon,3.0,0.0,5752635.0,120233.0,,1.435,Gilles Simon,73.0,6.0,5.0,68.0,37.0,58.0,30.0,23.0,28.0,13.0,,,,,,1.0,126.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
25,H2H 2-0,Nicolas Lapentti,0.0,1.0,5752636.0,120839.0,,4.6,Nicolas Lapentti,45.0,4.0,0.0,57.0,18.0,53.0,32.0,18.0,21.0,9.0,,,,,,1.0,110.0,,,4.60,1.25,R32,6-0 6-4,Igor Andreev,2.0,2.0,5752636.0,120840.0,,1.25,Igor Andreev,65.0,8.0,4.0,53.0,26.0,57.0,43.0,30.0,14.0,9.0,,,,,,2.0,110.0,,,2007-07-30,https://matchstat.com/tennis/tournaments/m/Sopot/2007,Sopot
