,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-3,Brad Gilbert,F,7-6 4-6 2-6 6-0 6-1,Pat Cash,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
1,H2H 3-0,Amos Mansdorf,SF,6-3 7-6,Pat Cash,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
2,H2H 2-3,Andres Gomez,SF,6-4 6-1,Brad Gilbert,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
3,H2H 5-2,Kevin Curren,QF,2-6 6-3 6-4,Pat Cash,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
4,H2H 3-1,Francesco Cancellotti,QF,0-6 6-3 6-3,Amos Mansdorf,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
5,H2H 3-2,Jakob Hlasek,QF,WO,Brad Gilbert,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
6,H2H 1-1,Gary Muller,QF,6-1 6-3,Andres Gomez,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
7,H2H 1-0,Matt Anger,R16,6-3 6-2,Pat Cash,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
8,H2H 5-0,Tim Wilkison,R16,6-4 6-4,Kevin Curren,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
9,H2H 2-0,David Pate,R16,5-7 7-6 6-3,Francesco Cancellotti,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
10,H2H 5-1,Richey Reneberg,R16,6-4 6-4,Amos Mansdorf,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
11,H2H 1-0,Simon Youl,R16,WO,Jakob Hlasek,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
12,H2H 2-0,Pieter Aldrich,R16,6-2 6-1,Brad Gilbert,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
13,H2H 1-0,Henri Leconte,R16,6-4 6-4,Gary Muller,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
14,H2H 3-2,Guy Forget,R16,6-2 6-4,Andres Gomez,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
15,H2H 1-0,Michael Robertson,R32,6-2 6-2,Pat Cash,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
16,H2H 1-0,Eddie Edwards,R32,6-4 7-5,Matt Anger,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
17,H2H 8-2,Scott Davis,R32,6-4 4-6 7-5,Kevin Curren,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
18,H2H 1-0,Craig Campbell,R32,6-4 4-6 6-3,Tim Wilkison,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
19,H2H 2-0,Carl Limberger,R32,6-1 7-6,David Pate,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
20,H2H 1-0,Rick Leach,R32,6-4 6-3,Francesco Cancellotti,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
21,H2H 1-0,Barry Moir,R32,7-5 6-1,Richey Reneberg,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
22,H2H 4-0,Christo Steyn,R32,7-6 6-2,Amos Mansdorf,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
23,H2H 1-2,Jim Courier,R32,6-2 6-2,Jakob Hlasek,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
24,H2H 2-0,Neil Broad,R32,7-6 6-7 7-6,Simon Youl,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
25,H2H 2-0,Johan Kriek,R32,6-3 7-5,Pieter Aldrich,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
26,H2H 2-0,Michael Westphal,R32,6-2 6-0,Brad Gilbert,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
27,H2H 1-0,Marius Barnard,R32,6-4 4-6 6-4,Henri Leconte,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
28,H2H 2-0,Mark Woodforde,R32,5-7 6-4 6-4,Gary Muller,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
29,H2H 2-1,Kelly Jones,R32,6-3 6-4,Guy Forget,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
30,H2H 5-0,Danie Visser,R32,6-1 7-5,Andres Gomez,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
31,,E Korita / B Pearce,F,6-4 6-4,K Curren / D Pate,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
32,,J Kriek / L Warder,SF,6-4 2-6 6-4,E Korita / B Pearce,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
33,,P Cash / J Hlasek,SF,7-5 6-4,K Curren / D Pate,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
34,,C Limberger / M Robertson,QF,6-4 5-7 6-3,E Korita / B Pearce,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
35,,C Steyn / D Visser,QF,6-4 6-4,J Kriek / L Warder,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
36,,S Davis / G Muller,QF,6-3 6-4,P Cash / J Hlasek,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
37,,R Baxter / K Jones,QF,6-4 7-6,K Curren / D Pate,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
38,,G Forget / C Van Rensburg,R16,7-5 4-6 6-3,E Korita / B Pearce,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
39,,N Broad / S Kruger,R16,7-6 6-2,C Limberger / M Robertson,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
40,,R Leach / T Pawsat,R16,6-2 6-3,J Kriek / L Warder,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
41,,M Anger / T Wilkison,R16,6-4 6-7 6-4,C Steyn / D Visser,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
42,,S Denton / J Fitzgerald,R16,2-6 7-6 6-4,S Davis / G Muller,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
43,,A Gomez / H Leconte,R16,7-6 6-4,P Cash / J Hlasek,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
44,,E Edwards / F Gonzalez,R16,6-3 7-6,R Baxter / K Jones,1987-11-16,https://matchstat.com/tennis/tournaments/m/South%20African%20Open/1987,South African Open
