,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-4,Roscoe Tanner,F,6-4 6-2,I. Nastase,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
1,H2H 4-3,Balazs Taroczy,SF,2-6 6-1 6-2,I. Nastase,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
2,H2H 3-0,Onny Parun,SF,7-6 6-3,Roscoe Tanner,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
3,H2H 2-1,Vijay Amritraj,QF,7-6 6-3,I. Nastase,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
4,H2H 5-4,Christopher Mottram,QF,7-6 6-3,Balazs Taroczy,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
5,H2H 1-1,Bernie Mitton,QF,7-6 6-4,Onny Parun,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
6,H2H 3-0,Z. Franulovic,QF,6-2 3-6 7-6,Roscoe Tanner,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
7,H2H 3-1,Colin Dibley,R16,6-4 6-3,I. Nastase,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
8,H2H 1-0,Larry Gottfried,R16,6-1 2-6 6-3,Vijay Amritraj,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
9,H2H 1-5,Vitas Gerulaitis,R16,6-2 2-6 6-4,Balazs Taroczy,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
10,H2H 3-0,Ray Moore,R16,6-4 6-1,Christopher Mottram,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
11,H2H 1-0,John McEnroe,R16,7-6 6-1,Onny Parun,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
12,H2H 1-0,Julian Ganzabal,R16,6-2 6-2,Bernie Mitton,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
13,H2H 1-0,Dick Stockton,R16,3-6 6-1 7-6,Z. Franulovic,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
14,H2H 1-0,Tim Noonan,R16,6-2 6-1,Roscoe Tanner,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
15,H2H 1-0,John Lloyd,R32,6-1 6-3,I. Nastase,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
16,H2H 1-0,Eric Friedler,R32,6-2 2-6 7-5,Colin Dibley,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
17,H2H 1-0,Colin Dowdeswell,R32,7-6 6-3,Vijay Amritraj,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
18,H2H 1-0,Alvin Gardiner,R32,7-5 5-7 6-3,Larry Gottfried,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
19,H2H 1-2,M. Riessen,R32,6-1 6-3,Vitas Gerulaitis,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
20,H2H 1-1,Fred McNair,R32,6-4 6-4,Balazs Taroczy,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
21,H2H 2-0,Alex Metreveli,R32,6-3 7-6,Christopher Mottram,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
22,H2H 3-4,Peter Fleming,R32,6-4 7-6,Ray Moore,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
23,H2H 1-0,B. Phillips-Moore,R32,6-0 6-2,John McEnroe,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
24,H2H 3-1,Patrick Proisy,R32,6-3 6-7 7-5,Onny Parun,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
25,H2H 1-0,Syd Ball,R32,3-6 6-4 6-1,Julian Ganzabal,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
26,H2H 3-0,Erik Van Dillen,R32,7-6 6-2,Bernie Mitton,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
27,H2H 2-0,Byron Bertram,R32,6-4 4-0 Retired,Z. Franulovic,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
28,H2H 3-1,Billy Martin,R32,7-6 3-6 7-6,Dick Stockton,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
29,H2H 1-0,Victor Amaya,R32,3-6 6-4 7-6,Tim Noonan,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
30,H2H 2-0,Henry Bunis,R32,6-4 6-2,Roscoe Tanner,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
31,,V Gerulaitis / I Nastase,F,7-5 4-6 6-2,F McNair / M Riessen,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
32,,C Dowdeswell / C Kachel,SF,3-6 7-6 7-5,F McNair / M Riessen,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
33,,A Amritraj / V Amritraj,SF,7-6 7-5,V Gerulaitis / I Nastase,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
34,,T Kakulia / A Metreveli,QF,6-0 5-7 6-3,F McNair / M Riessen,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
35,,P Fleming / B Teacher,QF,6-3 7-6,C Dowdeswell / C Kachel,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
36,,S Ball / C Dibley,QF,4-6 6-4 6-1,A Amritraj / V Amritraj,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
37,,J Lloyd / C Mottram,QF,6-2 6-3,V Gerulaitis / I Nastase,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
38,,B Bertram / B Mitton,R16,6-3 6-2,F McNair / M Riessen,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
39,,R Moore / P Proisy,R16,6-4 5-7 6-3,T Kakulia / A Metreveli,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
40,,D Stockton / R Tanner,R16,7-6 6-3,C Dowdeswell / C Kachel,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
41,,V Amaya / B Martin,R16,5-7 6-4 6-2,P Fleming / B Teacher,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
42,,N Spear / B Taroczy,R16,6-3 3-6 6-3,S Ball / C Dibley,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
43,,J Bartlett / J Feaver,R16,6-3 7-5,A Amritraj / V Amritraj,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
44,,Z Franulovic / O Parun,R16,7-6 6-1,J Lloyd / C Mottram,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
45,,B Phillips-moore / S Turner,R16,6-1 6-3,V Gerulaitis / I Nastase,1976-08-23,https://matchstat.com/tennis/tournaments/m/South%20Orange/1976,South Orange
