,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 9-1,Greg Rusedski,F,7-6 7-6,Goran Ivanisevic,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
1,H2H 5-3,Marc Rosset,SF,6-7 7-6 7-6,Greg Rusedski,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
2,H2H 3-2,Martin Sinner,SF,6-3 7-6,Goran Ivanisevic,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
3,H2H 4-1,Martin Damm,QF,6-1 6-4,Greg Rusedski,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
4,H2H 2-0,Rainer Schuettler,QF,6-2 6-2,Marc Rosset,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
5,H2H 2-1,Kenneth Carlsen,QF,5-7 6-3 7-6,Martin Sinner,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
6,H2H 3-2,Jiri Novak,QF,7-6 7-6,Goran Ivanisevic,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
7,H2H 2-0,Jan Kroslak,R16,6-4 6-3,Greg Rusedski,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
8,H2H 6-0,Jan Siemerink,R16,6-4 6-3,Martin Damm,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
9,H2H 1-0,Andrey Merinov,R16,6-1 6-0,Rainer Schuettler,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
10,H2H 2-0,Radomir Vasek,R16,6-3 6-1,Marc Rosset,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
11,H2H 1-0,Davide Sanguinetti,R16,6-2 3-6 6-3,Martin Sinner,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
12,H2H 1-1,Andrei Medvedev,R16,6-2 3-6 6-1,Kenneth Carlsen,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
13,H2H 3-0,Emilio Benfele-Alvarez,R16,6-1 7-5,Jiri Novak,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
14,H2H 9-10,Boris Becker,R16,7-6 6-7 6-4,Goran Ivanisevic,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
15,H2H 4-0,Gianluca Pozzi,R32,6-3 6-4,Greg Rusedski,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
16,H2H 2-1,Juan-Antonio Marin,R32,7-5 6-3,Jan Kroslak,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
17,H2H 1-0,Patrik Fredriksson,R32,7-6 6-1,Jan Siemerink,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
18,H2H 1-2,Javier Sanchez,R32,6-3 7-6,Martin Damm,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
19,H2H 3-3,Tim Henman,R32,6-3 1-6 6-3,Rainer Schuettler,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
20,H2H 2-0,Ionut Moldovan,R32,6-4 6-4,Andrey Merinov,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
21,H2H 1-4,Dinu-Mihai Pescariu,R32,6-4 6-4,Radomir Vasek,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
22,H2H 7-4,Renzo Furlan,R32,3-6 6-2 6-3,Marc Rosset,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
23,H2H 2-0,Thomas Johansson,R32,7-6 6-4,Martin Sinner,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
24,H2H 1-0,Alexandru Radulescu,R32,1-6 4-4 Retired,Davide Sanguinetti,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
25,H2H 1-0,Hendrik Dreekmann,R32,6-2 3-6 6-1,Kenneth Carlsen,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
26,H2H 2-0,Alex Calatrava,R32,6-7 7-6 6-3,Andrei Medvedev,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
27,H2H 5-0,Jens Knippschild,R32,6-3 6-7 7-5,Jiri Novak,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
28,H2H 2-0,Fernando Vicente,R32,6-4 6-2,Emilio Benfele-Alvarez,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
29,H2H 1-0,Fredrik Bergh,R32,6-3 7-6,Boris Becker,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
30,H2H 7-1,David Prinosil,R32,7-6 6-4,Goran Ivanisevic,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
31,,F Bergh / P Fredriksson,F,7-6 6-2,M Damm / J Novak,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
32,,T Kempers / M Oosting,SF,7-5 6-4,M Damm / J Novak,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
33,,B Becker / D Prinosil,SF,7-5 6-7 6-3,F Bergh / P Fredriksson,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
34,,G Koves / R Vasek,QF,6-2 6-4,M Damm / J Novak,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
35,,J Knippschild / T Zdrazila,QF,7-6 7-6,T Kempers / M Oosting,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
36,,D Pescariu / D Sanguinetti,QF,7-5 7-5,B Becker / D Prinosil,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
37,,S Hirszon / G Ivanisevic,QF,7-5 7-6,F Bergh / P Fredriksson,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
38,,J Dumanic / I Karlovic,R16,7-6 6-3,M Damm / J Novak,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
39,,S Noteboom / J Siemerink,R16,1-6 7-6 6-2,G Koves / R Vasek,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
40,,E Benfele-alvarez / A Calatrava,R16,7-6 6-3,T Kempers / M Oosting,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
41,,M Tudor / I Vajda,R16,6-3 7-6,J Knippschild / T Zdrazila,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
42,,I Ancic / I Ljubicic,R16,6-3 7-6,D Pescariu / D Sanguinetti,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
43,,K Kinnear / A Kitinov,R16,7-5 7-6,B Becker / D Prinosil,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
44,,S Groen / M Rosset,R16,6-3 6-4,S Hirszon / G Ivanisevic,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
45,,P Vizner / F Wibier,R16,6-2 6-4,F Bergh / P Fredriksson,1998-02-02,https://matchstat.com/tennis/tournaments/m/Split/1998,Split
