,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Mikhail Youzhny,F,7-5 6-4,Sebastien Grosjean,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
1,H2H 4-1,Karol Kucera,SF,6-3 6-2,Sebastien Grosjean,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
2,H2H 2-2,Vladimir Voltchkov,SF,6-4 6-3,Mikhail Youzhny,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
3,H2H 1-0,Gaston Gaudio,QF,2-6 6-4 6-3,Karol Kucera,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
4,H2H 7-3,Dominik Hrbaty,QF,4-6 6-3 6-2,Sebastien Grosjean,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
5,H2H 5-1,Andrei Pavel,QF,6-1 6-3,Mikhail Youzhny,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
6,H2H 2-1,Nicolas Kiefer,QF,7-5 7-5,Vladimir Voltchkov,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
7,H2H 4-3,Andre Agassi,R16,6-4 6-4,Karol Kucera,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
8,H2H 1-2,Andrei Stoliarov,R16,7-5 6-1,Gaston Gaudio,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
9,H2H 2-2,Mariano Zabaleta,R16,6-3 6-1,Sebastien Grosjean,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
10,H2H 8-4,Yevgeny Kafelnikov,R16,7-6(1) 7-5,Dominik Hrbaty,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
11,H2H 2-6,Guillermo Coria,R16,6-4 3-6 6-4,Mikhail Youzhny,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
12,H2H 3-0,Tuomas Ketola,R16,6-2 6-4,Andrei Pavel,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
13,H2H 6-1,Max Mirnyi,R16,6-3 7-5,Nicolas Kiefer,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
14,H2H 1-1,Marat Safin,R16,6-4 6-4,Vladimir Voltchkov,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
15,H2H 2-0,Radek Stepanek,R32,6-3 6-4,Andre Agassi,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
16,H2H 2-1,Feliciano Lopez,R32,6-7(6) 6-3 6-2,Karol Kucera,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
17,H2H 1-0,Antony Dupuis,R32,7-5 3-6 7-6(2),Andrei Stoliarov,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
18,H2H 1-1,Alexander Shvets,R32,7-5 7-5,Gaston Gaudio,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
19,H2H 4-0,Sargis Sargsian,R32,6-4 6-4,Sebastien Grosjean,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
20,H2H 2-2,Stefan Koubek,R32,3-6 6-2 6-4,Mariano Zabaleta,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
21,H2H 4-1,Bohdan Ulihrach,R32,3-6 6-3 6-4,Dominik Hrbaty,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
22,H2H 2-0,Michael Kohlmann,R32,7-6(4) 6-0,Yevgeny Kafelnikov,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
23,H2H 2-3,Younes El Aynaoui,R32,3-6 6-4 6-3,Mikhail Youzhny,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
24,H2H 3-2,Ivan Ljubicic,R32,6-2 6-3,Guillermo Coria,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
25,H2H 2-0,Alberto Martin,R32,6-2 6-3,Tuomas Ketola,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
26,H2H 1-1,Irakli Labadze,R32,6-1 6-3,Andrei Pavel,2002-10-21,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2002,St. Petersburg
