,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 1-0,Horacio Zeballos,1.0,2.0,5909619.0,139046.0,,2.29,Horacio Zeballos,105.0,11.0,4.0,103.0,37.0,99.0,68.0,49.0,31.0,19.0,,,,,,2.0,202.0,,,2.29,1.71,F,2-6 7-6(8) 7-6(7),Sergiy Stakhovsky,9.0,3.0,5909619.0,139045.0,,1.714,Sergiy Stakhovsky,97.0,3.0,2.0,99.0,31.0,103.0,69.0,53.0,34.0,13.0,,,,,,1.0,202.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
1,H2H 1-1,Marat Safin,10.0,3.0,5909617.0,138681.0,,1.55,Marat Safin,85.0,6.0,2.0,98.0,35.0,72.0,40.0,32.0,32.0,18.0,,,,,,1.0,170.0,,,1.55,2.40,SF,6-4 4-6 6-4,Sergiy Stakhovsky,7.0,3.0,5909617.0,138682.0,,2.4,Sergiy Stakhovsky,85.0,4.0,3.0,72.0,22.0,98.0,68.0,49.0,30.0,14.0,,,,,,2.0,170.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
2,H2H 1-0,Igor Kunitsyn,3.0,0.0,5909618.0,138684.0,,1.667,Igor Kunitsyn,65.0,2.0,1.0,74.0,25.0,59.0,41.0,30.0,18.0,10.0,,,,,,2.0,133.0,,,1.67,2.38,SF,7-6(7) 6-3,Horacio Zeballos,10.0,2.0,5909618.0,138683.0,,2.38,Horacio Zeballos,68.0,2.0,2.0,59.0,19.0,74.0,52.0,39.0,22.0,10.0,,,,,,1.0,133.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
3,H2H 1-0,Denis Istomin,4.0,0.0,5909613.0,138653.0,,3.58,Denis Istomin,54.0,2.0,2.0,51.0,15.0,76.0,55.0,32.0,21.0,7.0,,,,,,1.0,127.0,,,3.58,1.35,QF,6-0 7-6(4),Marat Safin,12.0,1.0,5909613.0,138654.0,,1.351,Marat Safin,73.0,15.0,5.0,76.0,37.0,51.0,31.0,26.0,20.0,10.0,,,,,,2.0,127.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
4,H2H 2-0,Bjorn Phau,1.0,4.0,5909614.0,138655.0,,2.88,Bjorn Phau,60.0,2.0,1.0,72.0,24.0,67.0,39.0,27.0,28.0,9.0,,,,,,1.0,139.0,,,2.88,1.49,QF,6-2 7-5,Sergiy Stakhovsky,4.0,1.0,5909614.0,138656.0,,1.488,Sergiy Stakhovsky,79.0,9.0,4.0,67.0,31.0,72.0,49.0,35.0,23.0,13.0,,,,,,2.0,139.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
5,H2H 1-0,Ernests Gulbis,18.0,4.0,5909615.0,138658.0,,1.35,Ernests Gulbis,72.0,6.0,0.0,80.0,24.0,65.0,47.0,37.0,18.0,11.0,,,,,,2.0,145.0,,,1.35,3.00,QF,7-6(8) 6-4,Horacio Zeballos,3.0,0.0,5909615.0,138657.0,,3.0,Horacio Zeballos,73.0,2.0,1.0,65.0,17.0,80.0,52.0,38.0,28.0,18.0,,,,,,1.0,145.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
6,H2H 1-1,Victor Hanescu,5.0,1.0,5909616.0,138664.0,,1.654,Victor Hanescu,96.0,9.0,2.0,99.0,33.0,95.0,78.0,55.0,17.0,8.0,,,,,,2.0,194.0,,,1.65,2.41,QF,6-3 3-6 7-6(6),Igor Kunitsyn,4.0,1.0,5909616.0,138663.0,,2.41,Igor Kunitsyn,98.0,7.0,2.0,95.0,32.0,99.0,75.0,52.0,24.0,14.0,,,,,,1.0,194.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
7,H2H 1-3,Mikhail Youzhny,3.0,1.0,5909605.0,138615.0,,1.165,Mikhail Youzhny,27.0,2.0,0.0,38.0,11.0,32.0,18.0,10.0,14.0,6.0,,,,,,1.0,70.0,,,1.17,6.19,R16,6-2 2-1 Retired,Denis Istomin,0.0,0.0,5909605.0,138616.0,,6.19,Denis Istomin,43.0,4.0,2.0,32.0,16.0,38.0,33.0,24.0,5.0,3.0,,,,,,2.0,70.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
8,H2H 2-1,Igor Andreev,0.0,0.0,5909606.0,138632.0,,2.25,Igor Andreev,32.0,0.0,0.0,31.0,10.0,37.0,29.0,20.0,8.0,2.0,,,,,,2.0,68.0,,,2.25,1.74,R16,6-3 0-1 Retired,Marat Safin,4.0,0.0,5909606.0,138631.0,,1.741,Marat Safin,36.0,3.0,1.0,37.0,15.0,31.0,17.0,15.0,14.0,6.0,,,,,,1.0,68.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
9,H2H 1-0,Karol Beck,3.0,1.0,5909607.0,138583.0,,1.588,Karol Beck,29.0,2.0,1.0,32.0,10.0,37.0,16.0,10.0,21.0,9.0,,,,,,1.0,69.0,,,1.59,2.56,R16,6-4 2-1 Retired,Bjorn Phau,1.0,1.0,5909607.0,138584.0,,2.56,Bjorn Phau,40.0,3.0,3.0,37.0,18.0,32.0,18.0,13.0,14.0,9.0,,,,,,2.0,69.0,,,2009-10-26,https://matchstat.com/tennis/tournaments/m/St.%20Petersburg/2009,St. Petersburg
