,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-1,Felix Mantilla,F,6-2 6-4,Marcelo Rios,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
1,H2H 3-0,Andrea Gaudenzi,SF,6-3 5-7 6-2,Felix Mantilla,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
2,H2H 3-1,Slava Dosedel,SF,7-6 6-3,Marcelo Rios,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
3,H2H 3-6,Thomas Muster,QF,WO,Andrea Gaudenzi,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
4,H2H 3-1,Kenneth Carlsen,QF,6-4 6-0,Felix Mantilla,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
5,H2H 1-0,Stefan Edberg,QF,6-3 6-3,Slava Dosedel,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
6,H2H 4-1,Francisco Clavet,QF,6-2 1-6 6-3,Marcelo Rios,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
7,H2H 3-0,Marc-Kevin Goellner,R16,6-7 6-4 7-6,Thomas Muster,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
8,H2H 2-0,Shuzo Matsuoka,R16,6-0 6-1,Andrea Gaudenzi,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
9,H2H 2-1,Greg Rusedski,R16,6-2 6-7 6-3,Felix Mantilla,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
10,H2H 2-0,Younes El Aynaoui,R16,6-1 6-4,Kenneth Carlsen,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
11,H2H 1-0,Stefano Pescosolido,R16,6-3 6-0,Slava Dosedel,1996-05-20,https://matchstat.com/tennis/tournaments/m/St.%20Polten/1996,St. Polten
