,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-6,Mats Wilander,F,6-2 3-6 6-2,John McEnroe,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
1,H2H 6-2,Anders Jarryd,SF,1-6 7-6 6-2,John McEnroe,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
2,H2H 4-0,Jimmy Connors,SF,6-7 6-3 6-3,Mats Wilander,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
3,H2H 10-1,Wojtek Fibak,QF,6-4 6-2,John McEnroe,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
4,H2H 6-4,Joakim Nystrom,QF,6-3 3-6 6-3,Anders Jarryd,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
5,H2H 5-1,Guy Forget,QF,7-5 6-3,Mats Wilander,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
6,H2H 7-2,Johan Kriek,QF,4-6 6-3 6-4,Jimmy Connors,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
7,H2H 5-0,Michiel Schapers,R16,6-1 6-1,John McEnroe,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
8,H2H 3-4,Sandy Mayer,R16,3-6 6-3 Retired,Wojtek Fibak,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
9,H2H 4-4,Tomas Smid,R16,6-4 6-2,Anders Jarryd,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
10,H2H 6-0,Victor Pecci,R16,5-7 6-1 7-5,Joakim Nystrom,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
11,H2H 2-1,Vijay Amritraj,R16,6-2 7-6,Guy Forget,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
12,H2H 9-2,Jan Gunnarsson,R16,6-2 6-3,Mats Wilander,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
13,H2H 1-2,Jakob Hlasek,R16,4-6 6-1 6-4,Johan Kriek,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
14,H2H 2-0,Libor Pimek,R16,6-4 6-2,Jimmy Connors,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
15,H2H 6-0,Heinz Gunthardt,R32,6-3 6-3,John McEnroe,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
16,H2H 1-1,Francesco Cancellotti,R32,6-1 2-6 6-2,Michiel Schapers,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
17,H2H 1-0,Stefan Edberg,R32,6-2 7-6,Sandy Mayer,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
18,H2H 2-0,Jimmy Arias,R32,7-6 6-2,Wojtek Fibak,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
19,H2H 4-1,Balazs Taroczy,R32,6-0 6-3,Anders Jarryd,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
20,H2H 4-1,Tim Wilkison,R32,6-4 6-4,Tomas Smid,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
21,H2H 1-1,Juan Aguilera,R32,6-3 6-3,Victor Pecci,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
22,H2H 3-1,Mel Purcell,R32,6-3 6-3,Joakim Nystrom,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
23,H2H 1-0,Henrik Sundstrom,R32,6-1 6-4,Vijay Amritraj,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
24,H2H 1-1,Jose Higueras,R32,6-2 6-3,Guy Forget,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
25,H2H 2-1,Vitas Gerulaitis,R32,6-1 4-6 6-0,Jan Gunnarsson,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
26,H2H 3-0,Michael Westphal,R32,6-3 6-2,Mats Wilander,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
27,H2H 3-0,Thomas Hogstedt,R32,7-5 7-6,Johan Kriek,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
28,H2H 1-0,Gene Mayer,R32,6-2 6-1,Jakob Hlasek,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
29,H2H 1-0,Hans Simonsson,R32,6-1 6-2,Libor Pimek,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
30,H2H 6-0,Henri Leconte,R32,3-6 6-3 6-2,Jimmy Connors,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
31,H2H 3-0,I. Nastase,R64,6-1 6-2,Heinz Gunthardt,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
32,H2H 1-0,Peter Fleming,R64,2-6 6-3 6-4,Michiel Schapers,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
33,H2H 1-0,Claudio Panatta,R64,3-6 6-2 6-3,Sandy Mayer,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
34,H2H 1-0,Martin Wostenholme,R64,7-5 6-3,Wojtek Fibak,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
35,H2H 2-0,Bernard Boileau,R64,6-2 7-5,Balazs Taroczy,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
36,H2H 2-0,Rolf Gehring,R64,6-4 3-6 7-6,Tim Wilkison,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
37,H2H 1-0,Todd Nelson,R64,7-6 7-6,Victor Pecci,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
38,H2H 1-0,Leo Palin,R64,6-4 4-6 6-0,Mel Purcell,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
39,H2H 3-1,Steve Denton,R64,7-6 6-4,Vijay Amritraj,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
40,H2H 1-1,Cassio Motta,R64,7-6 6-4,Guy Forget,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
41,H2H 3-1,Slobodan Zivojinovic,R64,6-3 6-4,Jan Gunnarsson,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
42,H2H 1-0,Shahar Perkiss,R64,6-3 6-3,Michael Westphal,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
43,H2H 1-0,Magnus Tideman,R64,6-3 6-1,Thomas Hogstedt,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
44,H2H 1-0,Matt Doyle,R64,3-6 7-6 7-6,Jakob Hlasek,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
45,H2H 2-1,Chip Hooper,R64,7-6 6-3,Hans Simonsson,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
46,H2H 1-1,Stefan Simonsson,R64,6-2 6-3,Henri Leconte,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
47,,V Amritraj / I Nastase,F,3-6 7-6 6-4,H Leconte / T Smid,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
48,,H Gunthardt / B Taroczy,SF,7-6 7-5,V Amritraj / I Nastase,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
49,,J Gunnarsson / M Mortensen,SF,6-4 6-3,H Leconte / T Smid,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
50,,G Donnelly / B Walts,QF,6-7 7-6 7-5,V Amritraj / I Nastase,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
51,,S Edberg / A Jarryd,QF,5-7 7-6 6-3,H Gunthardt / B Taroczy,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
52,,W Fibak / S Mayer,QF,WO,H Leconte / T Smid,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
53,,C Motta / H Simonsson,QF,7-5 7-6,J Gunnarsson / M Mortensen,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
54,,P Fleming / J McEnroe,R16,7-6 2-6 6-3,V Amritraj / I Nastase,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
55,,V Gerulaitis / J Kriek,R16,7-5 3-6 7-5,G Donnelly / B Walts,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
56,,J Nystrom / M Wilander,R16,6-3 3-6 6-1,S Edberg / A Jarryd,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
57,,A Hocevar / M Hocevar,R16,6-4 6-4,H Gunthardt / B Taroczy,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
58,,A Kohlberg / J Soares,R16,6-7 7-6 7-6,W Fibak / S Mayer,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
59,,M Purcell / T Wilkison,R16,6-4 7-5,H Leconte / T Smid,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
60,,J Hlasek / M Schapers,R16,7-5 7-5,J Gunnarsson / M Mortensen,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
61,,S Denton / S Stewart,R16,6-4 6-4,C Motta / H Simonsson,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
62,,R Bathman / S Svensson,R32,6-7 6-2 6-4,V Amritraj / I Nastase,1984-10-29,https://matchstat.com/tennis/tournaments/m/Stockholm/1984,Stockholm
