,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 7-0,Florian Mayer,6.0,0.0,5971593.0,150130.0,,12.5,Florian Mayer,48.0,2.0,1.0,54.0,15.0,57.0,44.0,26.0,13.0,7.0,,,,,,2.0,111.0,,,12.50,1.06,F,6-4 6-3,Roger Federer,4.0,0.0,5971593.0,150129.0,,1.06,Roger Federer,63.0,7.0,3.0,57.0,24.0,54.0,33.0,28.0,21.0,11.0,,,,,,1.0,111.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
1,H2H 13-3,Ivan Ljubicic,5.0,1.0,5971591.0,150068.0,,7.65,Ivan Ljubicic,55.0,2.0,1.0,60.0,17.0,65.0,46.0,31.0,19.0,7.0,,,,,,2.0,125.0,,,7.65,1.13,SF,7-6(5) 6-2,Roger Federer,10.0,0.0,5971591.0,150067.0,,1.125,Roger Federer,70.0,5.0,3.0,65.0,27.0,60.0,41.0,33.0,19.0,10.0,,,,,,1.0,125.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
2,H2H 4-5,Jarkko Nieminen,3.0,3.0,5971592.0,150031.0,,1.769,Jarkko Nieminen,99.0,10.0,2.0,112.0,37.0,94.0,62.0,44.0,32.0,18.0,,,,,,1.0,206.0,,,1.77,2.20,SF,4-6 6-4 7-6(3),Florian Mayer,4.0,2.0,5971592.0,150032.0,,2.2,Florian Mayer,107.0,2.0,2.0,94.0,32.0,112.0,70.0,50.0,42.0,25.0,,,,,,2.0,206.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
3,H2H 18-3,Stan Wawrinka,4.0,0.0,5971587.0,401166.0,,5.9,Stan Wawrinka,74.0,9.0,3.0,84.0,31.0,75.0,39.0,24.0,36.0,19.0,,,,,,2.0,159.0,,,5.90,1.17,QF,2-6 6-3 6-2,Roger Federer,6.0,2.0,5971587.0,401165.0,,1.17,Roger Federer,85.0,9.0,4.0,75.0,32.0,84.0,55.0,36.0,29.0,17.0,,,,,,1.0,159.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
4,H2H 2-2,Ivan Dodig,6.0,2.0,5971588.0,149988.0,,3.05,Ivan Dodig,82.0,1.0,1.0,82.0,24.0,96.0,53.0,39.0,43.0,19.0,,,,,,2.0,178.0,,,3.05,1.44,QF,4-6 6-2 6-4,Ivan Ljubicic,10.0,1.0,5971588.0,149987.0,,1.44,Ivan Ljubicic,96.0,7.0,3.0,96.0,38.0,82.0,51.0,41.0,31.0,17.0,,,,,,1.0,178.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
5,H2H 2-6,James Blake,0.0,2.0,5971589.0,149985.0,,3.3,James Blake,30.0,2.0,0.0,44.0,13.0,42.0,20.0,9.0,22.0,8.0,,,,,,1.0,86.0,,,3.30,1.39,QF,6-0 6-2,Jarkko Nieminen,5.0,1.0,5971589.0,149986.0,,1.39,Jarkko Nieminen,56.0,8.0,5.0,42.0,25.0,44.0,29.0,23.0,15.0,8.0,,,,,,2.0,86.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
6,H2H 2-2,Robin Soderling,5.0,1.0,5971590.0,150000.0,,1.2,Robin Soderling,57.0,4.0,0.0,73.0,18.0,57.0,36.0,27.0,21.0,12.0,,,,,,2.0,130.0,,,1.20,5.20,QF,7-6(8) 6-1,Florian Mayer,5.0,3.0,5971590.0,149999.0,,5.2,Florian Mayer,73.0,3.0,2.0,57.0,18.0,73.0,49.0,39.0,24.0,16.0,,,,,,1.0,130.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
7,H2H 2-0,Taylor Dent,1.0,2.0,5971579.0,149968.0,,16.0,Taylor Dent,32.0,2.0,0.0,48.0,13.0,42.0,22.0,12.0,20.0,7.0,,,,,,2.0,90.0,,,16.00,1.04,R16,6-1 6-2,Roger Federer,3.0,1.0,5971579.0,149967.0,,1.04,Roger Federer,58.0,7.0,4.0,42.0,23.0,48.0,34.0,29.0,14.0,6.0,,,,,,1.0,90.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
8,H2H 6-1,Robin Haase,2.0,5.0,5971580.0,401163.0,,6.1,Robin Haase,111.0,11.0,1.0,120.0,39.0,105.0,68.0,50.0,37.0,22.0,,,,,,1.0,225.0,,,6.10,1.16,R16,7-5 6-7(6) 6-4,Stan Wawrinka,12.0,2.0,5971580.0,401164.0,,1.16,Stan Wawrinka,114.0,9.0,3.0,105.0,33.0,120.0,77.0,58.0,43.0,23.0,,,,,,2.0,225.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
9,H2H 10-2,Arnaud Clement,3.0,2.0,5971581.0,149956.0,,2.9,Arnaud Clement,47.0,0.0,0.0,55.0,13.0,56.0,31.0,19.0,25.0,15.0,,,,,,2.0,111.0,,,2.90,1.47,R16,6-3 6-4,Ivan Ljubicic,12.0,1.0,5971581.0,149955.0,,1.47,Ivan Ljubicic,64.0,6.0,2.0,56.0,22.0,55.0,35.0,28.0,20.0,14.0,,,,,,1.0,111.0,,,2010-10-18,https://matchstat.com/tennis/tournaments/m/Stockholm/2010,Stockholm
