,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Eric Fromm,F,6-4 6-2,Jay Lapidus,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
1,H2H 1-0,Terry Moor,SF,6-2 3-6 6-2,Eric Fromm,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
2,H2H 2-2,Tom Gullikson,SF,6-4 7-6,Jay Lapidus,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
3,H2H 1-0,Freddie Sauer,QF,6-4 6-2,Eric Fromm,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
4,H2H 1-0,Rodney Harmon,QF,7-6 7-5,Terry Moor,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
5,H2H 1-0,Van't Hof,QF,7-6 7-6,Tom Gullikson,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
6,H2H 1-0,J. Alexander,QF,6-2 6-4,Jay Lapidus,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
7,H2H 1-0,Johan Kriek,R16,6-4 6-2,Freddie Sauer,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
8,H2H 2-2,Eddie Edwards,R16,7-5 3-6 6-2,Eric Fromm,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
9,H2H 1-0,Leo Palin,R16,6-4 6-2,Rodney Harmon,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
10,H2H 1-2,Fritz Buehning,R16,6-0 7-5,Terry Moor,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
11,H2H 1-0,Trey Waltke,R16,6-1 6-4,Van't Hof,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
12,H2H 3-5,I. Nastase,R16,6-4 6-2,Tom Gullikson,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
13,H2H 3-1,Lloyd Bourne,R16,4-6 7-5 6-2,J. Alexander,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
14,H2H 1-1,Brad Gilbert,R16,6-4 6-2,Jay Lapidus,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
15,H2H 1-0,Rolf Gehring,R32,6-2 6-3,Johan Kriek,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
16,H2H 1-0,Mark Vines,R32,7-6 7-6,Freddie Sauer,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
17,H2H 1-0,Schalk Van Der Merwe,R32,6-3 3-6 7-6,Eddie Edwards,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
18,H2H 1-0,Chris Dunk,R32,7-6 6-3,Eric Fromm,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
19,H2H 1-0,Vincent Van Patten,R32,7-6 6-4,Rodney Harmon,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
20,H2H 1-0,Brad Drewett,R32,7-6 6-4,Leo Palin,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
21,H2H 1-2,Andrew Pattison,R32,6-1 6-3,Terry Moor,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
22,H2H 1-0,Larry Stefanki,R32,2-6 6-4 6-3,Fritz Buehning,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
23,H2H 3-0,Scott Davis,R32,5-7 6-3 6-3,Van't Hof,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
24,H2H 1-0,Paul Annacone,R32,6-3 7-5,Trey Waltke,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
25,H2H 1-0,Gewan Maharaj,R32,6-0 6-3,I. Nastase,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
26,H2H 2-2,John Sadri,R32,6-4 7-6,Tom Gullikson,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
27,H2H 2-0,Marko Ostoja,R32,6-3 6-0,J. Alexander,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
28,H2H 1-0,Tony Graham,R32,3-6 6-3 6-3,Lloyd Bourne,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
29,H2H 1-0,B. Lutz,R32,6-0 6-2,Brad Gilbert,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
30,H2H 1-0,Tim Mayotte,R32,6-3 6-4,Jay Lapidus,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
31,,M Fishbach / E Fromm,F,6-3 6-4,A Andrews / J Sadri,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
32,,R Gehring / S Schneider,SF,4-6 7-5 6-4,A Andrews / J Sadri,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
33,,F Sauer / S Van Der Merwe,SF,3-6 7-6 6-4,M Fishbach / E Fromm,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
34,,B Lutz / I Nastase,QF,7-6 4-6 6-3,R Gehring / S Schneider,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
35,,A Cortes / L Palin,QF,6-1 6-1,A Andrews / J Sadri,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
36,,F Buehning / T Mayotte,QF,7-5 7-6,M Fishbach / E Fromm,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
37,,S Giammalva / T Giammalva,QF,6-3 6-3,F Sauer / S Van Der Merwe,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
38,,N Van Patten / V Van Patten,R16,6-3 7-6,B Lutz / I Nastase,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
39,,P Cash / C Dunk,R16,WO,R Gehring / S Schneider,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
40,,J Kriek / G MacDonald,R16,6-3 6-4,A Andrews / J Sadri,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
41,,C Edwards / E Edwards,R16,7-6 6-4,A Cortes / L Palin,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
42,,R Evett / G Haynes,R16,6-1 6-4,M Fishbach / E Fromm,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
43,,T Graham / T Waltke,R16,7-6 7-6,F Buehning / T Mayotte,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
44,,J Alexander / B Drewett,R16,7-6 6-1,F Sauer / S Van Der Merwe,1982-08-16,https://matchstat.com/tennis/tournaments/m/Stowe/1982,Stowe
