,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Paul Annacone,F,6-2 6-4,Andre Agassi,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
1,H2H 2-0,Darren Cahill,SF,6-4 6-3,Paul Annacone,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
2,H2H 3-0,Dan Goldie,SF,6-3 6-3,Andre Agassi,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
3,H2H 1-0,Roger Smith,QF,6-3 4-6 6-2,Darren Cahill,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
4,H2H 3-2,Marty Davis,QF,6-4 4-6 7-5,Paul Annacone,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
5,H2H 1-2,Jim Courier,QF,6-4 4-6 6-4,Dan Goldie,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
6,H2H 3-0,Jay Berger,QF,6-1 1-6 6-3,Andre Agassi,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
7,H2H 1-0,Eric Amend,R16,6-1 6-4,Roger Smith,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
8,H2H 2-0,Michael Robertson,R16,6-2 6-7 6-2,Darren Cahill,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
9,H2H 3-0,Leonardo Lavalle,R16,6-3 6-3,Paul Annacone,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
10,H2H 2-3,Aaron Krickstein,R16,6-3 6-4,Marty Davis,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
11,H2H 1-0,Todd Nelson,R16,6-4 3-6 6-3,Dan Goldie,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
12,H2H 1-0,Yahiya Doumbia,R16,7-6 6-0,Jim Courier,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
13,H2H 1-0,Peter Lundgren,R16,6-2 6-3,Jay Berger,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
14,H2H 2-0,Jim Pugh,R16,3-6 6-3 6-4,Andre Agassi,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
15,H2H 1-0,Ivan Lendl,R32,6-2 6-3,Roger Smith,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
16,H2H 1-0,Pieter Aldrich,R32,6-3 4-6 7-6,Eric Amend,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
17,H2H 2-1,Dan Cassidy,R32,6-1 6-2,Darren Cahill,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
18,H2H 1-0,Martin Laurendeau,R32,6-2 7-6,Michael Robertson,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
19,H2H 1-0,Grant Connell,R32,6-4 6-2,Leonardo Lavalle,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
20,H2H 1-1,Michael Chang,R32,6-4 7-5,Paul Annacone,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
21,H2H 1-0,MaliVai Washington,R32,7-6 6-4,Marty Davis,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
22,H2H 2-0,Joey Rive,R32,6-4 6-2,Aaron Krickstein,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
23,H2H 1-2,David Pate,R32,6-3 6-3,Todd Nelson,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
24,H2H 1-0,Philip Johnson,R32,6-4 6-2,Dan Goldie,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
25,H2H 2-0,John Frawley,R32,6-3 7-6,Jim Courier,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
26,H2H 1-0,Amos Mansdorf,R32,4-6 6-4 6-4,Yahiya Doumbia,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
27,H2H 1-0,Andrew Castle,R32,6-2 6-3,Peter Lundgren,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
28,H2H 1-0,Glenn Michibata,R32,6-4 6-4,Jay Berger,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
29,H2H 2-0,Scott Davis,R32,6-3 7-5,Jim Pugh,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
30,H2H 1-1,Greg Holmes,R32,6-4 6-2,Andre Agassi,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
31,H2H 2-0,Christian Saceanu,R64,6-4 6-4,Ivan Lendl,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
32,H2H 1-0,Dan Goldberg,R64,3-6 7-6 6-3,Roger Smith,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
33,H2H 1-0,Jimmy Brown,R64,6-2 3-6 7-6,Eric Amend,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
34,H2H 1-0,Jim Grabb,R64,6-3 7-6,Pieter Aldrich,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
35,H2H 1-0,Kelly Evernden,R64,6-3 6-0,Darren Cahill,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
36,H2H 1-0,Chris Pridham,R64,6-4 6-4,Dan Cassidy,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
37,H2H 1-2,David Wheaton,R64,6-7 6-4 6-4,Martin Laurendeau,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
38,H2H 1-0,Eliot Teltscher,R64,6-3 6-4,Michael Robertson,1988-07-25,https://matchstat.com/tennis/tournaments/m/Stratton%20Mountain/1988,Stratton Mountain
