,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-3,Lleyton Hewitt,F,7-6(6) 3-6 6-7(5) 7-6(2) 6-2,Wayne Ferreira,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
1,H2H 7-0,Yevgeny Kafelnikov,SF,6-4 6-7(5) 6-3,Lleyton Hewitt,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
2,H2H 3-1,Sebastien Grosjean,SF,6-4 6-2,Wayne Ferreira,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
3,H2H 4-3,Greg Rusedski,QF,6-4 6-4,Lleyton Hewitt,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
4,H2H 5-3,Sjeng Schalken,QF,4-6 6-1 6-4,Yevgeny Kafelnikov,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
5,H2H 2-0,Andrei Pavel,QF,6-0 7-5,Wayne Ferreira,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
6,H2H 1-3,Michael Chang,QF,7-5 1-6 6-2,Sebastien Grosjean,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
7,H2H 3-3,Marat Safin,R16,7-6(2) 6-4,Greg Rusedski,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
8,H2H 9-1,Tim Henman,R16,3-6 6-3 6-4,Lleyton Hewitt,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
9,H2H 1-4,Magnus Norman,R16,4-6 6-3 6-3,Sjeng Schalken,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
10,H2H 3-1,Franco Squillari,R16,6-3 7-5,Yevgeny Kafelnikov,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
11,H2H 6-2,Mark Philippoussis,R16,1-0 Retired,Wayne Ferreira,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
12,H2H 1-6,Andre Agassi,R16,6-3 6-4,Andrei Pavel,2000-10-30,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Indoor/2000,Stuttgart Indoor
