,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Alberto Mancini,F,1-6 7-6 6-4 6-2,Michael Stich,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
1,H2H 2-0,Francisco Clavet,SF,6-4 6-2,Michael Stich,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
2,H2H 1-0,Lars Koslowski,SF,4-6 6-1 6-3,Alberto Mancini,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
3,H2H 8-6,Richard Krajicek,QF,6-4 3-6 7-6,Michael Stich,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
4,H2H 3-4,Cedric Pioline,QF,6-3 6-7 6-1,Francisco Clavet,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
5,H2H 1-0,German Lopez-Montoya,QF,6-3 6-3,Alberto Mancini,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
6,H2H 2-0,Goran Prpic,QF,6-2 2-6 7-5,Lars Koslowski,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
7,H2H 4-0,Javier Sanchez,R16,6-3 6-3,Michael Stich,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
8,H2H 2-0,Horst Skoff,R16,6-3 6-4,Richard Krajicek,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
9,H2H 1-0,Andres Gomez,R16,6-3 6-3,Francisco Clavet,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
10,H2H 2-6,Alexander Volkov,R16,6-2 4-6 6-3,Cedric Pioline,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
11,H2H 2-3,Guillermo Perez-Roldan,R16,7-5 6-2,Alberto Mancini,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
12,H2H 2-0,Ronald Agenor,R16,6-2 6-3,German Lopez-Montoya,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
13,H2H 1-2,Eric Jelen,R16,6-3 2-6 6-2,Goran Prpic,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
14,H2H 1-0,Guy Forget,R16,7-6 7-6,Lars Koslowski,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
15,H2H 6-2,Fabrice Santoro,R32,6-3 7-6,Michael Stich,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
16,H2H 7-5,Jordi Arrese,R32,4-6 6-1 6-4,Javier Sanchez,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
17,H2H 4-1,Horacio De La Pena,R32,6-0 6-3,Horst Skoff,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
18,H2H 2-1,Magnus Gustafsson,R32,7-6 5-7 7-6,Richard Krajicek,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
19,H2H 2-0,Goran Ivanisevic,R32,4-6 6-3 7-6,Andres Gomez,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
20,H2H 3-1,Omar Camporese,R32,7-5 6-0,Francisco Clavet,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
21,H2H 2-0,Jens Woehrmann,R32,6-2 6-3,Alexander Volkov,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
22,H2H 2-1,Karel Novacek,R32,6-1 1-6 6-3,Cedric Pioline,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
23,H2H 1-0,Andrey Cherkasov,R32,4-6 6-4 6-2,Alberto Mancini,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
24,H2H 4-2,Carlos Costa,R32,6-3 6-2,Guillermo Perez-Roldan,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
25,H2H 3-6,Marc Rosset,R32,6-1 3-6 6-3,Ronald Agenor,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
26,H2H 1-0,Emilio Sanchez,R32,7-6 7-6,German Lopez-Montoya,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
27,H2H 3-0,Marcelo Filippini,R32,7-6 6-2,Goran Prpic,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
28,H2H 2-3,Jonas B. Svensson,R32,7-6 6-1,Eric Jelen,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
29,H2H 1-0,Martin Jaite,R32,6-3 6-4,Lars Koslowski,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
30,H2H 2-2,Wally Masur,R32,5-7 7-6 7-6,Guy Forget,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
31,H2H 2-1,Udo Riglewski,R64,6-0 6-1,Fabrice Santoro,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
32,H2H 3-0,Magnus Larsson,R64,6-3 6-0,Javier Sanchez,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
33,H2H 1-1,Kevin Curren,R64,6-4 6-4,Horacio De La Pena,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
34,H2H 1-0,Franco Davin,R64,6-2 6-4,Richard Krajicek,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
35,H2H 1-0,Renzo Furlan,R64,4-6 6-2 6-1,Andres Gomez,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
36,H2H 1-7,Thomas Muster,R64,6-1 6-3,Francisco Clavet,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
37,H2H 1-1,Jan Siemerink,R64,7-6 4-6 6-3,Jens Woehrmann,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
38,H2H 2-0,Yannick Noah,R64,6-3 6-2,Cedric Pioline,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
39,H2H 2-1,Paul Haarhuis,R64,6-4 6-2,Alberto Mancini,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
40,H2H 2-1,M. Koevermans,R64,6-3 6-7 6-0,Carlos Costa,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
41,H2H 1-0,Markus Naewie,R64,6-2 6-4,Marc Rosset,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
42,H2H 1-0,Thierry Champion,R64,6-7 6-3 6-2,German Lopez-Montoya,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
43,H2H 1-4,Nicklas Kulti,R64,6-2 4-6 7-5,Marcelo Filippini,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
44,H2H 3-4,Carl-Uwe Steeb,R64,0-6 6-3 6-2,Eric Jelen,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
45,H2H 1-1,Francisco Roig,R64,7-6 7-6,Lars Koslowski,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
46,H2H 3-1,Marian Vajda,R64,4-6 6-3 6-3,Wally Masur,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
47,,O Camporese / G Ivanisevic,F,4-6 6-3 6-4,W Masur / E Sanchez,1991-07-15,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/1991,Stuttgart Outdoor
