,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-6,Gaston Gaudio,,,5559144.0,241416.0,,1.69,Gaston Gaudio,,,,,,,,,,,,,,,,2.0,,,,1.69,2.28,F,5-7 6-2 6-0 1-6 6-3,Guillermo Canas,,,5559144.0,241415.0,,2.28,Guillermo Canas,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
1,H2H 3-2,Nikolay Davydenko,,,5559142.0,241414.0,,2.29,Nikolay Davydenko,,,,,,,,,,,,,,,,2.0,,,,2.29,1.69,SF,3-6 6-1 6-2,Guillermo Canas,,,5559142.0,241413.0,,1.685,Guillermo Canas,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
2,H2H 4-3,David Ferrer,,,5559143.0,786838.0,,3.45,David Ferrer,,,,,,,,,,,,,,,,1.0,,,,3.45,1.35,SF,6-3 5-7 6-4,Gaston Gaudio,,,5559143.0,786839.0,,1.345,Gaston Gaudio,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
3,H2H 3-1,Radek Stepanek,,,5559138.0,241409.0,,2.53,Radek Stepanek,,,,,,,,,,,,,,,,1.0,,,,2.53,1.58,QF,6-4 6-4,Guillermo Canas,,,5559138.0,241410.0,,1.581,Guillermo Canas,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
4,H2H 2-3,Albert Costa,,,5559139.0,241408.0,,1.704,Albert Costa,,,,,,,,,,,,,,,,2.0,,,,1.70,2.25,QF,6-3 6-4,Nikolay Davydenko,,,5559139.0,241407.0,,2.25,Nikolay Davydenko,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
5,H2H 6-24,Rafael Nadal,,,5559140.0,786837.0,,1.5,Rafael Nadal,,,,,,,,,,,,,,,,2.0,,,,1.50,2.77,QF,6-3 6-7(3) 7-5,David Ferrer,,,5559140.0,786836.0,,2.77,David Ferrer,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
6,H2H 3-1,Jiri Novak,,,5559141.0,241411.0,,2.47,Jiri Novak,,,,,,,,,,,,,,,,1.0,,,,2.47,1.60,QF,6-4 6-3,Gaston Gaudio,,,5559141.0,241412.0,,1.602,Gaston Gaudio,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
7,H2H 4-3,Ivo Karlovic,,,5559130.0,241402.0,,2.12,Ivo Karlovic,,,,,,,,,,,,,,,,2.0,,,,2.12,1.78,R16,6-2 7-5,Radek Stepanek,,,5559130.0,241401.0,,1.781,Radek Stepanek,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
8,H2H 5-1,Stefan Koubek,,,5559131.0,241404.0,,3.0,Stefan Koubek,,,,,,,,,,,,,,,,2.0,,,,3.00,1.44,R16,6-4 6-2,Guillermo Canas,,,5559131.0,241403.0,,1.444,Guillermo Canas,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
9,H2H 4-1,Andrei Pavel,,,5559132.0,241399.0,,1.775,Andrei Pavel,,,,,,,,,,,,,,,,1.0,,,,1.78,2.13,R16,7-5 1-6 6-4,Nikolay Davydenko,,,5559132.0,241400.0,,2.13,Nikolay Davydenko,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
10,H2H 5-0,Mariano Zabaleta,,,5559133.0,241396.0,,1.813,Mariano Zabaleta,,,,,,,,,,,,,,,,2.0,,,,1.81,2.07,R16,7-5 7-6(4),Albert Costa,,,5559133.0,241395.0,,2.07,Albert Costa,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
11,H2H 9-3,Richard Gasquet,,,5559134.0,786834.0,,1.813,Richard Gasquet,,,,,,,,,,,,,,,,1.0,,,,1.81,2.07,R16,6-4 6-2,David Ferrer,,,5559134.0,786835.0,,2.07,David Ferrer,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
12,H2H 5-1,Juan Ignacio Chela,,,5559135.0,241406.0,,1.641,Juan Ignacio Chela,,,,,,,,,,,,,,,,2.0,,,,1.64,2.38,R16,6-2 6-3,Rafael Nadal,,,5559135.0,241405.0,,2.38,Rafael Nadal,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
13,H2H 4-6,Mikhail Youzhny,,,5559136.0,241398.0,,2.03,Mikhail Youzhny,,,,,,,,,,,,,,,,2.0,,,,2.03,1.84,R16,7-6(4) 4-6 6-1,Jiri Novak,,,5559136.0,241397.0,,1.84,Jiri Novak,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
14,H2H 1-1,Tomas Berdych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-2 6-4,Gaston Gaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
15,H2H 6-2,Rainer Schuettler,,,5559114.0,241391.0,,1.585,Rainer Schuettler,,,,,,,,,,,,,,,,1.0,,,,1.59,2.51,R32,6-7(6) 6-3 6-2,Radek Stepanek,,,5559114.0,241392.0,,2.51,Radek Stepanek,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
16,H2H 1-0,Franco Squillari,,,5559115.0,241387.0,,2.25,Franco Squillari,,,,,,,,,,,,,,,,1.0,,,,2.25,1.69,R32,6-3 7-6(0),Ivo Karlovic,,,5559115.0,241388.0,,1.69,Ivo Karlovic,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
17,H2H 2-0,Florian Mayer,,,5559116.0,241887.0,,2.31,Florian Mayer,,,,,,,,,,,,,,,,1.0,,,,2.31,1.66,R32,6-7(3) 7-6(5) 6-4,Guillermo Canas,,,5559116.0,241888.0,,1.662,Guillermo Canas,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
18,H2H 3-5,Feliciano Lopez,,,5559117.0,241886.0,,1.694,Feliciano Lopez,,,,,,,,,,,,,,,,2.0,,,,1.69,2.24,R32,6-3 6-4,Stefan Koubek,,,5559117.0,241885.0,,2.24,Stefan Koubek,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
19,H2H 3-1,Bohdan Ulihrach,,,5559118.0,241884.0,,3.3,Bohdan Ulihrach,,,,,,,,,,,,,,,,2.0,,,,3.30,1.37,R32,6-1 6-1,Andrei Pavel,,,5559118.0,241883.0,,1.37,Andrei Pavel,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
20,H2H 2-0,Andreas Beck,,,5559119.0,241889.0,,4.3,Andreas Beck,,,,,,,,,,,,,,,,1.0,,,,4.30,1.26,R32,6-3 6-3,Nikolay Davydenko,,,5559119.0,241890.0,,1.256,Nikolay Davydenko,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
21,H2H 8-5,Felix Mantilla,,,5559120.0,241382.0,,1.862,Felix Mantilla,,,,,,,,,,,,,,,,2.0,,,,1.86,1.96,R32,7-5 6-4,Albert Costa,,,5559120.0,241381.0,,1.962,Albert Costa,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
22,H2H 2-0,Marc Lopez,,,5559121.0,241385.0,,3.9,Marc Lopez,,,,,,,,,,,,,,,,1.0,,,,3.90,1.29,R32,7-6(2) 6-2,Mariano Zabaleta,,,5559121.0,241386.0,,1.294,Mariano Zabaleta,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
23,H2H 2-3,Tommy Robredo,,,5559122.0,241891.0,,1.5,Tommy Robredo,,,,,,,,,,,,,,,,1.0,,,,1.50,2.75,R32,6-1 6-4,Richard Gasquet,,,5559122.0,241892.0,,2.75,Richard Gasquet,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
24,H2H 2-1,Arnaud Di Pasquale,,,5559123.0,786852.0,,2.58,Arnaud Di Pasquale,,,,,,,,,,,,,,,,1.0,,,,2.58,1.56,R32,6-4 1-6 6-1,David Ferrer,,,5559123.0,786853.0,,1.562,David Ferrer,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
25,H2H 2-0,Martin Vassallo Arguello,,,5559124.0,241896.0,,4.6,Martin Vassallo Arguello,,,,,,,,,,,,,,,,2.0,,,,4.60,1.24,R32,7-6(4) 6-4,Rafael Nadal,,,5559124.0,241895.0,,1.235,Rafael Nadal,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
26,H2H 2-0,Jan-Frode Andersen,,,5559125.0,241893.0,,8.0,Jan-Frode Andersen,,,,,,,,,,,,,,,,1.0,,,,8.00,1.11,R32,6-3 6-1,Juan Ignacio Chela,,,5559125.0,241894.0,,1.111,Juan Ignacio Chela,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
27,H2H 1-0,Thierry Ascione,,,5559126.0,241898.0,,3.4,Thierry Ascione,,,,,,,,,,,,,,,,2.0,,,,3.40,1.36,R32,6-2 6-4,Jiri Novak,,,5559126.0,241897.0,,1.357,Jiri Novak,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
28,H2H 2-0,Alexander Popp,,,5559127.0,241383.0,,3.7,Alexander Popp,,,,,,,,,,,,,,,,1.0,,,,3.70,1.31,R32,6-3 7-6(7),Mikhail Youzhny,,,5559127.0,241384.0,,1.313,Mikhail Youzhny,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
29,H2H 4-1,Bjorn Phau,,,5559128.0,241390.0,,2.87,Bjorn Phau,,,,,,,,,,,,,,,,2.0,,,,2.87,1.47,R32,6-2 6-3,Tomas Berdych,,,5559128.0,241389.0,,1.465,Tomas Berdych,,,,,,,,,,,,,,,,1.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
30,H2H 1-0,Hugo Armando,,,5559129.0,241393.0,,6.7,Hugo Armando,,,,,,,,,,,,,,,,1.0,,,,6.70,1.13,R32,3-6 6-2 7-6(5),Gaston Gaudio,,,5559129.0,241394.0,,1.133,Gaston Gaudio,,,,,,,,,,,,,,,,2.0,,,,2004-07-12,https://matchstat.com/tennis/tournaments/m/Stuttgart%20Outdoor/2004,Stuttgart Outdoor
