,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 10-11,Ivan Lendl,F,3-6 7-6 6-2 6-0,Boris Becker,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
1,H2H 5-3,Pat Cash,SF,7-5 6-2,Ivan Lendl,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
2,H2H 1-0,Glenn Layendecker,SF,6-4 6-4,Boris Becker,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
3,H2H 10-2,Wally Masur,QF,6-2 6-2,Ivan Lendl,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
4,H2H 1-0,Cary Stansbury,QF,6-3 6-2,Pat Cash,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
5,H2H 1-0,Marcel Freeman,QF,6-3 6-2,Glenn Layendecker,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
6,H2H 3-1,Broderick Dyke,QF,6-4 6-4,Boris Becker,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
7,H2H 1-0,Peter Carter,R16,6-4 6-4,Ivan Lendl,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
8,H2H 1-0,Steve Furlong,R16,6-1 6-2,Wally Masur,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
9,H2H 1-1,Peter McNamara,R16,7-6 7-6,Cary Stansbury,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
10,H2H 2-0,Brad Drewett,R16,6-4 6-4,Pat Cash,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
11,H2H 1-1,Mark Edmondson,R16,6-2 7-5,Marcel Freeman,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
12,H2H 2-1,Darren Cahill,R16,7-5 6-4,Glenn Layendecker,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
13,H2H 1-0,Mike Leach,R16,6-3 6-3,Broderick Dyke,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
14,H2H 3-0,John Fitzgerald,R16,6-4 7-5,Boris Becker,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
15,H2H 2-0,Mark Kratzmann,R32,6-4 6-2,Ivan Lendl,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
16,H2H 1-0,Brian Levine,R32,3-6 7-5 6-3,Peter Carter,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
17,H2H 1-0,Shane Barr,R32,3-6 7-6 7-5,Steve Furlong,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
18,H2H 2-0,Laurie Warder,R32,6-2 7-5,Wally Masur,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
19,H2H 1-0,Brett Custer,R32,6-1 6-2,Peter McNamara,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
20,H2H 1-0,Anthony Lane,R32,6-4 2-6 6-1,Cary Stansbury,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
21,H2H 2-0,Craig A. Miller,R32,6-3 6-4,Pat Cash,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
22,H2H 2-2,Christo Van Rensburg,R32,7-6 6-1,Brad Drewett,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
23,H2H 1-0,Todd Nelson,R32,6-2 6-4,Marcel Freeman,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
24,H2H 2-0,Peter Doohan,R32,6-3 6-2,Mark Edmondson,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
25,H2H 1-0,Tomm Warneke,R32,6-2 6-4,Darren Cahill,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
26,H2H 1-0,Paul McNamee,R32,6-1 6-3,Glenn Layendecker,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
27,H2H 1-0,Tony Mmoh,R32,6-4 7-6,Mike Leach,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
28,H2H 1-0,Mark Woodforde,R32,7-6 6-1,Broderick Dyke,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
29,H2H 2-1,Chip Hooper,R32,7-6 6-1,John Fitzgerald,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
30,H2H 1-0,Denys Maasdorp,R32,6-1 6-3,Boris Becker,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
31,,P McNamara / P McNamee,F,6-4 7-6,B Becker / J Fitzgerald,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
32,,B Drewett / K Warwick,SF,7-5 6-2,B Becker / J Fitzgerald,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
33,,G Layendecker / T Warneke,SF,5-7 6-2 6-3,P McNamara / P McNamee,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
34,,P Cash / M Woodforde,QF,6-3 6-3,B Becker / J Fitzgerald,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
35,,D Cahill / M Kratzmann,QF,6-4 7-6,B Drewett / K Warwick,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
36,,M Edmondson / S Stewart,QF,7-6 6-1,P McNamara / P McNamee,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
37,,I Lendl / C Van Rensburg,QF,6-1 5-7 6-0,G Layendecker / T Warneke,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
38,,M Freeman / T Nelson,R16,6-4 6-1,B Becker / J Fitzgerald,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
39,,B Custer / D Macpherson,R16,6-1 6-2,P Cash / M Woodforde,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
40,,B Levine / T Mmoh,R16,6-2 6-3,B Drewett / K Warwick,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
41,,P Carter / D Tyson,R16,6-4 7-6,D Cahill / M Kratzmann,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
42,,B Dyke / W Masur,R16,6-4 3-6 6-2,P McNamara / P McNamee,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
43,,M Baroch / A Lane,R16,6-2 6-3,M Edmondson / S Stewart,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
44,,D Maasdorp / C A. Miller,R16,6-3 6-3,G Layendecker / T Warneke,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
45,,P Doohan / L Warder,R16,3-6 6-3 6-4,I Lendl / C Van Rensburg,1986-10-13,https://matchstat.com/tennis/tournaments/m/Sydney%20Indoor/1986,Sydney Indoor
