,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-2,Guy Forget,F,6-3 6-4,Emilio Sanchez,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
1,H2H 7-1,Omar Camporese,SF,6-4 7-6(6),Emilio Sanchez,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
2,H2H 3-1,David Wheaton,SF,6-3 6-2,Guy Forget,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
3,H2H 5-4,Thomas Muster,QF,6-3 6-3,Emilio Sanchez,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
4,H2H 2-0,Christian Bergstrom,QF,6-7(3) 6-4 6-1,Omar Camporese,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
5,H2H 3-0,Aaron Krickstein,QF,6-1 6-4,Guy Forget,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
6,H2H 1-0,Jakob Hlasek,QF,3-6 6-1 7-5,David Wheaton,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
7,H2H 2-0,Todd Woodbridge,R16,6-4 3-6 6-4,Thomas Muster,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
8,H2H 1-0,John Fitzgerald,R16,6-4 6-4,Emilio Sanchez,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
9,H2H 1-3,Petr Korda,R16,6-3 2-6 6-1,Christian Bergstrom,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
10,H2H 2-0,Magnus Gustafsson,R16,6-3 7-6(3),Omar Camporese,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
11,H2H 1-1,Cristiano Caratti,R16,4-6 6-3 6-3,Aaron Krickstein,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
12,H2H 1-2,Javier Sanchez,R16,6-2 6-4,Guy Forget,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
13,H2H 2-0,Olivier Delaitre,R16,6-4 6-3,David Wheaton,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
14,H2H 2-3,Richard Krajicek,R16,6-4 6-4,Jakob Hlasek,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
15,H2H 2-2,Michael Stich,R32,4-6 6-1 6-1,Todd Woodbridge,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
16,H2H 1-0,Grant Doyle,R32,6-4 6-2,Thomas Muster,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
17,H2H 1-0,Cedric Pioline,R32,6-7(2) 6-3 7-6(5),John Fitzgerald,1992-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/1992,Sydney
