,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 6-0,Julien Benneteau,2.0,3.0,6048015.0,166451.0,,1.862,Julien Benneteau,48.0,1.0,1.0,54.0,16.0,57.0,40.0,24.0,17.0,8.0,,,,,,1.0,111.0,,,1.86,2.07,F,6-2 7-5,Jarkko Nieminen,4.0,1.0,6048015.0,166452.0,,2.07,Jarkko Nieminen,63.0,6.0,4.0,57.0,25.0,54.0,43.0,32.0,11.0,6.0,,,,,,2.0,111.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
1,H2H 5-2,Marcos Baghdatis,7.0,2.0,6048013.0,166369.0,,1.641,Marcos Baghdatis,74.0,10.0,2.0,87.0,35.0,72.0,39.0,24.0,33.0,15.0,,,,,,1.0,159.0,,,1.64,2.44,SF,6-4 6-4,Julien Benneteau,4.0,5.0,6048013.0,166370.0,,2.44,Julien Benneteau,85.0,8.0,4.0,72.0,33.0,87.0,57.0,38.0,30.0,14.0,,,,,,2.0,159.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
2,H2H 3-1,Denis Istomin,7.0,2.0,6048014.0,166365.0,,2.25,Denis Istomin,77.0,2.0,1.0,84.0,29.0,74.0,51.0,37.0,23.0,11.0,,,,,,1.0,158.0,,,2.25,1.75,SF,7-6(12) 6-3,Jarkko Nieminen,0.0,2.0,6048014.0,166366.0,,1.75,Jarkko Nieminen,81.0,6.0,2.0,74.0,26.0,84.0,60.0,41.0,24.0,14.0,,,,,,2.0,158.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
3,H2H 2-4,Juan Martin Del Potro,7.0,1.0,6048009.0,166361.0,,1.38,Juan Martin Del Potro,67.0,3.0,1.0,69.0,19.0,66.0,44.0,36.0,22.0,12.0,,,,,,1.0,135.0,,,1.38,3.25,QF,7-6(7) 6-4,Marcos Baghdatis,12.0,1.0,6048009.0,166362.0,,3.25,Marcos Baghdatis,68.0,5.0,2.0,66.0,18.0,69.0,44.0,32.0,25.0,18.0,,,,,,2.0,135.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
4,H2H 1-1,Alex Bogomolov Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,6-2 6-4,Julien Benneteau,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
5,H2H 1-6,Richard Gasquet,9.0,2.0,6048011.0,166628.0,,1.24,Richard Gasquet,78.0,7.0,2.0,84.0,31.0,80.0,47.0,31.0,33.0,16.0,,,,,,2.0,164.0,,,1.24,4.45,QF,6-4 7-6(4),Denis Istomin,8.0,3.0,6048011.0,166627.0,,4.45,Denis Istomin,86.0,8.0,3.0,80.0,33.0,84.0,42.0,31.0,42.0,22.0,,,,,,1.0,164.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
6,H2H 2-0,Bobby Reynolds,3.0,2.0,6048012.0,166630.0,,2.6,Bobby Reynolds,42.0,6.0,2.0,48.0,17.0,52.0,28.0,19.0,24.0,6.0,,,,,,2.0,100.0,,,2.60,1.55,QF,6-3 6-3,Jarkko Nieminen,5.0,1.0,6048012.0,166629.0,,1.55,Jarkko Nieminen,58.0,7.0,5.0,52.0,27.0,48.0,37.0,25.0,11.0,6.0,,,,,,1.0,100.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
7,H2H 1-1,Lukasz Kubot,1.0,4.0,6048001.0,166598.0,,6.7,Lukasz Kubot,54.0,4.0,0.0,63.0,21.0,54.0,33.0,20.0,21.0,13.0,,,,,,2.0,117.0,,,6.70,1.13,R16,6-4 6-2,Juan Martin Del Potro,6.0,2.0,6048001.0,166597.0,,1.133,Juan Martin Del Potro,63.0,6.0,3.0,54.0,21.0,63.0,43.0,30.0,20.0,12.0,,,,,,1.0,117.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
8,H2H 1-0,Matthew Ebden,9.0,3.0,6048002.0,166608.0,,3.75,Matthew Ebden,96.0,5.0,2.0,88.0,23.0,112.0,72.0,51.0,40.0,22.0,,,,,,2.0,200.0,,,3.75,1.31,R16,3-6 7-5 7-6(3),Marcos Baghdatis,4.0,2.0,6048002.0,166607.0,,1.31,Marcos Baghdatis,104.0,9.0,2.0,112.0,39.0,88.0,44.0,36.0,44.0,29.0,,,,,,1.0,200.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
9,H2H 6-3,Feliciano Lopez,5.0,2.0,6048003.0,166609.0,,1.82,Feliciano Lopez,48.0,3.0,0.0,59.0,16.0,51.0,30.0,22.0,21.0,10.0,,,,,,1.0,110.0,,,1.82,2.08,R16,6-3 6-4,Julien Benneteau,4.0,1.0,6048003.0,166610.0,,2.08,Julien Benneteau,62.0,2.0,2.0,51.0,19.0,59.0,44.0,31.0,15.0,12.0,,,,,,2.0,110.0,,,2012-01-09,https://matchstat.com/tennis/tournaments/m/Sydney/2012,Sydney
