,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,surface,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 2-2,Grigor Dimitrov,4.0,4.0,8348432.0,3510844.0,,1.43,Grigor Dimitrov,91.0,15.0,4.0,109.0,45.0,79.0,58.0,38.0,21.0,8.0,13.0,,,,,2.0,192.0,,,1.43,2.80,F,2-6 6-1 7-6(7),Hard,Viktor Troicki,9.0,0.0,8348432.0,3510843.0,,2.8,Viktor Troicki,101.0,7.0,4.0,83.0,37.0,109.0,67.0,47.0,42.0,17.0,14.0,,,,,1.0,192.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
1,H2H 6-1,Teymuraz Gabashvili,6.0,5.0,8348106.0,3510553.0,,2.25,Teymuraz Gabashvili,84.0,7.0,5.0,89.0,33.0,81.0,48.0,33.0,33.0,18.0,14.0,,,,,1.0,175.0,,,2.25,1.57,SF,3-6 6-4 6-4,Hard,Viktor Troicki,11.0,0.0,8348106.0,3510554.0,,1.57,Viktor Troicki,91.0,10.0,5.0,86.0,35.0,89.0,59.0,40.0,30.0,16.0,15.0,,,,,2.0,175.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
2,H2H 2-3,Gilles Muller,12.0,1.0,8348107.0,3510552.0,,3.25,Gilles Muller,57.0,3.0,0.0,62.0,13.0,67.0,42.0,32.0,25.0,12.0,10.0,,,,,2.0,130.0,,,3.25,1.33,SF,6-2 7-6(4),Hard,Grigor Dimitrov,7.0,0.0,8348107.0,3510551.0,,1.33,Grigor Dimitrov,73.0,2.0,2.0,68.0,24.0,62.0,43.0,35.0,19.0,14.0,10.0,,,,,1.0,130.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
3,H2H 1-0,Bernard Tomic,3.0,1.0,8347810.0,3510025.0,,1.29,Bernard Tomic,31.0,1.0,0.0,41.0,14.0,36.0,21.0,11.0,15.0,6.0,6.0,,,,,1.0,78.0,,,1.29,3.45,QF,6-3 3-0 Ret.,Hard,Teymuraz Gabashvili,4.0,2.0,8347810.0,3510026.0,,3.45,Teymuraz Gabashvili,47.0,6.0,3.0,37.0,20.0,39.0,19.0,16.0,20.0,11.0,6.0,,,,,2.0,78.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
4,H2H 2-1,Nicolas Mahut,4.0,4.0,8347811.0,3510008.0,,2.8,Nicolas Mahut,77.0,5.0,2.0,80.0,26.0,79.0,55.0,40.0,24.0,11.0,14.0,,,,,2.0,163.0,,,2.80,1.42,QF,4-6 6-3 6-3,Hard,Viktor Troicki,6.0,3.0,8347811.0,3510007.0,,1.42,Viktor Troicki,86.0,9.0,4.0,83.0,32.0,77.0,53.0,37.0,24.0,17.0,14.0,,,,,1.0,163.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
5,H2H 4-1,Alexandr Dolgopolov,8.0,6.0,8347812.0,3510001.0,,2.75,Alexandr Dolgopolov,93.0,6.0,2.0,92.0,28.0,105.0,66.0,44.0,39.0,21.0,14.0,,,,,1.0,203.0,,,2.75,1.43,QF,4-6 6-3 6-4,Hard,Grigor Dimitrov,10.0,3.0,8347812.0,3510002.0,,1.43,Grigor Dimitrov,110.0,15.0,3.0,111.0,46.0,89.0,60.0,47.0,29.0,17.0,15.0,,,,,2.0,203.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
6,H2H 4-0,Jeremy Chardy,2.0,5.0,8347813.0,3510003.0,,2.0,Jeremy Chardy,58.0,0.0,0.0,59.0,14.0,64.0,44.0,34.0,20.0,10.0,11.0,,,,,1.0,128.0,,,2.00,1.77,QF,7-6(5) 6-3,Hard,Gilles Muller,14.0,5.0,8347813.0,3510004.0,,1.77,Gilles Muller,70.0,3.0,2.0,69.0,25.0,54.0,35.0,32.0,19.0,13.0,10.0,,,,,2.0,128.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
7,H2H 1-0,Jordan Thompson,4.0,0.0,8346803.0,3509398.0,,6.3,Jordan Thompson,27.0,0.0,0.0,39.0,7.0,38.0,23.0,14.0,15.0,6.0,8.0,,,,,2.0,77.0,,,6.30,1.11,R16,6-2 6-2,Hard,Bernard Tomic,6.0,0.0,8346803.0,3509397.0,,1.11,Bernard Tomic,50.0,5.0,4.0,38.0,18.0,39.0,25.0,23.0,14.0,9.0,8.0,,,,,1.0,77.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
8,H2H 2-2,Federico Delbonis,2.0,4.0,8347688.0,3509735.0,,2.9,Federico Delbonis,47.0,3.0,0.0,55.0,15.0,49.0,31.0,21.0,18.0,11.0,9.0,,,,,1.0,108.0,,,2.90,1.39,R16,6-3 6-3,Hard,Teymuraz Gabashvili,4.0,0.0,8347688.0,3509736.0,,1.39,Teymuraz Gabashvili,61.0,5.0,3.0,53.0,21.0,55.0,35.0,28.0,20.0,12.0,9.0,,,,,2.0,108.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
9,H2H 3-3,Tommy Robredo,1.0,1.0,8346804.0,3509450.0,,2.15,Tommy Robredo,37.0,3.0,1.0,46.0,11.0,49.0,24.0,17.0,25.0,9.0,8.0,,,,,2.0,96.0,,,2.15,1.67,R16,6-1 6-4,Hard,Viktor Troicki,8.0,4.0,8346804.0,3509449.0,,1.67,Viktor Troicki,59.0,7.0,4.0,50.0,24.0,42.0,26.0,24.0,16.0,11.0,9.0,,,,,1.0,96.0,,,2016-01-11,https://matchstat.com/tennis/tournaments/m/Sydney/2016,Sydney
