,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 11-3,Vitas Gerulaitis,F,6-3 7-5,John McEnroe,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
1,H2H 7-4,Johan Kriek,SF,6-2 7-5,Vitas Gerulaitis,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
2,H2H 2-4,G. Vilas,SF,6-1 6-1,John McEnroe,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
3,H2H 1-0,Henri Leconte,QF,7-5 3-6 6-0,Johan Kriek,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
4,H2H 2-2,Brad Gilbert,QF,7-5 7-6,Vitas Gerulaitis,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
5,H2H 8-2,Paul McNamee,QF,6-2 6-2,G. Vilas,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
6,H2H 10-0,Tomas Smid,QF,6-3 7-5,John McEnroe,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
7,H2H 3-9,Ivan Lendl,R16,6-2 6-3,Henri Leconte,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
8,H2H 1-0,Peter Bastiansen,R16,6-7 7-5 6-1,Johan Kriek,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
9,H2H 4-1,Kevin Curren,R16,6-4 6-4,Brad Gilbert,1983-05-02,https://matchstat.com/tennis/tournaments/m/TOC%20Forest%20Hills/1983,TOC Forest Hills
