,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Ismail El Shafei,F,6-7 7-5 7-6 6-4,Tim Gullikson,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
1,H2H 1-1,Geoff Masters,SF,7-5 4-6 6-2,Tim Gullikson,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
2,H2H 1-0,Richard Lewis,SF,6-1 6-4,Ismail El Shafei,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
3,H2H 5-5,Terry Moor,QF,3-6 6-3 6-2,Tim Gullikson,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
4,H2H 3-0,John Whitlinger,QF,6-4 3-6 7-6,Geoff Masters,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
5,H2H 2-0,Karl Meiler,QF,6-3 6-2,Ismail El Shafei,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
6,H2H 1-1,Steve Docherty,QF,6-3 5-7 6-2,Richard Lewis,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
7,H2H 2-3,Crealy,R16,6-2 6-4,Tim Gullikson,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
8,H2H 5-0,Tim Wilkison,R16,6-2 6-1,Terry Moor,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
9,H2H 1-3,Jim Delaney,R16,6-4 2-6 7-5,John Whitlinger,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
10,H2H 2-0,Rick Fagel,R16,6-4 6-2,Geoff Masters,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
11,H2H 2-1,Tom Gorman,R16,7-6 7-6,Ismail El Shafei,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
12,H2H 1-0,Sashi Menon,R16,6-3 6-7 6-4,Karl Meiler,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
13,H2H 1-0,Cliff Letcher,R16,6-2 1-6 6-3,Steve Docherty,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
14,H2H 2-0,Pat Du Pre,R16,6-3 3-6 6-3,Richard Lewis,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
15,H2H 3-0,John Marks,R32,6-3 6-1,Tim Gullikson,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
16,H2H 1-1,Tom Gullikson,R32,4-6 7-5 7-6,Crealy,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
17,H2H 1-0,Greg Halder,R32,7-6 6-2,Tim Wilkison,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
18,H2H 1-0,Chris Kachel,R32,6-3 6-2,Terry Moor,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
19,H2H 1-0,Rejean Genois,R32,5-7 7-5 6-4,Jim Delaney,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
20,H2H 1-0,Doug Crawford,R32,6-3 6-4,John Whitlinger,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
21,H2H 2-0,Alvin Gardiner,R32,6-1 6-4,Geoff Masters,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
22,H2H 1-0,Marcelo Lara,R32,6-2 6-3,Rick Fagel,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
23,H2H 1-0,Paul Kronk,R32,6-2 6-2,Tom Gorman,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
24,H2H 1-0,Joel Bailey,R32,6-3 6-4,Ismail El Shafei,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
25,H2H 3-1,Mike Cahill,R32,1-6 6-1 7-6,Sashi Menon,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
26,H2H 2-1,Werner Zirngibl,R32,6-4 6-4,Karl Meiler,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
27,H2H 1-0,Jean-Francois Caujolle,R32,4-6 7-6 7-6,Steve Docherty,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
28,H2H 1-0,Kiyoshi Tanabe,R32,5-7 6-3 6-2,Cliff Letcher,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
29,H2H 1-0,Bob Carmichael,R32,6-4 4-6 7-6,Richard Lewis,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
30,H2H 5-0,Colin Dibley,R32,6-4 6-4,Pat Du Pre,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
31,,S Docherty / T Gorman,F,7-6 7-6,J Delaney / P Du Pre,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
32,,R Frawley / A Gardiner,SF,6-3 6-4,S Docherty / T Gorman,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
33,,M Cahill / T Moor,SF,7-6 3-6 7-6,J Delaney / P Du Pre,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
34,,J Bailey / M Lara,QF,7-6 6-2,S Docherty / T Gorman,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
35,,P Kronk / C Letcher,QF,1-6 7-6 6-4,R Frawley / A Gardiner,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
36,,S Kato / K Tanabe,QF,6-1 7-6,J Delaney / P Du Pre,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
37,,T Gullikson / T Gullikson,QF,7-5 4-6 6-4,M Cahill / T Moor,1977-11-21,https://matchstat.com/tennis/tournaments/m/Taipei/1977,Taipei
