,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Richard Fromberg,F,6-4 6-2,Jaime Yzaga,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
1,H2H 2-1,Patrick McEnroe,SF,7-6 6-3,Jaime Yzaga,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
2,H2H 1-0,Bryan Shelton,SF,6-7 6-3 7-5,Richard Fromberg,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
3,H2H 5-1,Jeff Tarango,QF,6-4 6-4,Patrick McEnroe,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
4,H2H 3-2,Todd Martin,QF,7-6 4-6 6-1,Jaime Yzaga,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
5,H2H 2-1,David Wheaton,QF,4-6 6-4 6-4,Richard Fromberg,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
6,H2H 1-0,Wally Masur,QF,6-4 6-4,Bryan Shelton,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
7,H2H 3-0,Karsten Braasch,R16,6-0 6-3,Patrick McEnroe,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
8,H2H 2-1,Alex O'Brien,R16,6-7 6-4 1-1 Retired,Jeff Tarango,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
9,H2H 6-1,Todd Woodbridge,R16,6-2 7-5,Todd Martin,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
10,H2H 1-2,Luis-Enrique Herrera,R16,6-2 6-1,Jaime Yzaga,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
11,H2H 2-4,Richey Reneberg,R16,6-2 4-6 6-2,Richard Fromberg,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
12,H2H 1-0,Mikael Pernfors,R16,7-6 5-7 6-2,David Wheaton,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
13,H2H 3-0,Derrick Rostagno,R16,2-6 7-6 6-2,Bryan Shelton,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
14,H2H 1-0,Brian Dunn,R16,7-5 1-6 6-4,Wally Masur,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
15,H2H 2-1,Mark Woodforde,R32,3-6 7-6 4-0 Retired,Patrick McEnroe,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
16,H2H 1-0,Marcos-Aurelio Gorriz-Bonhora,R32,7-5 6-1,Karsten Braasch,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
17,H2H 2-1,Diego Perez,R32,0-6 6-2 6-2,Jeff Tarango,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
18,H2H 1-6,Jonathan Stark,R32,6-4 6-4,Alex O'Brien,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
19,H2H 1-0,Oliver Fernandez,R32,4-6 6-4 6-1,Todd Martin,1993-05-03,https://matchstat.com/tennis/tournaments/m/Tampa/1993,Tampa
