,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Vladimir Voltchkov,F,7-6(6) 7-5,Yevgeny Kafelnikov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
1,H2H 2-1,Paradorn Srichaphan,SF,6-2 6-4,Yevgeny Kafelnikov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
2,H2H 2-2,Davide Sanguinetti,SF,6-3 6-2,Vladimir Voltchkov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
3,H2H 1-3,Marat Safin,QF,6-3 7-6(5),Paradorn Srichaphan,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
4,H2H 2-3,Ivan Ljubicic,QF,6-3 6-2,Yevgeny Kafelnikov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
5,H2H 2-0,Kristian Pless,QF,4-6 7-6(1) 6-2,Davide Sanguinetti,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
6,H2H 1-0,Tommy Haas,QF,6-2 2-1 Retired,Vladimir Voltchkov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
7,H2H 1-0,Karol Beck,R16,7-6(4) 6-7(3) 6-4,Marat Safin,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
8,H2H 4-0,Harel Levy,R16,6-3 6-4,Paradorn Srichaphan,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
9,H2H 6-0,Kenneth Carlsen,R16,3-6 6-4 6-4,Yevgeny Kafelnikov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
10,H2H 1-1,Vadim Kutsenko,R16,6-7(2) 6-2 7-6(4),Ivan Ljubicic,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
11,H2H 2-0,Andrei Stoliarov,R16,6-3 6-3,Davide Sanguinetti,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
12,H2H 2-2,Lars Burgsmuller,R16,6-4 7-5,Kristian Pless,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
13,H2H 2-2,Mikhail Youzhny,R16,6-1 6-3,Vladimir Voltchkov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
14,H2H 2-1,Sargis Sargsian,R16,7-6(5) 6-4,Tommy Haas,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
15,H2H 1-0,Gregory Carraz,R32,6-2 6-4,Marat Safin,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
16,H2H 1-1,Raemon Sluiter,R32,6-1 7-6(5),Karol Beck,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
17,H2H 1-0,Nikolay Davydenko,R32,6-4 7-6(9),Harel Levy,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
18,H2H 4-0,Antony Dupuis,R32,6-1 6-2,Paradorn Srichaphan,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
19,H2H 2-0,Alexander Waske,R32,6-7(6) 7-6(5) 7-6(6),Yevgeny Kafelnikov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
20,H2H 2-0,Nicolas Kiefer,R32,5-2 Retired,Kenneth Carlsen,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
21,H2H 3-0,Noam Okun,R32,6-2 3-6 7-5,Vadim Kutsenko,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
22,H2H 3-2,Martin Verkerk,R32,6-4 6-1,Ivan Ljubicic,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
23,H2H 1-0,Magnus Norman,R32,4-6 6-4 7-6(2),Davide Sanguinetti,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
24,H2H 1-0,Tuomas Ketola,R32,2-6 7-6(2) 6-2,Andrei Stoliarov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
25,H2H 1-1,Kirill Ivanov-Smolensky,R32,4-6 6-0 6-2,Lars Burgsmuller,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
26,H2H 1-2,Rainer Schuettler,R32,7-6(4) 6-2,Kristian Pless,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
27,H2H 3-6,Feliciano Lopez,R32,7-6(5) 6-4,Mikhail Youzhny,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
28,H2H 2-1,Oleg Ogorodov,R32,6-2 6-2,Vladimir Voltchkov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
29,H2H 1-2,Bjorn Phau,R32,6-3 7-6(3),Sargis Sargsian,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
30,H2H 2-3,Marc Rosset,R32,4-6 7-6(2) 6-3,Tommy Haas,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
31,,R Sluiter / M Verkerk,F,6-2 7-5,D Adams / R Koenig,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
32,,S Aspelin / A Olhovskiy,SF,6-3 6-2,D Adams / R Koenig,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
33,,D Golovanov / M Safin,SF,4-6 6-3 7-6(3),R Sluiter / M Verkerk,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
34,,K Beck / V Voltchkov,QF,7-6(4) 6-1,D Adams / R Koenig,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
35,,S Groen / A Waske,QF,6-1 6-2,S Aspelin / A Olhovskiy,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
36,,J Erlich / H Levy,QF,6-4 5-7 6-4,D Golovanov / M Safin,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
37,,T Ketola / V Kutsenko,QF,6-4 6-0,R Sluiter / M Verkerk,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
38,,I Ljubicic / D Sanguinetti,R16,6-4 6-3,D Adams / R Koenig,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
39,,K Ivanov-Smolensky / D Tomashevich,R16,6-1 7-6(2),K Beck / V Voltchkov,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
40,,S Ikramov / G Ishmatov,R16,6-1 6-1,S Aspelin / A Olhovskiy,2002-09-09,https://matchstat.com/tennis/tournaments/m/Tashkent/2002,Tashkent
