,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-2,Christo Van Rensburg,F,6-2 3-6 6-3,Leonardo Lavalle,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
1,H2H 2-1,Bryan Shelton,SF,6-4 7-6,Leonardo Lavalle,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
2,H2H 1-3,Gilad Bloom,SF,6-3 2-6 6-3,Christo Van Rensburg,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
3,H2H 1-1,Andrey Cherkasov,QF,7-5 6-7 6-3,Leonardo Lavalle,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
4,H2H 1-1,Peter Nyborg,QF,7-6 6-4,Bryan Shelton,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
5,H2H 1-1,Olivier Delaitre,QF,6-3 6-3,Christo Van Rensburg,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
6,H2H 1-0,Johan Carlsson,QF,6-3 7-5,Gilad Bloom,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
7,H2H 1-0,Chuck Adams,R16,6-3 7-6,Andrey Cherkasov,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
8,H2H 1-1,Chris Pridham,R16,6-4 7-6,Leonardo Lavalle,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
9,H2H 1-0,Jan Apell,R16,7-5 4-6 6-4,Peter Nyborg,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
10,H2H 1-1,Raviv Weidenfeld,R16,6-3 6-1,Bryan Shelton,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
11,H2H 2-0,David Rikl,R16,6-3 7-5,Olivier Delaitre,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
12,H2H 3-0,Henrik Holm,R16,7-6 6-1,Christo Van Rensburg,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
13,H2H 1-0,Javier Frana,R16,6-3 6-4,Johan Carlsson,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
14,H2H 2-0,Martin Jaite,R16,6-3 6-4,Gilad Bloom,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
15,H2H 1-0,Shahar Perkiss,R32,7-5 6-4,Andrey Cherkasov,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
16,H2H 1-0,Ofer Sela,R32,6-3 6-4,Chuck Adams,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
17,H2H 1-1,Martin Wostenholme,R32,6-4 6-3,Chris Pridham,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
18,H2H 1-0,Jacco Eltingh,R32,4-6 6-3 6-4,Leonardo Lavalle,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
19,H2H 1-0,M. Koevermans,R32,6-1 6-0,Jan Apell,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
20,H2H 1-0,Ohad Weinberg,R32,6-2 6-4,Peter Nyborg,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
21,H2H 1-0,Vaclav Roubicek,R32,6-3 7-6,Raviv Weidenfeld,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
22,H2H 1-0,Lars Jonsson,R32,6-3 7-6,Bryan Shelton,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
23,H2H 2-0,Brett Steven,R32,6-2 4-6 6-1,Olivier Delaitre,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
24,H2H 3-0,Tomas Zdrazila,R32,2-6 6-4 6-3,David Rikl,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
25,H2H 1-0,Martin Laurendeau,R32,1-6 6-4 6-4,Henrik Holm,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
26,H2H 3-2,Amos Mansdorf,R32,6-3 6-2,Christo Van Rensburg,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
27,H2H 2-1,Michiel Schapers,R32,6-3 6-3,Javier Frana,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
28,H2H 2-0,Vladimir Gabrichidze,R32,3-6 6-4 6-2,Johan Carlsson,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
29,H2H 1-1,Martin Strelba,R32,6-3 6-2,Gilad Bloom,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
30,H2H 2-0,Alex Antonitsch,R32,6-3 6-1,Martin Jaite,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
31,,J Frana / L Lavalle,F,6-2 6-7 6-3,D Rikl / M Schapers,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
32,,N Odizor / B Shelton,SF,7-6 6-3,J Frana / L Lavalle,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
33,,P Henricsson / O Jonsson,SF,5-7 6-3 6-3,D Rikl / M Schapers,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
34,,H Holm / N Holm,QF,7-5 6-4,J Frana / L Lavalle,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
35,,M Barnard / M Ondruska,QF,6-4 6-3,N Odizor / B Shelton,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
36,,D Eisenman / T Scherman,QF,7-6 7-6,P Henricsson / O Jonsson,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
37,,S Guy / B Steven,QF,6-3 3-6 6-2,D Rikl / M Schapers,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
38,,J Eltingh / M Mortensen,R16,6-4 6-7 6-3,J Frana / L Lavalle,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
39,,A Cherkasov / M Jaite,R16,6-4 3-6 6-2,H Holm / N Holm,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
40,,A Antonitsch / G Bloom,R16,6-3 6-4,N Odizor / B Shelton,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
41,,M Oosting / O Rahnasto,R16,6-3 6-4,M Barnard / M Ondruska,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
42,,G Dzelde / D Randall,R16,6-4 2-6 7-6,P Henricsson / O Jonsson,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
43,,A Castle / P Wekesa,R16,6-3 2-6 6-2,D Eisenman / T Scherman,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
44,,J Cihak / T Zdrazila,R16,6-1 6-7 6-1,S Guy / B Steven,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
45,,J de Jager / C Van Rensburg,R16,1-6 6-3 7-6,D Rikl / M Schapers,1991-10-07,https://matchstat.com/tennis/tournaments/m/Tel%20Aviv/1991,Tel Aviv
