,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 8-3,Andre Agassi,F,6-3 6-0 6-4,Roger Federer,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
1,H2H 4-1,Rainer Schuettler,SF,5-7 6-0 6-4,Andre Agassi,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
2,H2H 21-3,Andy Roddick,SF,7-6(2) 6-2,Roger Federer,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
3,H2H 4-3,Juan Carlos Ferrero,RR A,6-3 6-1,David Nalbandian,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
4,H2H 1-0,David Nalbandian,RR A,7-6(10) 3-6 6-4,Andre Agassi,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
5,H2H 2-3,Juan Carlos Ferrero,RR A,2-6 6-3 6-4,Andre Agassi,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
6,H2H 8-3,Andre Agassi,RR A,6-7(3) 6-3 7-67),Roger Federer,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
7,H2H 11-8,David Nalbandian,RR A,6-3 6-0,Roger Federer,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
8,H2H 10-3,Juan Carlos Ferrero,RR A,6-3 6-1,Roger Federer,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
9,H2H 5-2,Carlos Moya,RR B,6-2 6-3,Guillermo Coria,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
10,H2H 3-5,Rainer Schuettler,RR B,7-5 6-4,Carlos Moya,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
11,H2H 1-2,Guillermo Coria,RR B,6-3 4-6 6-2,Rainer Schuettler,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
12,H2H 4-1,Carlos Moya,RR B,6-2 3-6 6-3,Andy Roddick,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
13,H2H 3-1,Andy Roddick,RR B,4-6 7-6(4) 7-63),Rainer Schuettler,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
14,H2H 5-0,Guillermo Coria,RR B,6-3 6-7(3) 6-3,Andy Roddick,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
15,,M Llodra / F Santoro,F,6-7(6) 6-3 3-6 7-6(3) 6-4,B Bryan / M Bryan,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
16,,G Etlis / M Rodriguez,SF,6-2 6-4,B Bryan / M Bryan,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
17,,M Knowles / D Nestor,SF,6-1 6-3,M Llodra / F Santoro,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
18,,G Etlis / M Rodriguez,RR A,6-2 6-1,M Knowles / D Nestor,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
19,,M Bhupathi / M Mirnyi,RR A,6-4 6-7(6) 7-6(4),M Knowles / D Nestor,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
20,,G Etlis / M Rodriguez,RR A,4-6 7-6(5) 7-6(9),W Arthurs / P Hanley,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
21,,W Arthurs / P Hanley,RR A,6-4 6-7(5) 7-66),M Knowles / D Nestor,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
22,,W Arthurs / P Hanley,RR A,6-4 7-6(4),M Bhupathi / M Mirnyi,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
23,,M Bhupathi / M Mirnyi,RR A,6-4 6-4,G Etlis / M Rodriguez,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
24,,J Bjorkman / T Woodbridge,RR B,7-6(1) 3-6 6-4,M Llodra / F Santoro,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
25,,J Bjorkman / T Woodbridge,RR B,4-6 6-3 7-6(9),B Bryan / M Bryan,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
26,,M Llodra / F Santoro,RR B,6-4 5-7 6-4,B Bryan / M Bryan,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
27,,M Damm / C Suk,RR B,7-5 6-7(0) 7-64),B Bryan / M Bryan,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
28,,M Damm / C Suk,RR B,6-3 6-3,J Bjorkman / T Woodbridge,2003-11-03,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2003,Tennis Masters Cup
