,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 8-11,Roger Federer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,6-7(4) 6-7(11) 6-2 6-1 7-6(3),David Nalbandian,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
1,H2H 5-0,Gaston Gaudio,0.0,10.0,6330590.0,400594.0,,16.5,Gaston Gaudio,25.0,1.0,0.0,36.0,10.0,44.0,25.0,10.0,19.0,5.0,,,,,,2.0,80.0,,,16.50,1.05,SF,6-0 6-0,Roger Federer,5.0,0.0,6330590.0,400593.0,,1.05,Roger Federer,55.0,11.0,6.0,44.0,29.0,36.0,18.0,14.0,18.0,12.0,,,,,,1.0,80.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
2,H2H 7-5,Nikolay Davydenko,4.0,2.0,6330451.0,400596.0,,2.36,Nikolay Davydenko,47.0,1.0,1.0,53.0,18.0,62.0,43.0,25.0,19.0,4.0,,,,,,2.0,115.0,,,2.36,1.69,SF,6-0 7-5,David Nalbandian,2.0,0.0,6330451.0,400595.0,,1.685,David Nalbandian,68.0,10.0,5.0,62.0,33.0,53.0,29.0,22.0,24.0,13.0,,,,,,1.0,115.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
3,H2H 7-1,Mariano Puerta,6.0,0.0,6330466.0,400576.0,,,Mariano Puerta,53.0,3.0,1.0,61.0,16.0,65.0,49.0,31.0,16.0,6.0,,,,,,2.0,126.0,,,,,RR A,6-3 7-5,Gaston Gaudio,10.0,4.0,6330466.0,400575.0,,,Gaston Gaudio,73.0,7.0,3.0,65.0,28.0,61.0,43.0,34.0,18.0,11.0,,,,,,1.0,126.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
4,H2H 2-5,Gaston Gaudio,1.0,2.0,6330467.0,400581.0,,2.76,Gaston Gaudio,65.0,11.0,2.0,77.0,31.0,68.0,45.0,25.0,23.0,9.0,,,,,,1.0,145.0,,,2.76,1.54,RR A,6-3 6-4,Nikolay Davydenko,2.0,4.0,6330467.0,400582.0,,1.538,Nikolay Davydenko,80.0,9.0,4.0,68.0,34.0,77.0,43.0,29.0,34.0,17.0,,,,,,2.0,145.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
5,H2H 2-1,Mariano Puerta,0.0,1.0,6330533.0,400591.0,,4.25,Mariano Puerta,36.0,0.0,0.0,48.0,12.0,43.0,26.0,16.0,17.0,8.0,,,,,,1.0,91.0,,,4.25,1.28,RR A,6-3 6-2,Nikolay Davydenko,9.0,1.0,6330533.0,400592.0,,1.282,Nikolay Davydenko,55.0,6.0,3.0,43.0,19.0,48.0,25.0,23.0,23.0,13.0,,,,,,2.0,91.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
6,H2H 1-2,Andre Agassi,0.0,3.0,6330557.0,400574.0,,1.38,Andre Agassi,55.0,4.0,0.0,61.0,18.0,60.0,38.0,28.0,22.0,9.0,,,,,,2.0,121.0,,,1.38,3.43,RR A,6-4 6-2,Nikolay Davydenko,5.0,2.0,6330557.0,400573.0,,3.43,Nikolay Davydenko,66.0,4.0,3.0,60.0,23.0,61.0,39.0,29.0,22.0,14.0,,,,,,1.0,121.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
7,H2H 1-1,Mariano Puerta,1.0,3.0,6330459.0,400584.0,,4.65,Mariano Puerta,65.0,3.0,1.0,68.0,20.0,80.0,55.0,32.0,25.0,13.0,,,,,,2.0,148.0,,,4.65,1.25,RR A,6-3 4-6 6-0,Fernando Gonzalez,8.0,5.0,6330459.0,400583.0,,1.247,Fernando Gonzalez,83.0,11.0,5.0,80.0,35.0,68.0,47.0,36.0,21.0,12.0,,,,,,1.0,148.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
8,H2H 3-0,Fernando Gonzalez,13.0,5.0,6330458.0,400589.0,,1.488,Fernando Gonzalez,96.0,9.0,5.0,98.0,39.0,89.0,45.0,32.0,44.0,25.0,,,,,,1.0,187.0,,,1.49,2.85,RR A,1-6 7-5 7-5,Gaston Gaudio,1.0,9.0,6330458.0,400590.0,,2.85,Gaston Gaudio,91.0,13.0,4.0,89.0,32.0,98.0,62.0,45.0,36.0,14.0,,,,,,2.0,187.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
9,H2H 11-8,David Nalbandian,2.0,6.0,6330452.0,400569.0,,7.37,David Nalbandian,207.0,16.0,11.0,190.0,86.0,196.0,137.0,91.0,59.0,30.0,,,,,,1.0,386.0,,,7.37,1.14,RR B,6-3 2-6 6-4,Roger Federer,9.0,8.0,6330452.0,400570.0,,1.143,Roger Federer,179.0,20.0,6.0,196.0,75.0,190.0,114.0,78.0,76.0,26.0,,,,,,2.0,386.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
10,H2H 2-3,Guillermo Coria,1.0,14.0,6330473.0,400579.0,,4.21,Guillermo Coria,66.0,14.0,5.0,77.0,37.0,69.0,39.0,21.0,30.0,8.0,,,,,,1.0,146.0,,,4.21,1.29,RR B,7-5 6-4,David Nalbandian,1.0,2.0,6330473.0,400580.0,,1.285,David Nalbandian,80.0,17.0,7.0,69.0,40.0,77.0,47.0,27.0,30.0,13.0,,,,,,2.0,146.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
11,H2H 3-0,Guillermo Coria,0.0,9.0,6330475.0,400587.0,,21.0,Guillermo Coria,62.0,4.0,2.0,64.0,26.0,70.0,43.0,26.0,27.0,10.0,,,,,,1.0,134.0,,,21.00,1.04,RR B,6-0 1-6 6-2,Roger Federer,3.0,2.0,6330475.0,400588.0,,1.04,Roger Federer,72.0,15.0,5.0,70.0,34.0,64.0,46.0,31.0,18.0,7.0,,,,,,2.0,134.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
12,H2H 4-5,Ivan Ljubicic,5.0,0.0,6330480.0,400585.0,,1.391,Ivan Ljubicic,34.0,2.0,1.0,44.0,14.0,48.0,28.0,15.0,20.0,5.0,,,,,,1.0,92.0,,,1.39,3.36,RR B,6-2 6-2,David Nalbandian,1.0,2.0,6330480.0,400586.0,,3.36,David Nalbandian,58.0,6.0,5.0,48.0,28.0,44.0,29.0,22.0,15.0,8.0,,,,,,2.0,92.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
13,H2H 2-3,Guillermo Coria,1.0,4.0,6330482.0,400572.0,,5.7,Guillermo Coria,44.0,6.0,1.0,55.0,17.0,53.0,33.0,18.0,20.0,9.0,,,,,,2.0,108.0,,,5.70,1.19,RR B,6-2 6-3,Ivan Ljubicic,7.0,0.0,6330482.0,400571.0,,1.192,Ivan Ljubicic,64.0,11.0,4.0,53.0,26.0,55.0,38.0,29.0,17.0,9.0,,,,,,1.0,108.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
14,H2H 13-3,Ivan Ljubicic,10.0,5.0,6330483.0,400577.0,,3.08,Ivan Ljubicic,95.0,6.0,3.0,90.0,29.0,108.0,63.0,45.0,45.0,21.0,,,,,,1.0,198.0,,,3.08,1.44,RR B,6-3 2-6 7-64),Roger Federer,4.0,0.0,6330483.0,400578.0,,1.439,Roger Federer,103.0,9.0,2.0,108.0,42.0,90.0,52.0,42.0,38.0,19.0,,,,,,2.0,198.0,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
15,,L Paes / N Zimonjic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,6-7(6) 6-3 7-6(4),M Llodra / F Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
16,,B Bryan / M Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-3 7-6(7),M Llodra / F Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
17,,W Black / K Ullyett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,6-3 6-4,L Paes / N Zimonjic,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
18,,J Bjorkman / M Mirnyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR A,7-5 4-6 6-4,W Black / K Ullyett,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
19,,M Llodra / F Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR A,3-6 6-3 6-4,W Black / K Ullyett,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
20,,S Huss / W Moodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR A,3-6 7-6(1) 6-2,W Black / K Ullyett,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
21,,S Huss / W Moodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR A,6-4 4-1,M Llodra / F Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
22,,J Bjorkman / M Mirnyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR A,6-2 6-4,S Huss / W Moodie,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-14,https://matchstat.com/tennis/tournaments/m/Tennis%20Masters%20Cup/2005,Tennis Masters Cup
