,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 13-5,Jimmy Connors,F,6-2 6-2,Bjorn Borg,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
1,H2H 3-0,John Sadri,SF,6-3 6-1,Bjorn Borg,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
2,H2H 10-4,Vitas Gerulaitis,SF,6-7 6-2 6-3,Jimmy Connors,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
3,H2H 2-0,B. Lutz,QF,6-3 6-3,Bjorn Borg,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
4,H2H 2-2,Vijay Amritraj,QF,2-6 6-4 6-3,John Sadri,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
5,H2H 1-3,Yannick Noah,QF,6-3 6-2,Vitas Gerulaitis,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
6,H2H 5-0,Tim Gullikson,QF,6-2 6-2,Jimmy Connors,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
7,H2H 2-1,Bill Scanlon,R16,2-6 7-6 6-1,Bjorn Borg,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
8,H2H 3-1,Kim Warwick,R16,7-5 6-0,B. Lutz,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
9,H2H 2-5,Ivan Lendl,R16,6-0 4-6 6-3,John Sadri,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
10,H2H 2-0,Christopher Mottram,R16,6-3 6-3,Vijay Amritraj,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
11,H2H 2-0,Geoff Masters,R16,6-4 4-6 7-6,Yannick Noah,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
12,H2H 6-0,Tim Wilkison,R16,6-3 6-1,Vitas Gerulaitis,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
13,H2H 2-2,M. Riessen,R16,6-1 4-6 6-2,Tim Gullikson,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
14,H2H 2-0,Peter Feigl,R16,6-3 6-0,Jimmy Connors,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
15,H2H 4-0,Victor Amaya,R32,6-7 7-6 7-6,Bjorn Borg,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
16,H2H 2-0,Shigeyuki Nishio,R32,6-2 6-2,Bill Scanlon,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
17,H2H 3-0,Terry Moor,R32,6-4 6-7 6-4,B. Lutz,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
18,H2H 1-1,Pat Du Pre,R32,7-6 6-2,Kim Warwick,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
19,H2H 1-5,Roscoe Tanner,R32,6-3 7-6,John Sadri,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
20,H2H 2-0,Mark Edmondson,R32,3-6 7-6 6-2,Ivan Lendl,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
21,H2H 2-0,Butch Walts,R32,6-3 6-2,Vijay Amritraj,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
22,H2H 2-13,G. Vilas,R32,6-4 6-4,Christopher Mottram,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
23,H2H 1-0,Tsuyoshi Fukui,R32,6-2 7-5,Yannick Noah,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
24,H2H 1-0,Jun Kuki,R32,6-2 6-4,Geoff Masters,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
25,H2H 2-0,Ross Case,R32,4-6 6-3 7-6,Tim Wilkison,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
26,H2H 4-1,Hank Pfister,R32,6-7 6-3 6-2,Vitas Gerulaitis,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
27,H2H 1-2,I. Nastase,R32,7-6 4-6 6-3,Tim Gullikson,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
28,H2H 1-1,Tomas Smid,R32,6-2 6-3,M. Riessen,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
29,H2H 1-1,Peter McNamara,R32,7-6 6-3,Peter Feigl,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
30,H2H 3-0,Rod Frawley,R32,6-1 4-6 6-3,Jimmy Connors,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
31,,M Cahill / T Moor,F,6-4 7-6,M Riessen / S Stewart,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
32,,I Nastase / T Smid,SF,6-4 6-1,M Riessen / S Stewart,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
33,,R Frawley / F Gonzalez,SF,6-1 6-4,M Cahill / T Moor,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
34,,P Kronk / P McNamara,QF,6-3 4-6 6-2,M Riessen / S Stewart,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
35,,J Sadri / T Wilkison,QF,4-6 6-3 7-5,I Nastase / T Smid,1979-10-29,https://matchstat.com/tennis/tournaments/m/Tokyo%20Indoor/1979,Tokyo Indoor
