,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 13-14,Ivan Lendl,F,6-1 7-5 6-0,Stefan Edberg,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
1,H2H 12-9,Michael Chang,SF,7-5 6-2,Stefan Edberg,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
2,H2H 4-0,Jim Courier,SF,6-4 6-1,Ivan Lendl,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
3,H2H 6-9,Michael Stich,QF,7-6 6-3,Stefan Edberg,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
4,H2H 1-1,Pat Cash,QF,6-4 6-1,Michael Chang,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
5,H2H 2-1,John McEnroe,QF,6-2 6-2,Jim Courier,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
6,H2H 10-1,Jakob Hlasek,QF,6-1 6-4,Ivan Lendl,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
7,H2H 6-6,Jimmy Connors,R16,6-4 6-7 6-1,Stefan Edberg,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
8,H2H 4-3,Anders Jarryd,R16,7-6 6-2,Michael Stich,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
9,H2H 5-3,Brad Gilbert,R16,6-4 1-6 6-3,Pat Cash,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
10,H2H 1-1,David Pate,R16,6-4 7-6,Michael Chang,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
11,H2H 2-1,Todd Witsken,R16,3-6 7-6 6-4,John McEnroe,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
12,H2H 2-1,Dan Goldie,R16,6-3 6-4,Jim Courier,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
13,H2H 4-0,Alexander Mronz,R16,6-1 6-7 7-5,Jakob Hlasek,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
14,H2H 7-0,Jaime Yzaga,R16,7-5 6-3,Ivan Lendl,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
15,H2H 5-0,Kelly Evernden,R32,6-2 7-6,Stefan Edberg,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
16,H2H 2-1,Wally Masur,R32,3-6 7-6 7-5,Jimmy Connors,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
17,H2H 3-0,Luis-Enrique Herrera,R32,6-1 6-0,Anders Jarryd,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
18,H2H 2-0,Tim Mayotte,R32,7-5 6-4,Michael Stich,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
19,H2H 2-0,Grant Connell,R32,6-1 7-6,Brad Gilbert,1991-04-08,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/1991,Tokyo Outdoor
