,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-4,Mikhail Youzhny,3.0,0.0,5904971.0,139055.0,,3.36,Mikhail Youzhny,44.0,1.0,0.0,57.0,15.0,50.0,35.0,22.0,15.0,7.0,,,,,,1.0,107.0,,,3.36,1.39,F,6-3 6-3,Jo-Wilfried Tsonga,11.0,0.0,5904971.0,139056.0,,1.385,Jo-Wilfried Tsonga,63.0,4.0,3.0,50.0,21.0,57.0,43.0,34.0,14.0,8.0,,,,,,2.0,107.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
1,H2H 2-5,Lleyton Hewitt,3.0,1.0,5904969.0,136115.0,,1.69,Lleyton Hewitt,93.0,7.0,1.0,105.0,34.0,92.0,43.0,31.0,49.0,28.0,,,,,,1.0,197.0,,,1.69,2.34,SF,6-2 5-7 7-5,Mikhail Youzhny,10.0,3.0,5904969.0,136116.0,,2.34,Mikhail Youzhny,104.0,5.0,3.0,92.0,33.0,105.0,62.0,46.0,43.0,25.0,,,,,,2.0,197.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
2,H2H 5-3,Gael Monfils,4.0,3.0,5904970.0,136117.0,,2.11,Gael Monfils,41.0,0.0,0.0,42.0,6.0,61.0,41.0,29.0,20.0,6.0,,,,,,1.0,103.0,,,2.11,1.83,SF,6-3 6-3,Jo-Wilfried Tsonga,9.0,0.0,5904970.0,136118.0,,1.833,Jo-Wilfried Tsonga,62.0,7.0,3.0,61.0,26.0,42.0,29.0,28.0,13.0,8.0,,,,,,2.0,103.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
3,H2H 2-0,Edouard Roger-Vasselin,2.0,1.0,5904965.0,136095.0,,4.6,Edouard Roger-Vasselin,38.0,2.0,1.0,39.0,10.0,56.0,35.0,21.0,21.0,7.0,,,,,,1.0,95.0,,,4.60,1.18,QF,6-4 6-0,Lleyton Hewitt,5.0,1.0,5904965.0,136096.0,,1.18,Lleyton Hewitt,57.0,12.0,5.0,56.0,28.0,39.0,24.0,22.0,15.0,7.0,,,,,,2.0,95.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
4,H2H 6-6,Tomas Berdych,3.0,1.0,5904966.0,136098.0,,1.68,Tomas Berdych,62.0,5.0,2.0,70.0,25.0,64.0,42.0,24.0,22.0,13.0,,,,,,2.0,134.0,,,1.68,2.20,QF,6-2 7-6(6),Mikhail Youzhny,9.0,1.0,5904966.0,136097.0,,2.2,Mikhail Youzhny,72.0,5.0,4.0,64.0,27.0,70.0,46.0,32.0,24.0,13.0,,,,,,1.0,134.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
5,H2H 2-3,Stan Wawrinka,10.0,0.0,5904967.0,401013.0,,2.2,Stan Wawrinka,86.0,6.0,2.0,94.0,34.0,78.0,37.0,31.0,41.0,21.0,,,,,,1.0,172.0,,,2.20,1.77,QF,2-6 6-3 6-4,Gael Monfils,9.0,3.0,5904967.0,401014.0,,1.769,Gael Monfils,86.0,4.0,2.0,78.0,26.0,94.0,63.0,45.0,31.0,15.0,,,,,,2.0,172.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
6,H2H 3-3,Ernests Gulbis,11.0,2.0,5904968.0,136099.0,,2.8,Ernests Gulbis,72.0,3.0,1.0,78.0,19.0,75.0,53.0,39.0,22.0,14.0,,,,,,1.0,153.0,,,2.80,1.42,QF,4-6 6-4 6-3,Jo-Wilfried Tsonga,19.0,0.0,5904968.0,136100.0,,1.42,Jo-Wilfried Tsonga,81.0,4.0,2.0,75.0,22.0,78.0,56.0,48.0,22.0,11.0,,,,,,2.0,153.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
7,H2H 1-1,Jurgen Melzer,13.0,1.0,5904957.0,136060.0,,1.333,Jurgen Melzer,81.0,9.0,2.0,93.0,34.0,75.0,41.0,27.0,34.0,20.0,,,,,,2.0,168.0,,,1.33,3.71,R16,4-6 6-2 6-3,Edouard Roger-Vasselin,15.0,0.0,5904957.0,136059.0,,3.71,Edouard Roger-Vasselin,87.0,8.0,4.0,75.0,28.0,93.0,64.0,49.0,29.0,10.0,,,,,,1.0,168.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
8,H2H 3-2,Fabrice Santoro,7.0,4.0,5904958.0,136061.0,,5.37,Fabrice Santoro,74.0,6.0,3.0,80.0,30.0,79.0,45.0,33.0,34.0,11.0,,,,,,1.0,159.0,,,5.37,1.20,R16,3-6 6-3 6-1,Lleyton Hewitt,10.0,3.0,5904958.0,136062.0,,1.2,Lleyton Hewitt,85.0,12.0,5.0,79.0,35.0,80.0,44.0,32.0,36.0,18.0,,,,,,2.0,159.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
9,H2H 8-4,Gilles Simon,8.0,3.0,5904959.0,136071.0,,1.8,Gilles Simon,114.0,1.0,1.0,108.0,32.0,124.0,75.0,58.0,49.0,24.0,,,,,,1.0,232.0,,,1.80,2.00,R16,7-6(5) 6-7(5) 6-4,Mikhail Youzhny,8.0,1.0,5904959.0,136072.0,,2.0,Mikhail Youzhny,118.0,10.0,2.0,124.0,42.0,108.0,76.0,61.0,32.0,15.0,,,,,,2.0,232.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
10,H2H 2-0,Andreas Beck,2.0,6.0,5904960.0,136073.0,,3.5,Andreas Beck,53.0,4.0,0.0,59.0,18.0,66.0,38.0,21.0,28.0,14.0,,,,,,1.0,125.0,,,3.50,1.30,R16,6-4 6-1,Tomas Berdych,15.0,0.0,5904960.0,136074.0,,1.3,Tomas Berdych,72.0,10.0,4.0,66.0,31.0,59.0,41.0,34.0,18.0,7.0,,,,,,2.0,125.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
11,H2H 1-0,Simon Greul,1.0,2.0,5904961.0,401012.0,,4.0,Simon Greul,44.0,1.0,0.0,47.0,10.0,61.0,35.0,19.0,26.0,15.0,,,,,,2.0,108.0,,,4.00,1.20,R16,6-3 6-2,Stan Wawrinka,9.0,1.0,5904961.0,401011.0,,1.2,Stan Wawrinka,64.0,8.0,3.0,61.0,27.0,47.0,31.0,27.0,16.0,10.0,,,,,,1.0,108.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
12,H2H 2-0,Marco Chiudinelli,1.0,2.0,5904962.0,136051.0,,4.0,Marco Chiudinelli,61.0,5.0,1.0,66.0,21.0,67.0,41.0,28.0,26.0,12.0,,,,,,1.0,133.0,,,4.00,1.20,R16,7-6(5) 6-3,Gael Monfils,10.0,1.0,5904962.0,136052.0,,1.2,Gael Monfils,72.0,4.0,3.0,67.0,27.0,66.0,37.0,29.0,29.0,16.0,,,,,,2.0,133.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
13,H2H 2-5,Juan Monaco,1.0,2.0,5904963.0,136076.0,,2.3,Juan Monaco,33.0,2.0,1.0,41.0,14.0,39.0,27.0,15.0,12.0,4.0,,,,,,2.0,80.0,,,2.30,1.71,R16,6-3 4-1 Retired,Ernests Gulbis,2.0,2.0,5904963.0,136075.0,,1.709,Ernests Gulbis,47.0,4.0,4.0,39.0,20.0,41.0,30.0,23.0,11.0,4.0,,,,,,1.0,80.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
14,H2H 4-4,Richard Gasquet,2.0,4.0,5904964.0,136077.0,,2.65,Richard Gasquet,70.0,6.0,1.0,89.0,30.0,66.0,35.0,24.0,31.0,16.0,,,,,,1.0,155.0,,,2.65,1.56,R16,4-6 6-2 6-2,Jo-Wilfried Tsonga,12.0,4.0,5904964.0,136078.0,,1.556,Jo-Wilfried Tsonga,85.0,7.0,4.0,66.0,26.0,89.0,48.0,35.0,41.0,24.0,,,,,,2.0,155.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
15,H2H 1-2,Juan Martin Del Potro,6.0,1.0,5904941.0,135983.0,,1.05,Juan Martin Del Potro,60.0,6.0,0.0,74.0,22.0,58.0,29.0,24.0,29.0,14.0,,,,,,1.0,132.0,,,1.05,16.00,R32,6-4 6-4,Edouard Roger-Vasselin,9.0,2.0,5904941.0,135984.0,,16.0,Edouard Roger-Vasselin,72.0,4.0,2.0,58.0,20.0,74.0,43.0,34.0,31.0,18.0,,,,,,2.0,132.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
16,H2H 2-0,Leonardo Mayer,10.0,1.0,5904942.0,135986.0,,3.21,Leonardo Mayer,75.0,3.0,0.0,72.0,20.0,88.0,55.0,40.0,33.0,15.0,,,,,,2.0,160.0,,,3.21,1.41,R32,7-6(4) 6-3,Jurgen Melzer,5.0,2.0,5904942.0,135985.0,,1.413,Jurgen Melzer,85.0,7.0,1.0,88.0,33.0,72.0,47.0,39.0,25.0,13.0,,,,,,1.0,160.0,,,2009-10-05,https://matchstat.com/tennis/tournaments/m/Tokyo%20Outdoor/2009,Tokyo Outdoor
