,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-2,Anders Jarryd,F,7-6 6-3,Kevin Curren,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
1,H2H 4-0,Wojtek Fibak,SF,4-6 6-4 6-3,Anders Jarryd,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
2,H2H 3-4,Eliot Teltscher,SF,6-3 6-3,Kevin Curren,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
3,H2H 3-1,Peter Fleming,QF,6-3 2-6 6-2,Anders Jarryd,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
4,H2H 3-2,Gene Mayer,QF,6-1 1-6 6-4,Wojtek Fibak,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
5,H2H 2-0,Bud Schultz,QF,6-2 6-0,Kevin Curren,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
6,H2H 4-0,Ramesh Krishnan,QF,6-2 6-4,Eliot Teltscher,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
7,H2H 3-0,Mike De Palmer,R16,4-6 6-1 6-4,Anders Jarryd,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
8,H2H 1-0,Thomas Hogstedt,R16,7-6 6-3,Peter Fleming,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
9,H2H 5-0,Francisco Gonzalez,R16,6-1 4-6 6-4,Wojtek Fibak,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
10,H2H 2-0,Michiel Schapers,R16,6-4 5-7 6-4,Gene Mayer,1985-02-18,https://matchstat.com/tennis/tournaments/m/Toronto%20Indoor/1985,Toronto Indoor
