,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 8-3,Tomas Smid,F,6-4 6-4,Yannick Noah,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
1,H2H 7-2,Guy Forget,SF,6-4 6-2,Yannick Noah,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
2,H2H 4-2,Ramesh Krishnan,SF,6-7 6-3 6-4,Tomas Smid,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
3,H2H 4-1,Jakob Hlasek,QF,6-3 7-5,Yannick Noah,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
4,H2H 2-0,Libor Pimek,QF,6-2 6-7 9-7,Guy Forget,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
5,H2H 2-0,Jan Gunnarsson,QF,6-4 6-3,Ramesh Krishnan,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
6,H2H 2-0,Jerome Potier,QF,7-5 6-4,Tomas Smid,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
7,H2H 3-1,Mark Dickson,R16,7-6 6-1,Yannick Noah,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
8,H2H 2-0,I. Nastase,R16,6-4 6-3,Jakob Hlasek,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
9,H2H 2-4,Thierry Tulasne,R16,6-3 3-6 6-1,Libor Pimek,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
10,H2H 2-0,Diego Perez,R16,7-6 6-1,Guy Forget,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
11,H2H 1-0,Russell Barlow,R16,6-3 6-2,Ramesh Krishnan,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
12,H2H 2-0,Jaroslav Navratil,R16,6-4 6-3,Jan Gunnarsson,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
13,H2H 1-0,Marian Vajda,R16,6-3 6-2,Jerome Potier,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
14,H2H 1-0,Stefan Eriksson,R16,3-6 6-3 6-0,Tomas Smid,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
15,H2H 2-0,Ricardo Acuna,R32,7-6 6-1,Yannick Noah,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
16,H2H 1-0,Stephane Bonneau,R32,6-3 6-3,Mark Dickson,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
17,H2H 1-0,Alessandro De Minicis,R32,6-3 1-6 6-3,I. Nastase,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
18,H2H 2-0,Magnus Tideman,R32,6-3 6-4,Jakob Hlasek,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
19,H2H 3-0,Michael Westphal,R32,6-0 6-2,Thierry Tulasne,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
20,H2H 5-1,Pavel Slozil,R32,6-0 7-6,Libor Pimek,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
21,H2H 1-2,Ronald Agenor,R32,6-2 6-4,Diego Perez,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
22,H2H 3-0,Michiel Schapers,R32,6-3 5-7 7-5,Guy Forget,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
23,H2H 2-1,Marko Ostoja,R32,6-3 6-0,Ramesh Krishnan,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
24,H2H 1-0,Wojtek Fibak,R32,6-2 1-6 8-6,Russell Barlow,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
25,H2H 3-0,Stanislav Birner,R32,6-3 6-3,Jaroslav Navratil,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
26,H2H 2-1,Carl Limberger,R32,4-6 6-3 6-3,Jan Gunnarsson,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
27,H2H 2-0,Stefan Simonsson,R32,4-6 6-3 6-3,Marian Vajda,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
28,H2H 1-1,Jonas B. Svensson,R32,6-3 3-6 6-4,Jerome Potier,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
29,H2H 1-0,Peter Lundgren,R32,6-4 6-4,Stefan Eriksson,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
30,H2H 2-0,Tarik Benhabiles,R32,6-4 6-0,Tomas Smid,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
31,,P Slozil / T Smid,F,3-6 6-2 9-7,R Acuna / J Hlasek,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
32,,S Eriksson / P Lundgren,SF,4-6 6-3 6-2,P Slozil / T Smid,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
33,,R Bathman / M Tideman,SF,6-1 6-4,R Acuna / J Hlasek,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
34,,R Agenor / T Benhabiles,QF,6-1 6-1,P Slozil / T Smid,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
35,,M Ostoja / S Simonsson,QF,6-1 6-3,S Eriksson / P Lundgren,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
36,,J Navratil / J B. Svensson,QF,6-2 6-4,R Acuna / J Hlasek,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
37,,A Antonitsch / D Utzinger,QF,7-5 7-6,R Bathman / M Tideman,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
38,,R Barlow / C Limberger,R16,4-6 6-1 6-0,P Slozil / T Smid,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
39,,J Rodriguez-aransay / R Sanchez-Rueda,R16,7-5 6-4,R Agenor / T Benhabiles,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
40,,J Gunnarsson / M Mortensen,R16,6-4 6-3,S Eriksson / P Lundgren,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
41,,M Dickson / M Schapers,R16,7-5 6-4,M Ostoja / S Simonsson,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
42,,G Forget / T Tulasne,R16,6-7 6-3 6-4,J Navratil / J B. Svensson,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
43,,S Birner / T Mmoh,R16,7-6 7-6,R Acuna / J Hlasek,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
44,,A De Minicis / D Perez,R16,4-6 6-2 9-7,R Bathman / M Tideman,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
45,,W Fibak / L Pimek,R16,5-7 6-3 6-3,A Antonitsch / D Utzinger,1985-10-07,https://matchstat.com/tennis/tournaments/m/Toulouse/1985,Toulouse
