,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 4-1,Sherwood Stewart,F,6-3 6-4,Vitas Gerulaitis,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
1,H2H 1-0,Alex Metreveli,SF,6-1 6-1,Vitas Gerulaitis,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
2,H2H 1-0,Dennis Ralston,SF,4-6 6-3 6-2,Sherwood Stewart,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
3,H2H 1-0,Fred McNair,QF,6-1 7-5,Vitas Gerulaitis,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
4,H2H 1-0,Haroon Rahim,QF,6-7 6-3 7-6,Alex Metreveli,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
5,H2H 1-0,Ion Tiriac,QF,3-6 6-0 7-6,Dennis Ralston,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
6,H2H 1-0,Cliff Drysdale,QF,7-6 3-6 7-5,Sherwood Stewart,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
7,,C Drysdale / I Tiriac,F,3-6 6-3 6-4,F McNair / S Stewart,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
8,,H Rahim / D Ralston,SF,4-6 6-4 6-4,F McNair / S Stewart,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
9,,V Gerulaitis / A Metreveli,SF,6-2 6-3,C Drysdale / I Tiriac,1976-03-29,https://matchstat.com/tennis/tournaments/m/Towson/1976,Towson
