,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,Tarik Benhabiles,F,6-1 6-1,Vitas Gerulaitis,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
1,H2H 5-2,John Sadri,SF,6-7 6-3 6-2,Vitas Gerulaitis,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
2,H2H 1-0,Tim Wilkison,SF,6-1 6-2,Tarik Benhabiles,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
3,H2H 1-2,Jan Gunnarsson,QF,6-4 6-4,Vitas Gerulaitis,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
4,H2H 1-0,Claudio Panatta,QF,6-3 6-2,John Sadri,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
5,H2H 2-0,Todd Nelson,QF,5-7 6-0 6-3,Tarik Benhabiles,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
6,H2H 3-0,Hans Schwaier,QF,6-4 6-3,Tim Wilkison,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
7,H2H 5-0,Stanislav Birner,R16,7-6 6-4,Vitas Gerulaitis,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
8,H2H 2-0,Sergio Casal,R16,6-3 4-6 6-4,Jan Gunnarsson,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
9,H2H 1-0,Jaroslav Navratil,R16,7-6 6-2,John Sadri,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
10,H2H 1-2,Emilio Sanchez,R16,6-4 6-4,Claudio Panatta,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
11,H2H 2-2,Mark Dickson,R16,6-3 6-4,Todd Nelson,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
12,H2H 1-0,Karel Novacek,R16,7-5 4-6 6-4,Tarik Benhabiles,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
13,H2H 1-0,Marcos Hocevar,R16,6-4 6-4,Hans Schwaier,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
14,H2H 1-2,Gianni Ocleppo,R16,6-1 6-2,Tim Wilkison,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
15,H2H 1-0,Claudio Mezzadri,R32,6-4 3-6 6-3,Vitas Gerulaitis,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
16,H2H 1-1,I. Nastase,R32,6-4 3-6 6-3,Stanislav Birner,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
17,H2H 1-0,Simone Colombo,R32,6-4 6-2,Sergio Casal,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
18,H2H 3-1,Slobodan Zivojinovic,R32,6-3 6-4,Jan Gunnarsson,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
19,H2H 1-0,Rick Meyer,R32,6-3 6-4,John Sadri,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
20,H2H 1-0,Joao Soares,R32,7-5 7-5,Jaroslav Navratil,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
21,H2H 1-0,Dan Cassidy,R32,6-4 6-2,Claudio Panatta,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
22,H2H 5-2,Michiel Schapers,R32,6-2 6-2,Emilio Sanchez,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
23,H2H 2-1,Marko Ostoja,R32,7-5 5-7 6-3,Mark Dickson,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
24,H2H 1-0,Luca Bottazzi,R32,6-1 4-6 6-4,Todd Nelson,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
25,H2H 1-0,Gabriel Urpi,R32,6-3 6-0,Karel Novacek,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
26,H2H 1-1,Pavel Slozil,R32,6-1 3-6 6-3,Tarik Benhabiles,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
27,H2H 1-0,Paolo Cane,R32,6-3 6-2,Hans Schwaier,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
28,H2H 1-0,Jimmy Brown,R32,4-6 6-3 6-1,Marcos Hocevar,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
29,H2H 1-1,Jaromir Becka,R32,6-2 7-5,Gianni Ocleppo,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
30,H2H 2-1,Pascal Portes,R32,3-6 6-4 6-4,Tim Wilkison,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
31,,J Gunnarsson / S Stewart,F,6-2 6-3,P Slozil / T Wilkison,1984-11-12,https://matchstat.com/tennis/tournaments/m/Treviso/1984,Treviso
