,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Pat Du Pre,F,6-7 6-2 7-5,Eddie Dibbs,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
1,H2H 1-0,John James,SF,6-1 6-0,Eddie Dibbs,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
2,H2H 2-0,Steve Docherty,SF,6-1 2-6 7-6,Pat Du Pre,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
3,H2H 4-1,Bruce Manson,QF,7-6 6-0,Eddie Dibbs,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
4,H2H 1-0,Carlos Kirmayr,QF,6-3 6-4,John James,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
5,H2H 1-0,Pancho Walthall,QF,6-4 7-6,Steve Docherty,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
6,H2H 2-3,Dick Stockton,QF,6-4 2-6 6-2,Pat Du Pre,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
7,H2H 1-0,John Feaver,R16,6-7 6-3 6-2,Eddie Dibbs,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
8,H2H 3-4,Gene Mayer,R16,6-4 6-4,Bruce Manson,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
9,H2H 1-0,George Hardie,R16,6-2 6-1,Carlos Kirmayr,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
10,H2H 1-1,Bill Scanlon,R16,6-3 6-1,John James,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
11,H2H 1-0,Russell Simpson,R16,2-6 6-4 6-4,Pancho Walthall,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
12,H2H 1-0,Greg Halder,R16,7-6 6-3,Steve Docherty,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
13,H2H 1-0,Bengtson,R16,7-5 6-4,Pat Du Pre,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
14,H2H 1-0,Butch Newman,R16,6-4 6-2,Dick Stockton,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
15,H2H 2-0,Hubertus Hoyt,R32,6-0 6-2,Eddie Dibbs,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
16,H2H 1-1,Erik Van Dillen,R32,6-4 6-2,John Feaver,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
17,H2H 1-1,Tim Wilkison,R32,6-2 6-2,Bruce Manson,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
18,H2H 3-0,Marcelo Lara,R32,6-2 6-1,Gene Mayer,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
19,H2H 1-0,Cliff Richey,R32,6-3 6-0,Carlos Kirmayr,1978-04-24,https://matchstat.com/tennis/tournaments/m/Tulsa/1978,Tulsa
