,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 11-3,Vitas Gerulaitis,F,7-5 6-3 6-3,John McEnroe,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
1,H2H 2-0,Roscoe Tanner,SF,3-6 2-6 7-6 6-3 6-3,Vitas Gerulaitis,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
2,H2H 20-14,Jimmy Connors,SF,6-3 6-3 7-5,John McEnroe,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
3,H2H 2-10,Bjorn Borg,QF,6-2 4-6 6-2 7-6,Roscoe Tanner,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
4,H2H 7-4,Johan Kriek,QF,5-7 6-3 6-4 6-3,Vitas Gerulaitis,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
5,H2H 5-2,Eddie Dibbs,QF,2-1 Retired,John McEnroe,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
6,H2H 9-0,Pat Du Pre,QF,6-2 6-1 6-1,Jimmy Connors,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
7,H2H 6-1,Dick Stockton,R16,6-4 1-6 7-6 7-5,Bjorn Borg,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
8,H2H 2-4,Tim Gullikson,R16,6-3 6-4 7-5,Roscoe Tanner,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
9,H2H 3-0,Jose Luis Clerc,R16,7-6 6-2 6-2,Vitas Gerulaitis,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
10,H2H 3-2,Yannick Noah,R16,6-3 7-6 4-6 1-6 6-4,Johan Kriek,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
11,H2H 4-12,G. Vilas,R16,6-3 5-7 7-5 6-1,Eddie Dibbs,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
12,H2H 2-0,Tom Gorman,R16,6-2 6-4 6-1,John McEnroe,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
13,H2H 3-2,Harold Solomon,R16,3-6 6-3 6-2 4-6 6-4,Pat Du Pre,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
14,H2H 15-2,Brian Gottfried,R16,6-2 1-6 6-4 7-5,Jimmy Connors,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
15,H2H 7-0,J. Fillol,R32,6-0 6-3 6-1,Bjorn Borg,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
16,H2H 2-0,Keith Richardson,R32,7-6 6-3 6-3,Dick Stockton,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
17,H2H 1-2,Christopher Mottram,R32,3-6 6-3 6-4 6-2,Tim Gullikson,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
18,H2H 4-0,Nick Saviano,R32,6-4 6-4 3-6 6-3,Roscoe Tanner,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
19,H2H 4-1,S. Smith,R32,7-6 7-6 6-3,Vitas Gerulaitis,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
20,H2H 1-0,Robert Trogolo,R32,4-6 6-1 6-1 6-1,Jose Luis Clerc,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
21,H2H 2-0,Butch Walts,R32,7-6 6-3 6-2,Yannick Noah,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
22,H2H 2-0,Victor Pecci,R32,6-3 6-2 6-0,Johan Kriek,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
23,H2H 3-1,Erik Van Dillen,R32,2-6 7-5 6-7 6-2 6-1,G. Vilas,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
24,H2H 5-1,Bernie Mitton,R32,6-4 6-2 6-3,Eddie Dibbs,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
25,H2H 1-0,Hank Pfister,R32,4-6 6-4 6-3 6-4,Tom Gorman,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
26,H2H 6-0,John Lloyd,R32,WO,John McEnroe,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
27,H2H 2-0,Ray Moore,R32,6-3 6-0 7-5,Harold Solomon,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
28,H2H 2-1,Gene Mayer,R32,7-5 6-2 6-3,Pat Du Pre,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
29,H2H 3-3,Victor Amaya,R32,6-7 4-6 7-5 6-1 6-4,Brian Gottfried,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
30,H2H 3-0,Bruce Manson,R32,6-3 6-0 6-3,Jimmy Connors,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
31,H2H 2-0,David Carter,R64,6-1 6-1 6-1,Bjorn Borg,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
32,H2H 2-1,Peter Fleming,R64,6-1 5-7 6-2 6-2,J. Fillol,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
33,H2H 1-0,Bruce Foxworth,R64,6-3 4-6 6-3 7-6,Dick Stockton,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
34,H2H 1-0,Kevin Curren,R64,7-5 6-4 7-5,Keith Richardson,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
35,H2H 4-3,Andrew Pattison,R64,6-3 6-2 7-6,Tim Gullikson,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
36,H2H 3-0,J. Kodes,R64,6-3 7-6 6-2,Christopher Mottram,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
37,H2H 2-0,John James,R64,6-3 5-7 6-4 7-6,Nick Saviano,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
38,H2H 2-3,Ivan Lendl,R64,6-3 6-2 6-1,Roscoe Tanner,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
39,H2H 5-0,Ferdi Taygan,R64,6-2 6-3 6-3,Vitas Gerulaitis,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
40,H2H 2-2,Russell Simpson,R64,6-2 6-1 6-3,S. Smith,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
41,H2H 1-0,Jan Norback,R64,6-4 2-6 6-2 6-2,Robert Trogolo,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
42,H2H 6-0,Mel Purcell,R64,6-2 7-6 6-4,Jose Luis Clerc,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
43,H2H 4-2,Wojtek Fibak,R64,6-4 6-4 7-6,Yannick Noah,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
44,H2H 2-0,Steve Krulevitz,R64,6-3 3-6 4-6 6-0 6-2,Butch Walts,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
45,H2H 3-3,Ramesh Krishnan,R64,7-5 6-2 6-3,Johan Kriek,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
46,H2H 7-0,Andres Gomez,R64,6-2 6-2 6-4,Victor Pecci,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
47,H2H 5-0,Ramiro Gonzalo Benavides Saravia,R64,6-1 6-1 6-0,G. Vilas,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
48,H2H 2-0,Joel Bailey,R64,6-3 6-4 6-2,Erik Van Dillen,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
49,H2H 4-1,Sherwood Stewart,R64,6-1 6-3 6-2,Bernie Mitton,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
50,H2H 2-0,Gene Malin,R64,6-1 1-6 7-5 6-2,Eddie Dibbs,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
51,H2H 3-1,J. Alexander,R64,6-3 6-4 3-6 4-6 6-1,Hank Pfister,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
52,H2H 1-1,Terry Rocavert,R64,6-1 6-2 6-2,Tom Gorman,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
53,H2H 2-0,Paul McNamee,R64,5-7 6-7 7-5 7-6 7-6,John Lloyd,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
54,H2H 3-3,I. Nastase,R64,6-4 4-6 6-3 6-2,John McEnroe,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
55,H2H 3-0,John Austin,R64,6-3 6-0 6-4,Harold Solomon,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
56,H2H 4-1,Jiri Hrebec,R64,7-6 5-0 Retired,Ray Moore,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
57,H2H 3-3,Tomas Smid,R64,6-2 6-2 1-6 6-3,Pat Du Pre,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
58,H2H 1-1,Tom Gullikson,R64,6-4 7-5 6-1,Gene Mayer,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
59,H2H 6-1,M. Riessen,R64,6-3 5-7 7-5 5-7 6-4,Brian Gottfried,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
60,H2H 2-1,John Sadri,R64,6-4 6-1 6-4,Victor Amaya,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
61,H2H 1-2,Francisco Gonzalez,R64,2-6 6-2 6-2 6-3,Bruce Manson,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
62,H2H 4-3,Vijay Amritraj,R64,7-6 7-5 Retired,Jimmy Connors,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
63,H2H 1-0,Matt Mitchell,R128,6-1 6-1 6-2,Bjorn Borg,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
64,H2H 1-0,M. Cox,R128,0-6 6-3 5-7 6-2 6-1,David Carter,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
65,H2H 1-0,Tom Okker,R128,7-5 6-4 0-6 6-3,Peter Fleming,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
66,H2H 1-0,Dominique Bedel,R128,4-6 6-1 7-6 6-2,J. Fillol,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
67,H2H 1-0,Peter Rennert,R128,6-4 6-3 6-4,Bruce Foxworth,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
68,H2H 1-0,Ricardo Ycaza,R128,6-1 6-2 6-0,Dick Stockton,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
69,H2H 1-0,David Siegler,R128,3-6 6-3 6-1 1-6 6-3,Keith Richardson,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
70,H2H 2-0,Adriano Panatta,R128,6-3 7-5 7-6,Kevin Curren,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
71,H2H 3-2,Eliot Teltscher,R128,6-4 3-6 6-4 6-4,Tim Gullikson,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
72,H2H 1-0,Tim Garcia,R128,7-6 6-4 7-5,Andrew Pattison,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
73,H2H 1-0,Van't Hof,R128,4-6 7-5 6-4 7-6,Christopher Mottram,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
74,H2H 1-0,Schneider,R128,3-6 5-7 6-4 6-3 6-1,J. Kodes,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
75,H2H 2-1,Brad Drewett,R128,6-3 6-2 6-3,John James,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
76,H2H 1-2,Brian Teacher,R128,6-1 7-6 0-6 4-4 Retired,Nick Saviano,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
77,H2H 3-0,Vincent Van Patten,R128,6-4 6-1 6-0,Ivan Lendl,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
78,H2H 1-1,John Marks,R128,6-4 6-2 6-0,Roscoe Tanner,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
79,H2H 5-2,Mark Edmondson,R128,6-3 6-2 7-5,Vitas Gerulaitis,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
80,H2H 1-0,Tom Leonard,R128,7-6 6-4 6-3,Ferdi Taygan,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
81,H2H 3-0,Billy Martin,R128,7-5 6-1 1-6 5-7 6-4,Russell Simpson,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
82,H2H 3-1,Pascal Portes,R128,6-2 6-3 6-4,S. Smith,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
83,H2H 1-0,Rick Fisher,R128,1-6 6-3 6-2 6-4,Robert Trogolo,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
84,H2H 1-0,Bruce Kleege,R128,7-6 6-7 6-1 7-6,Jan Norback,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
85,H2H 2-1,Gilles Moretton,R128,5-7 6-2 6-4 6-3,Mel Purcell,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
86,H2H 1-0,Bruce Nichols,R128,6-1 6-0 6-4,Jose Luis Clerc,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
87,H2H 1-0,Bob Carmichael,R128,7-6 7-5 6-2,Wojtek Fibak,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
88,H2H 1-0,Pat Cramer,R128,6-3 6-0 4-6 7-6,Yannick Noah,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
89,H2H 1-0,Patrice Dominguez,R128,6-0 6-1 7-6,Steve Krulevitz,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
90,H2H 1-0,Chris Lewis,R128,6-3 6-2 6-1,Butch Walts,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
91,H2H 1-0,P. Dent,R128,6-3 6-0 6-3,Ramesh Krishnan,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
92,H2H 1-0,Ivan Molina,R128,6-0 6-4 0-6 6-3,Johan Kriek,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
93,H2H 3-0,Jay Lapidus,R128,3-6 3-6 6-3 6-4 6-2,Andres Gomez,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
94,H2H 1-0,Andy Kohlberg,R128,3-6 6-4 5-7 6-3 6-4,Victor Pecci,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
95,H2H 6-0,Onny Parun,R128,6-1 6-2 7-6,G. Vilas,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
96,H2H 1-0,B. Lutz,R128,1-6 7-6 2-1 Retired,Ramiro Gonzalo Benavides Saravia,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
97,H2H 1-0,Bengtson,R128,6-4 5-7 6-4 3-6 6-4,Joel Bailey,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
98,H2H 1-0,Colin Dowdeswell,R128,6-7 6-4 2-6 6-3 6-4,Erik Van Dillen,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
99,H2H 1-0,George Amaya,R128,6-2 6-1 6-4,Bernie Mitton,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
100,H2H 1-0,Randy Crawford,R128,4-6 6-4 6-3 6-3,Sherwood Stewart,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
101,H2H 1-0,Jon Molin,R128,6-0 6-7 6-0 6-4,Gene Malin,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
102,H2H 2-0,Tim Wilkison,R128,4-6 2-6 7-5 6-2 6-3,Eddie Dibbs,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
103,H2H 1-0,Howard Schoenfield,R128,6-1 7-5 7-5,J. Alexander,1979-08-27,https://matchstat.com/tennis/tournaments/m/US%20Open/1979,US Open
