,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 5-0,Juan Carlos Ferrero,7.0,1.0,5513619.0,107111.0,,,Juan Carlos Ferrero,76.0,3.0,0.0,86.0,19.0,89.0,55.0,41.0,34.0,16.0,,,172.0,143.0,201.0,1.0,175.0,21.0,29.0,F,6-3 7-6(2) 6-3,Andy Roddick,22.0,2.0,5513619.0,107112.0,,,Andy Roddick,99.0,5.0,2.0,89.0,32.0,86.0,54.0,48.0,32.0,19.0,,,202.0,160.0,226.0,2.0,175.0,19.0,44.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
1,H2H 3-2,Andre Agassi,12.0,9.0,5513617.0,107107.0,,,Andre Agassi,127.0,12.0,4.0,130.0,50.0,130.0,66.0,49.0,64.0,28.0,,,173.0,148.0,196.0,1.0,260.0,37.0,47.0,SF,6-4 6-3 3-6 6-4,Juan Carlos Ferrero,10.0,8.0,5513617.0,107108.0,,,Juan Carlos Ferrero,133.0,14.0,6.0,130.0,53.0,130.0,76.0,57.0,54.0,23.0,,,170.0,146.0,196.0,2.0,260.0,32.0,51.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
2,H2H 4-2,David Nalbandian,5.0,2.0,5513618.0,107110.0,,,David Nalbandian,155.0,7.0,1.0,152.0,42.0,175.0,130.0,84.0,45.0,29.0,,,149.0,138.0,185.0,2.0,327.0,45.0,50.0,SF,6-7(4) 3-6 7-6(7) 6-1 6-3,Andy Roddick,38.0,7.0,5513618.0,107109.0,,,Andy Roddick,172.0,13.0,4.0,175.0,62.0,152.0,94.0,76.0,58.0,34.0,,,204.0,162.0,226.0,1.0,327.0,53.0,69.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
3,H2H 5-2,Guillermo Coria,9.0,3.0,5513613.0,107100.0,,,Guillermo Coria,90.0,3.0,2.0,93.0,29.0,106.0,67.0,41.0,39.0,20.0,,,168.0,141.0,191.0,2.0,199.0,23.0,37.0,QF,6-4 6-3 7-5,Andre Agassi,7.0,3.0,5513613.0,107099.0,,,Andre Agassi,109.0,14.0,5.0,106.0,45.0,93.0,49.0,40.0,44.0,24.0,,,172.0,139.0,202.0,1.0,199.0,17.0,33.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
4,H2H 4-6,Lleyton Hewitt,8.0,4.0,5513614.0,107104.0,,,Lleyton Hewitt,111.0,13.0,3.0,127.0,41.0,117.0,60.0,41.0,57.0,29.0,,,172.0,141.0,194.0,2.0,244.0,48.0,35.0,QF,4-6 6-3 7-6(5) 6-1,Juan Carlos Ferrero,21.0,5.0,5513614.0,107103.0,,,Juan Carlos Ferrero,133.0,12.0,5.0,117.0,47.0,127.0,75.0,57.0,52.0,29.0,,,168.0,141.0,194.0,1.0,244.0,35.0,49.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
5,H2H 5-1,Sjeng Schalken,0.0,2.0,5513615.0,107101.0,,,Sjeng Schalken,57.0,6.0,1.0,75.0,18.0,73.0,52.0,29.0,21.0,10.0,,,164.0,141.0,176.0,1.0,148.0,20.0,16.0,QF,6-4 6-2 6-3,Andy Roddick,15.0,0.0,5513615.0,107102.0,,,Andy Roddick,91.0,8.0,5.0,73.0,34.0,75.0,50.0,44.0,25.0,13.0,,,207.0,164.0,225.0,2.0,148.0,20.0,34.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
6,H2H 1-1,Younes El Aynaoui,15.0,5.0,5513616.0,107105.0,,,Younes El Aynaoui,117.0,7.0,4.0,116.0,33.0,145.0,93.0,62.0,52.0,22.0,,,181.0,156.0,205.0,1.0,261.0,43.0,42.0,QF,7-6(2) 6-2 3-6 7-5,David Nalbandian,4.0,4.0,5513616.0,107106.0,,,David Nalbandian,144.0,18.0,6.0,145.0,61.0,116.0,77.0,61.0,39.0,22.0,,,162.0,143.0,189.0,2.0,261.0,31.0,54.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
7,H2H 5-0,Taylor Dent,10.0,12.0,5513605.0,107084.0,,,Taylor Dent,114.0,11.0,4.0,126.0,50.0,111.0,54.0,34.0,57.0,30.0,,,193.0,173.0,222.0,2.0,237.0,37.0,44.0,R16,6-7(5) 6-4 7-5 Retired,Andre Agassi,2.0,5.0,5513605.0,107083.0,,,Andre Agassi,123.0,12.0,6.0,111.0,47.0,126.0,75.0,51.0,51.0,25.0,,,170.0,141.0,193.0,1.0,237.0,25.0,43.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
8,H2H 1-0,Jonas Bjorkman,9.0,5.0,5513606.0,107091.0,,,Jonas Bjorkman,114.0,5.0,2.0,107.0,35.0,146.0,84.0,47.0,62.0,32.0,,,189.0,136.0,201.0,1.0,253.0,,,R16,6-2 6-3 4-6 6-2,Guillermo Coria,7.0,3.0,5513606.0,107092.0,,,Guillermo Coria,139.0,25.0,7.0,146.0,67.0,107.0,69.0,49.0,38.0,23.0,,,167.0,139.0,185.0,2.0,253.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
9,H2H 2-0,Todd Martin,23.0,11.0,5513607.0,107090.0,,,Todd Martin,146.0,13.0,3.0,139.0,44.0,166.0,90.0,68.0,76.0,34.0,,,178.0,157.0,197.0,2.0,305.0,45.0,64.0,R16,6-2 6-4 3-6 5-7 6-3,Juan Carlos Ferrero,12.0,5.0,5513607.0,107089.0,,,Juan Carlos Ferrero,159.0,18.0,5.0,166.0,64.0,139.0,91.0,67.0,48.0,28.0,,,168.0,151.0,189.0,1.0,305.0,22.0,58.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
