,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 23-22,Roger Federer,11.0,5.0,8305149.0,3474664.0,,2.0,Roger Federer,145.0,23.0,4.0,155.0,60.0,137.0,87.0,62.0,50.0,23.0,21.0,,,,,2.0,290.0,54.0,56.0,2.00,1.75,F,6-4 5-7 6-4 6-4,Novak Djokovic,3.0,5.0,8305149.0,3474663.0,,1.75,Novak Djokovic,147.0,13.0,6.0,137.0,52.0,155.0,96.0,63.0,59.0,32.0,21.0,,,,,1.0,294.0,37.0,35.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
1,H2H 14-0,Marin Cilic,4.0,5.0,8305147.0,3473448.0,,7.0,Marin Cilic,39.0,1.0,1.0,56.0,13.0,66.0,30.0,18.0,36.0,8.0,10.0,,,,,2.0,78.0,37.0,11.0,7.00,1.10,SF,6-0 6-1 6-2,Novak Djokovic,3.0,1.0,8305147.0,3473447.0,,1.098,Novak Djokovic,83.0,14.0,8.0,66.0,40.0,56.0,37.0,28.0,19.0,15.0,11.0,,,,,1.0,166.0,13.0,16.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
2,H2H 18-3,Stan Wawrinka,6.0,1.0,8305148.0,3473831.0,,3.1,Stan Wawrinka,62.0,4.0,0.0,77.0,20.0,78.0,38.0,22.0,40.0,20.0,13.0,,,,,1.0,124.0,30.0,25.0,3.10,1.36,SF,6-4 6-3 6-1,Roger Federer,10.0,2.0,8305148.0,3473832.0,,1.36,Roger Federer,93.0,11.0,5.0,78.0,36.0,77.0,50.0,40.0,27.0,17.0,13.0,,,,,2.0,186.0,17.0,29.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
3,H2H 8-1,Feliciano Lopez,14.0,6.0,8305143.0,3472184.0,,10.0,Feliciano Lopez,108.0,6.0,1.0,117.0,32.0,116.0,59.0,45.0,57.0,31.0,19.0,,,,,2.0,216.0,48.0,36.0,10.00,1.03,QF,6-1 3-6 6-3 7-6(2),Novak Djokovic,9.0,0.0,8305143.0,3472183.0,,1.03,Novak Djokovic,125.0,8.0,3.0,116.0,40.0,117.0,68.0,52.0,49.0,33.0,19.0,,,,,1.0,250.0,17.0,36.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
4,H2H 5-3,Jo-Wilfried Tsonga,15.0,11.0,8305144.0,3471979.0,,1.8,Jo-Wilfried Tsonga,161.0,10.0,1.0,157.0,43.0,176.0,105.0,78.0,71.0,40.0,27.0,,,,,1.0,322.0,58.0,59.0,1.80,2.00,QF,6-4 6-4 3-6 6-7(3) 6-4,Marin Cilic,29.0,5.0,8305144.0,3471980.0,,2.0,Marin Cilic,172.0,14.0,3.0,176.0,58.0,157.0,93.0,73.0,64.0,41.0,25.0,,,,,2.0,344.0,37.0,63.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
5,H2H 4-4,Kevin Anderson,12.0,9.0,8305145.0,3472818.0,,2.1,Kevin Anderson,59.0,1.0,0.0,66.0,13.0,82.0,47.0,33.0,35.0,13.0,13.0,,,,,2.0,118.0,42.0,25.0,2.10,1.71,QF,6-4 6-4 6-0,Stan Wawrinka,6.0,2.0,8305145.0,3472817.0,,1.714,Stan Wawrinka,89.0,8.0,5.0,82.0,36.0,66.0,32.0,30.0,34.0,23.0,13.0,,,,,1.0,178.0,15.0,25.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
6,H2H 15-2,Richard Gasquet,1.0,2.0,8305146.0,3472819.0,,7.0,Richard Gasquet,55.0,0.0,0.0,70.0,16.0,73.0,44.0,27.0,29.0,12.0,12.0,,,,,1.0,110.0,14.0,8.0,7.00,1.10,QF,6-3 6-3 6-1,Roger Federer,16.0,2.0,8305146.0,3472820.0,,1.095,Roger Federer,88.0,13.0,5.0,73.0,34.0,70.0,53.0,46.0,17.0,8.0,13.0,,,,,2.0,176.0,21.0,50.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
7,H2H 5-0,Roberto Bautista Agut,3.0,2.0,8305135.0,3472108.0,,,Roberto Bautista Agut,110.0,8.0,4.0,123.0,46.0,117.0,69.0,40.0,48.0,24.0,19.0,,,,,2.0,220.0,28.0,34.0,,,R16,6-3 4-6 6-4 6-3,Novak Djokovic,8.0,2.0,8305135.0,3472107.0,,,Novak Djokovic,130.0,14.0,7.0,117.0,53.0,123.0,75.0,52.0,48.0,25.0,19.0,,,,,1.0,260.0,37.0,42.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
8,H2H 1-0,Fabio Fognini,7.0,6.0,8305136.0,3471420.0,,2.05,Fabio Fognini,74.0,5.0,1.0,89.0,24.0,84.0,51.0,30.0,33.0,20.0,14.0,,,,,2.0,148.0,40.0,28.0,2.05,1.73,R16,6-3 7-6(5) 6-1,Feliciano Lopez,7.0,3.0,8305136.0,3471419.0,,1.727,Feliciano Lopez,99.0,7.0,4.0,84.0,34.0,89.0,49.0,40.0,40.0,25.0,15.0,,,,,1.0,198.0,25.0,27.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
9,H2H 3-0,Benoit Paire,7.0,4.0,8305137.0,3471227.0,,3.5,Benoit Paire,66.0,0.0,0.0,74.0,13.0,84.0,38.0,23.0,46.0,30.0,14.0,,,,,1.0,132.0,35.0,28.0,3.50,1.29,R16,6-4 6-3 6-4,Jo-Wilfried Tsonga,10.0,2.0,8305137.0,3471228.0,,1.286,Jo-Wilfried Tsonga,92.0,7.0,3.0,84.0,31.0,74.0,44.0,39.0,30.0,22.0,15.0,,,,,2.0,184.0,18.0,29.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
10,H2H 2-1,Jeremy Chardy,11.0,11.0,8305138.0,3471398.0,,2.6,Jeremy Chardy,98.0,7.0,2.0,117.0,36.0,97.0,55.0,44.0,42.0,18.0,18.0,,,,,2.0,196.0,24.0,35.0,2.60,1.49,R16,6-3 2-6 7-6(2) 6-1,Marin Cilic,23.0,2.0,8305138.0,3471397.0,,1.488,Marin Cilic,116.0,5.0,3.0,97.0,35.0,117.0,68.0,57.0,49.0,24.0,19.0,,,,,1.0,232.0,23.0,52.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
11,H2H 2-1,Donald Young,3.0,3.0,8305139.0,3471710.0,,5.5,Donald Young,92.0,6.0,3.0,102.0,33.0,92.0,54.0,38.0,38.0,21.0,18.0,,,,,2.0,184.0,20.0,14.0,5.50,1.13,R16,6-4 1-6 6-3 6-4,Stan Wawrinka,11.0,3.0,8305139.0,3471709.0,,1.125,Stan Wawrinka,102.0,4.0,4.0,92.0,33.0,102.0,54.0,44.0,48.0,25.0,18.0,,,,,1.0,204.0,48.0,52.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
12,H2H 2-5,Andy Murray,19.0,3.0,8305140.0,3471776.0,,1.13,Andy Murray,152.0,11.0,3.0,171.0,59.0,148.0,87.0,66.0,61.0,27.0,25.0,,,,,2.0,304.0,20.0,49.0,1.13,5.95,R16,7-6(5) 6-3 6-7(2) 7-6(0),Kevin Anderson,25.0,6.0,8305140.0,3471775.0,,5.95,Kevin Anderson,167.0,9.0,4.0,148.0,55.0,171.0,109.0,86.0,62.0,26.0,23.0,,,,,1.0,334.0,57.0,81.0,2015-08-31,https://matchstat.com/tennis/tournaments/m/US%20Open/2015,US Open
