,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-2,S. Smith,F,6-2 10-8 3-6 6-1,Cliff Richey,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
1,H2H 2-3,Z. Franulovic,SF,9-7 6-4,Cliff Richey,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
2,H2H 3-3,A. Ashe,SF,10-8 6-2,S. Smith,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
3,H2H 3-0,Frew McMillan,QF,7-5 2-6 8-6,Cliff Richey,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
4,H2H 2-1,C. Graebner,QF,6-2 6-2,Z. Franulovic,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
5,H2H 3-1,Stone,QF,6-2 6-2,A. Ashe,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
6,H2H 6-2,J. Fillol,QF,6-2 3-6 6-3,S. Smith,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
7,H2H 1-0,Butch Seewagen,R16,6-2 6-3,Cliff Richey,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
8,H2H 1-0,Patricio Cornejo Seckel,R16,6-4 6-4,Frew McMillan,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
9,H2H 2-0,Ion Tiriac,R16,1-6 6-3 6-1,C. Graebner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
10,H2H 1-0,Michael Belkin,R16,6-4 3-6 6-0,Z. Franulovic,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
11,H2H 2-1,J. Kodes,R16,6-3 6-1,Stone,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
12,H2H 2-0,Jean-Loup Rouyer,R16,6-3 6-3,A. Ashe,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
13,H2H 2-2,I. Nastase,R16,6-3 6-4,J. Fillol,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
14,H2H 2-0,B. Fairlie,R16,2-6 6-1 6-2,S. Smith,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
15,H2H 2-1,R. Ruffels,R32,6-3 8-10 6-3,Cliff Richey,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
16,H2H 1-0,N. Spear,R32,7-5 6-4,Butch Seewagen,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
17,H2H 1-0,Stefan Koudelka,R32,6-2 4-6 6-1,Patricio Cornejo Seckel,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
18,H2H 1-1,Bob Carmichael,R32,4-6 6-4 9-7,Frew McMillan,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
19,H2H 2-0,Onny Parun,R32,6-4 6-4,C. Graebner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
20,H2H 2-0,Mcmanus,R32,6-4 6-0,Ion Tiriac,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
21,H2H 1-0,Turner Howard,R32,7-5 6-3,Michael Belkin,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
22,H2H 1-0,John Gardner,R32,6-4 6-2,Z. Franulovic,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
23,H2H 1-0,Dick Stockton,R32,6-3 7-5,J. Kodes,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
24,H2H 1-0,C. Pasarell,R32,6-2 6-4,Stone,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
25,H2H 1-0,Frank Froehling,R32,4-6 6-2 6-3,Jean-Loup Rouyer,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
26,H2H 1-0,Terry Addison,R32,6-3 6-4,A. Ashe,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
27,H2H 1-0,Marcelo Lara,R32,6-1 6-4,I. Nastase,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
28,H2H 1-0,Miguel Olvera,R32,7-5 6-2,J. Fillol,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
29,H2H 2-1,Bob Hewitt,R32,4-6 6-3 6-2,B. Fairlie,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
30,H2H 1-0,Ray Keldie,R32,6-4 3-6 7-5,S. Smith,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
31,H2H 2-0,Paul Gerken,R64,6-3 6-3,Cliff Richey,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
32,H2H 1-0,Roscoe Tanner,R64,10-8 2-6 7-5,R. Ruffels,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
33,H2H 1-0,Joaquin Loyo-Mayo,R64,6-4 6-2,Butch Seewagen,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
34,H2H 1-2,Georges Goven,R64,7-5 10-8,N. Spear,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
35,H2H 1-0,Jim Osborne,R64,6-4 11-9,Patricio Cornejo Seckel,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
36,H2H 1-0,Pancho Guzman,R64,7-5 6-1,Stefan Koudelka,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
37,H2H 1-0,Barry MacKay,R64,6-1 4-6 6-3,Frew McMillan,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
38,H2H 1-0,Mike Estep,R64,6-4 6-3,Bob Carmichael,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
39,H2H 2-0,John Cooper,R64,6-1 6-2,C. Graebner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
40,H2H 1-0,Frank Robbins,R64,6-2 6-2,Onny Parun,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
41,H2H 1-0,Chauncey Steele,R64,3-6 6-3 6-0,Mcmanus,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
42,H2H 1-0,Ramiro Gonzalo Benavides Saravia,R64,6-3 6-1,Ion Tiriac,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
43,H2H 1-0,T. Edlefsen,R64,6-2 1-6 8-6,Turner Howard,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
44,H2H 1-0,Jean-Baptiste Chanfreau,R64,6-4 6-1,Michael Belkin,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
45,H2H 1-0,Erik Van Dillen,R64,6-3 6-3,John Gardner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
46,H2H 3-0,Steve Krulevitz,R64,6-1 6-0,Z. Franulovic,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
47,H2H 1-0,Sutarjo Sugiarto,R64,6-3 6-4,J. Kodes,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
48,H2H 2-0,Zan Guerry,R64,6-0 6-2,Dick Stockton,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
49,H2H 1-1,Jeff Borowiak,R64,6-1 6-0,Stone,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
50,H2H 2-0,Robert McKinley,R64,7-5 6-2,C. Pasarell,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
51,H2H 1-1,Crealy,R64,8-6 6-2,Jean-Loup Rouyer,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
52,H2H 2-0,Elio Alvarez,R64,6-4 6-4,Frank Froehling,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
53,H2H 1-0,Peter Burwash,R64,6-2 6-3,Terry Addison,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
54,H2H 1-1,Tom Leonard,R64,7-5 6-2,A. Ashe,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
55,H2H 1-0,Bernard Paul,R64,6-2 6-4,Marcelo Lara,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
56,H2H 1-0,Atet Wijono,R64,6-3 8-6,J. Fillol,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
57,H2H 1-1,Roy Barth,R64,3-6 9-7 6-3,Miguel Olvera,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
58,H2H 1-0,Thomas Mozur,R64,6-1 6-3,Bob Hewitt,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
59,H2H 1-1,Tom Gorman,R64,6-0 6-4,B. Fairlie,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
60,H2H 1-0,William Higgins,R64,6-2 6-2,Ray Keldie,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
61,H2H 2-0,Milan Holecek,R64,6-4 2-6 6-4,S. Smith,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
62,,I Nastase / I Tiriac,F,2-6 6-4 6-4,A Ashe / C Graebner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
63,,Z Franulovic / J Kodes,SF,6-3 6-2,I Nastase / I Tiriac,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
64,,B Hewitt / F McMillan,SF,0-6 8-6 6-3,A Ashe / C Graebner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
65,,P Cornejo Seckel / J Fillol,QF,6-2 6-3,I Nastase / I Tiriac,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
66,,M Lara / T Leonard,QF,6-4 6-2,Z Franulovic / J Kodes,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
67,,C Crealy / S Stone,QF,6-4 6-4,A Ashe / C Graebner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
68,,T Addison / B Carmichael,QF,6-2 6-4,B Hewitt / F McMillan,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
69,,J Borowiak / P Gerken,R16,6-3 6-1,I Nastase / I Tiriac,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
70,,J Chanfreau / J Rouyer,R16,6-2 6-1,P Cornejo Seckel / J Fillol,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
71,,B Fairlie / O Parun,R16,6-2 6-2,Z Franulovic / J Kodes,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
72,,M Mcmanus / J Osborne,R16,2-6 7-5 6-3,M Lara / T Leonard,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
73,,G Goven / B Paul,R16,5-7 6-2 6-2,C Crealy / S Stone,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
74,,M Holecek / N Spear,R16,6-4 6-2,A Ashe / C Graebner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
75,,C Pasarell / E Van Dillen,R16,6-3 11-13 6-4,T Addison / B Carmichael,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
76,,R Barth / T Gorman,R16,6-3 3-6 6-4,B Hewitt / F McMillan,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
77,,J Austin / S Krulevitz,R32,6-2 6-4,I Nastase / I Tiriac,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
78,,F Froehling / B MacKay,R32,8-6 4-6 6-4,J Borowiak / P Gerken,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
79,,R McKinley / D Stockton,R32,9-7 8-6,P Cornejo Seckel / J Fillol,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
80,,R Benavides Saravia / J Loyo-Mayo,R32,6-1 0-6 6-4,J Chanfreau / J Rouyer,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
81,,R Fisher / R Tanner,R32,6-3 6-1,Z Franulovic / J Kodes,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
82,,C Owens / P Westhall,R32,6-2 5-7 6-3,B Fairlie / O Parun,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
83,,M Estep / J Gardner,R32,6-3 6-3,M Mcmanus / J Osborne,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
84,,R Keldie / R Ruffels,R32,6-3 6-3,M Lara / T Leonard,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
85,,C Devoe / H Whitesell,R32,6-0 8-6,G Goven / B Paul,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
86,,E Alvarez / G Vilas,R32,6-2 7-5,C Crealy / S Stone,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
87,,P Guzman / M Olvera,R32,7-5 6-2,M Holecek / N Spear,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
88,,S Sugiarto / A Wijono,R32,6-3 6-1,A Ashe / C Graebner,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
89,,T Howard / T Mozur,R32,6-3 6-2,C Pasarell / E Van Dillen,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
90,,M Machette / R Potthast,R32,6-2 7-5,T Addison / B Carmichael,1970-07-27,https://matchstat.com/tennis/tournaments/m/USCC-Indianapolis/1970,USCC-Indianapolis
