,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 10-5,Felix Mantilla,F,6-0 7-6,Carlos Moya,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
1,H2H 2-2,Slava Dosedel,SF,4-2 Retired,Felix Mantilla,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
2,H2H 3-0,Christian Ruud,SF,6-1 6-2,Carlos Moya,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
3,H2H 4-8,Albert Costa,QF,6-3 6-4,Slava Dosedel,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
4,H2H 2-1,Gilbert Schaller,QF,6-3 7-6,Felix Mantilla,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
5,H2H 4-1,Marcos-Aurelio Gorriz-Bonhora,QF,6-2 6-1,Carlos Moya,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
6,H2H 1-0,Gustavo Kuerten,QF,7-5 6-4,Christian Ruud,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
7,H2H 2-0,Oleg Ogorodov,R16,7-6 6-1,Albert Costa,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
8,H2H 1-0,Stefan Koubek,R16,6-0 6-2,Slava Dosedel,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
9,H2H 7-5,Mariano Zabaleta,R16,6-3 6-3,Felix Mantilla,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
10,H2H 1-2,Carlos Costa,R16,4-6 6-2 6-0,Gilbert Schaller,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
11,H2H 1-0,David Rikl,R16,6-3 6-1,Marcos-Aurelio Gorriz-Bonhora,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
12,H2H 4-2,Galo Blanco,R16,6-3 6-2,Carlos Moya,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
13,H2H 2-4,Karim Alami,R16,6-3 6-3,Christian Ruud,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
14,H2H 5-2,Ivan Ljubicic,R16,6-2 6-1,Gustavo Kuerten,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
15,H2H 1-1,Omar Camporese,R32,6-2 7-5,Albert Costa,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
16,H2H 2-2,Sandor Noszaly,R32,6-1 6-4,Oleg Ogorodov,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
17,H2H 1-0,Frederik Fetterlein,R32,4-6 6-3 6-3,Stefan Koubek,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
18,H2H 1-0,Oresic,R32,6-4 6-0,Slava Dosedel,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
19,H2H 5-2,Roberto Carretero-Diaz,R32,7-6 6-3,Felix Mantilla,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
20,H2H 1-0,Petr Pala,R32,6-3 6-1,Mariano Zabaleta,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
21,H2H 3-0,Joao Cunha-Silva,R32,7-6 6-0,Gilbert Schaller,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
22,H2H 1-0,Andrei Rybalko,R32,6-1 6-4,Carlos Costa,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
23,H2H 2-0,Hernan Gumy,R32,3-6 7-5 6-1,Marcos-Aurelio Gorriz-Bonhora,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
24,H2H 1-0,Goran Prpic,R32,6-4 6-4,David Rikl,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
25,H2H 3-0,Luis Morejon,R32,6-7 6-4 6-1,Galo Blanco,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
26,H2H 3-0,Javier Sanchez,R32,6-1 7-6,Carlos Moya,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
27,H2H 3-3,Fernando Meligeni,R32,6-4 7-6,Karim Alami,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
28,H2H 2-0,Jerome Golmard,R32,6-1 7-5,Christian Ruud,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
29,H2H 2-0,Tomas Carbonell,R32,6-3 Retired,Ivan Ljubicic,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
30,H2H 2-1,Alberto Berasategui,R32,6-3 6-4,Gustavo Kuerten,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
31,,G Dzelde / U Plamberger,F,6-4 6-1,P Albano / L Lobo,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
32,,P Pala / D Rikl,SF,1-6 6-3 6-4,G Dzelde / U Plamberger,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
33,,S Dosedel / P Vizner,SF,6-4 6-3,P Albano / L Lobo,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
34,,F Mordegan / O Ogorodov,QF,6-3 6-3,G Dzelde / U Plamberger,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
35,,G Koves / F Meligeni,QF,7-5 4-6 7-5,P Pala / D Rikl,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
36,,J de Jager / D Ekerot,QF,4-6 6-4 6-2,S Dosedel / P Vizner,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
37,,T Prpic / E Rasberger,QF,6-2 6-4,P Albano / L Lobo,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
38,,L Pimek / B Talbot,R16,6-3 5-7 6-3,G Dzelde / U Plamberger,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
39,,J Belloli / J Ireland,R16,3-6 7-6 6-3,F Mordegan / O Ogorodov,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
40,,C Ferreira / A Pavel,R16,3-6 6-0 6-3,P Pala / D Rikl,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
41,,G Prpic / I Saric,R16,6-2 6-2,G Koves / F Meligeni,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
42,,M Hood / S Prieto,R16,7-5 6-2,S Dosedel / P Vizner,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
43,,I Karlovic / K Ritz,R16,7-6 6-3,J de Jager / D Ekerot,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
44,,A Berasategui / L Markovits,R16,6-3 6-4,T Prpic / E Rasberger,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
45,,A Costa / C Moya,R16,7-6 6-7 6-4,P Albano / L Lobo,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
46,H2H 2-0,Rainer Falenti,FQ,7-5 6-1,Stefan Koubek,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
47,H2H 1-0,James Sekulov,FQ,6-3 1-6 6-3,Andrei Rybalko,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
48,H2H 1-0,Borut Urh,FQ,6-3 6-4,Oresic,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
49,H2H 1-0,Pierre Bouteyre,FQ,6-2 4-6 7-5,Petr Pala,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
50,H2H 3-3,Andrew Ilie,SFQ,6-3 2-6 6-2,Stefan Koubek,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
51,H2H 1-0,Johannes Unterberger,SFQ,6-2 6-1,Rainer Falenti,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
52,H2H 1-0,Ivan Vajda,SFQ,7-5 6-3,James Sekulov,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
53,H2H 1-0,Ivo Karlovic,SFQ,4-6 6-4 6-4,Andrei Rybalko,1996-08-12,https://matchstat.com/tennis/tournaments/m/Umag/1996,Umag
