,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 4-21,Novak Djokovic,0.0,1.0,5686333.0,400649.0,,1.35,Novak Djokovic,46.0,5.0,2.0,45.0,19.0,45.0,29.0,20.0,16.0,7.0,,,,,,1.0,90.0,,,1.35,2.85,F,6-6 Retired,Stan Wawrinka,0.0,1.0,5686333.0,400650.0,,2.85,Stan Wawrinka,44.0,10.0,2.0,45.0,18.0,45.0,26.0,17.0,19.0,9.0,,,,,,2.0,90.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
1,H2H 2-2,Carlos Moya,3.0,0.0,5686331.0,113487.0,,1.95,Carlos Moya,46.0,3.0,1.0,61.0,20.0,50.0,30.0,14.0,20.0,12.0,,,,,,1.0,111.0,,,1.95,1.75,SF,6-1 7-5,Novak Djokovic,0.0,3.0,5686331.0,113488.0,,1.75,Novak Djokovic,65.0,6.0,4.0,50.0,24.0,61.0,41.0,30.0,20.0,11.0,,,,,,2.0,111.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
2,H2H 3-1,Filippo Volandri,1.0,1.0,5686332.0,400648.0,,1.8,Filippo Volandri,87.0,10.0,7.0,81.0,40.0,88.0,63.0,34.0,25.0,13.0,,,,,,2.0,169.0,,,1.80,1.90,SF,7-5 2-6 6-4,Stan Wawrinka,4.0,2.0,5686332.0,400647.0,,1.9,Stan Wawrinka,82.0,11.0,7.0,88.0,41.0,81.0,42.0,27.0,39.0,14.0,,,,,,1.0,169.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
3,H2H 1-0,Juan-Pablo Guzman,2.0,2.0,5686327.0,113483.0,,4.6,Juan-Pablo Guzman,42.0,1.0,1.0,50.0,14.0,55.0,31.0,21.0,24.0,7.0,,,,,,1.0,105.0,,,4.60,1.15,QF,6-1 6-4,Carlos Moya,2.0,3.0,5686327.0,113484.0,,1.15,Carlos Moya,63.0,7.0,4.0,55.0,27.0,50.0,25.0,23.0,25.0,13.0,,,,,,2.0,105.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
4,H2H 1-0,Jiri Vanek,3.0,1.0,5686328.0,113490.0,,3.9,Jiri Vanek,74.0,8.0,5.0,80.0,33.0,79.0,52.0,31.0,27.0,10.0,,,,,,2.0,159.0,,,3.90,1.20,QF,6-1 3-6 7-5,Novak Djokovic,6.0,6.0,5686328.0,113489.0,,1.2,Novak Djokovic,85.0,10.0,7.0,79.0,38.0,80.0,45.0,29.0,35.0,18.0,,,,,,1.0,159.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
5,H2H 2-3,Juan Martin Del Potro,1.0,0.0,5686329.0,400646.0,,2.25,Juan Martin Del Potro,69.0,8.0,3.0,80.0,31.0,67.0,57.0,34.0,10.0,4.0,,,,,,2.0,148.0,,,2.25,1.55,QF,6-1 2-6 6-4,Stan Wawrinka,2.0,1.0,5686329.0,400645.0,,1.55,Stan Wawrinka,79.0,5.0,4.0,67.0,29.0,80.0,45.0,30.0,35.0,19.0,,,,,,1.0,148.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
6,H2H 4-1,Albert Portas,8.0,3.0,5686330.0,113486.0,,2.1,Albert Portas,72.0,7.0,3.0,77.0,32.0,67.0,30.0,21.0,37.0,19.0,,,,,,2.0,144.0,,,2.10,1.65,QF,7-6(4) 6-4,Filippo Volandri,1.0,3.0,5686330.0,113485.0,,1.65,Filippo Volandri,72.0,9.0,4.0,67.0,27.0,77.0,59.0,36.0,18.0,9.0,,,,,,1.0,144.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
7,H2H 3-0,Carlos Berlocq,,,5686319.0,248455.0,,1.75,Carlos Berlocq,,,,,,,,,,,,,,,,1.0,,,,1.75,1.95,R16,3-6 6-3 6-2,Juan-Pablo Guzman,,,5686319.0,248456.0,,1.95,Juan-Pablo Guzman,,,,,,,,,,,,,,,,2.0,,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
8,H2H 1-0,Simon Greul,0.0,3.0,5686320.0,113447.0,,2.9,Simon Greul,34.0,6.0,2.0,57.0,22.0,37.0,19.0,7.0,18.0,5.0,,,,,,1.0,94.0,,,2.90,1.35,R16,6-2 6-1,Carlos Moya,4.0,1.0,5686320.0,113448.0,,1.35,Carlos Moya,60.0,9.0,6.0,37.0,25.0,57.0,33.0,26.0,24.0,9.0,,,,,,2.0,94.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
9,H2H 1-0,Stefano Ianni,0.0,4.0,5686321.0,113444.0,,23.0,Stefano Ianni,47.0,4.0,1.0,56.0,15.0,57.0,26.0,19.0,31.0,13.0,,,,,,2.0,113.0,,,23.00,1.03,R16,6-3 6-4,Novak Djokovic,3.0,1.0,5686321.0,113443.0,,1.033,Novak Djokovic,66.0,8.0,3.0,57.0,25.0,56.0,35.0,29.0,21.0,12.0,,,,,,1.0,113.0,,,2006-07-24,https://matchstat.com/tennis/tournaments/m/Umag/2006,Umag
