,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-0,Kjell Johansson,F,6-2 6-2 6-2,Orantes,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
1,H2H 1-2,F. Jauffret,SF,6-3 4-6 6-4,Kjell Johansson,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
2,H2H 4-0,Antonio Munoz,SF,6-4 3-6 6-0,Orantes,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
3,H2H 1-2,Corrado Barazzutti,QF,6-4 7-6,Kjell Johansson,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
4,H2H 1-0,Angel Gimenez,QF,7-5 2-6 6-4,F. Jauffret,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
5,H2H 1-0,Juan Gisbert,QF,7-6 6-7 6-0,Antonio Munoz,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
6,H2H 4-0,B. Phillips-Moore,QF,6-2 6-1,Orantes,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
7,H2H 2-1,Patricio Cornejo Seckel,R16,7-5 6-3,Corrado Barazzutti,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
8,H2H 2-1,R. Taylor,R16,6-1 7-5,Kjell Johansson,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
9,H2H 1-0,Eric Deblicker,R16,7-6 6-4,F. Jauffret,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
10,H2H 2-0,John Feaver,R16,7-6 4-6 6-3,Angel Gimenez,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
11,H2H 1-0,H. Elschenbroich,R16,6-7 6-1 6-1,Juan Gisbert,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
12,H2H 1-0,Mark Edmondson,R16,6-1 6-2,Antonio Munoz,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
13,H2H 2-1,Ivan Molina,R16,6-3 6-4,B. Phillips-Moore,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
14,H2H 5-1,Peter Szoke,R16,6-1 6-2,Orantes,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
15,H2H 5-1,Balazs Taroczy,R32,6-3 4-6 6-1,Corrado Barazzutti,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
16,H2H 1-0,Juan Herrera,R32,6-2 6-3,Patricio Cornejo Seckel,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
17,H2H 3-0,Jean-Louis Haillet,R32,7-6 6-1,R. Taylor,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
18,H2H 1-0,Mandarino,R32,6-0 6-3,Kjell Johansson,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
19,H2H 3-0,Paolo Bertolucci,R32,6-3 2-6 7-5,F. Jauffret,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
20,H2H 1-0,Elio Alvarez,R32,6-2 3-6 6-1,Eric Deblicker,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
21,H2H 1-0,Rolf Norberg,R32,6-2 6-3,John Feaver,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
22,H2H 1-0,Jose-Antonio Castanon,R32,6-4 6-0,Angel Gimenez,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
23,H2H 1-0,Juan-Ignacio Muntanola-Vilamela,R32,6-4 6-2,H. Elschenbroich,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
24,H2H 1-0,Colin Dowdeswell,R32,6-2 3-6 6-3,Juan Gisbert,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
25,H2H 1-0,Norman Holmes,R32,3-6 6-3 6-4,Mark Edmondson,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
26,H2H 1-2,Ricardo Cano,R32,3-6 6-3 6-3,Antonio Munoz,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
27,H2H 1-0,Ionel Santeiu,R32,6-1 6-4,B. Phillips-Moore,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
28,H2H 1-0,Birger Andersson,R32,6-4 6-3,Ivan Molina,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
29,H2H 1-0,Byron Bertram,R32,6-2 5-7 6-1,Peter Szoke,1976-03-22,https://matchstat.com/tennis/tournaments/m/Valencia/1976,Valencia
