,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 5-3,David Ferrer,1.0,1.0,6183540.0,784676.0,,1.35,David Ferrer,56.0,5.0,2.0,62.0,22.0,59.0,37.0,23.0,22.0,11.0,,,,,,1.0,121.0,,,1.35,3.65,F,6-3 7-5,Mikhail Youzhny,5.0,2.0,6183540.0,784677.0,,3.65,Mikhail Youzhny,65.0,8.0,4.0,59.0,25.0,62.0,37.0,27.0,25.0,13.0,,,,,,2.0,121.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
1,H2H 15-1,Nicolas Almagro,3.0,4.0,6184614.0,784675.0,,3.75,Nicolas Almagro,45.0,1.0,0.0,48.0,11.0,59.0,35.0,24.0,24.0,10.0,,,,,,2.0,107.0,,,3.75,1.33,SF,6-2 6-3,David Ferrer,4.0,1.0,6184614.0,784674.0,,1.328,David Ferrer,62.0,6.0,3.0,59.0,25.0,48.0,32.0,27.0,16.0,10.0,,,,,,1.0,107.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
2,H2H 3-1,Dmitry Tursunov,2.0,4.0,6183839.0,203035.0,,2.52,Dmitry Tursunov,44.0,2.0,1.0,50.0,15.0,58.0,37.0,19.0,21.0,10.0,,,,,,1.0,108.0,,,2.52,1.62,SF,6-2 6-4,Mikhail Youzhny,7.0,0.0,6183839.0,203036.0,,1.615,Mikhail Youzhny,64.0,9.0,4.0,58.0,29.0,50.0,36.0,28.0,14.0,7.0,,,,,,2.0,108.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
3,H2H 2-0,Jerzy Janowicz,10.0,4.0,6183880.0,784671.0,,3.15,Jerzy Janowicz,59.0,3.0,1.0,64.0,13.0,74.0,42.0,28.0,32.0,18.0,,,,,,2.0,138.0,,,3.15,1.42,QF,6-4 4-6 6-0,David Ferrer,3.0,1.0,6183880.0,784670.0,,1.42,David Ferrer,79.0,6.0,4.0,74.0,28.0,64.0,38.0,31.0,26.0,20.0,,,,,,1.0,138.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
4,H2H 4-2,Fabio Fognini,1.0,2.0,6183515.0,202954.0,,2.98,Fabio Fognini,56.0,6.0,2.0,66.0,23.0,62.0,39.0,25.0,23.0,8.0,,,,,,2.0,128.0,,,2.98,1.46,QF,7-6(6) 6-2,Nicolas Almagro,9.0,3.0,6183515.0,202953.0,,1.46,Nicolas Almagro,72.0,5.0,4.0,62.0,29.0,66.0,29.0,21.0,37.0,22.0,,,,,,1.0,128.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
5,H2H 2-1,Jeremy Chardy,11.0,6.0,6184554.0,202950.0,,2.08,Jeremy Chardy,52.0,3.0,0.0,69.0,22.0,53.0,32.0,23.0,21.0,7.0,,,,,,2.0,122.0,,,2.08,1.85,QF,6-3 6-3,Dmitry Tursunov,6.0,7.0,6184554.0,202949.0,,1.85,Dmitry Tursunov,70.0,5.0,3.0,53.0,23.0,69.0,35.0,29.0,34.0,18.0,,,,,,1.0,122.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
6,H2H 5-1,Jarkko Nieminen,2.0,5.0,6183844.0,202945.0,,2.76,Jarkko Nieminen,106.0,5.0,0.0,113.0,33.0,109.0,84.0,60.0,25.0,13.0,,,,,,1.0,222.0,,,2.76,1.52,QF,7-5 6-7(4) 6-4,Mikhail Youzhny,6.0,4.0,6183844.0,202946.0,,1.52,Mikhail Youzhny,116.0,6.0,2.0,109.0,36.0,113.0,69.0,57.0,44.0,23.0,,,,,,2.0,222.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
7,H2H 7-4,Julien Benneteau,2.0,3.0,6186165.0,784669.0,,3.25,Julien Benneteau,39.0,4.0,0.0,50.0,14.0,51.0,27.0,19.0,24.0,6.0,,,,,,2.0,101.0,,,3.25,1.38,R16,6-2 6-1,David Ferrer,4.0,2.0,6186165.0,784668.0,,1.38,David Ferrer,62.0,5.0,4.0,51.0,26.0,50.0,30.0,25.0,20.0,11.0,,,,,,1.0,101.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
8,H2H 3-1,Joao Sousa,2.0,2.0,6183827.0,202909.0,,3.15,Joao Sousa,46.0,0.0,0.0,52.0,12.0,57.0,31.0,21.0,26.0,13.0,,,,,,1.0,109.0,,,3.15,1.40,R16,6-2 7-5,Jerzy Janowicz,13.0,2.0,6183827.0,202910.0,,1.4,Jerzy Janowicz,63.0,5.0,3.0,57.0,23.0,52.0,32.0,27.0,20.0,13.0,,,,,,2.0,109.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
9,H2H 2-0,Michal Przysiezny,11.0,5.0,6183826.0,202922.0,,5.2,Michal Przysiezny,56.0,1.0,1.0,58.0,15.0,68.0,33.0,27.0,35.0,14.0,,,,,,2.0,126.0,,,5.20,1.19,R16,6-4 7-5,Nicolas Almagro,8.0,1.0,6183826.0,202921.0,,1.19,Nicolas Almagro,70.0,10.0,3.0,68.0,27.0,58.0,39.0,31.0,19.0,12.0,,,,,,1.0,126.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
10,H2H 5-4,Marcel Granollers,3.0,0.0,6184442.0,202851.0,,1.66,Marcel Granollers,41.0,2.0,1.0,55.0,18.0,42.0,24.0,16.0,18.0,7.0,,,,,,1.0,97.0,,,1.66,2.34,R16,6-3 6-2,Fabio Fognini,2.0,2.0,6184442.0,202852.0,,2.34,Fabio Fognini,56.0,6.0,4.0,42.0,19.0,55.0,39.0,28.0,16.0,9.0,,,,,,2.0,97.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
11,H2H 2-1,Roberto Bautista Agut,0.0,1.0,6183497.0,784664.0,,2.22,Roberto Bautista Agut,73.0,3.0,1.0,79.0,30.0,76.0,53.0,32.0,23.0,11.0,,,,,,1.0,155.0,,,2.22,1.72,R16,6-2 7-6(3),Dmitry Tursunov,11.0,7.0,6183497.0,784665.0,,1.72,Dmitry Tursunov,82.0,8.0,3.0,76.0,33.0,79.0,47.0,36.0,32.0,13.0,,,,,,2.0,155.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
12,H2H 4-0,John Isner,12.0,1.0,6183639.0,202902.0,,1.435,John Isner,61.0,4.0,1.0,68.0,17.0,63.0,47.0,32.0,16.0,12.0,,,,,,2.0,131.0,,,1.44,3.05,R16,7-6(7) 6-3,Jeremy Chardy,17.0,9.0,6183639.0,202901.0,,3.05,Jeremy Chardy,70.0,5.0,2.0,63.0,19.0,68.0,43.0,39.0,25.0,12.0,,,,,,1.0,131.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
13,H2H 1-1,Alejandro Falla,4.0,5.0,6184529.0,202903.0,,3.01,Alejandro Falla,47.0,5.0,3.0,55.0,23.0,56.0,24.0,13.0,32.0,11.0,,,,,,1.0,111.0,,,3.01,1.44,R16,6-2 6-3,Jarkko Nieminen,0.0,3.0,6184529.0,202904.0,,1.444,Jarkko Nieminen,64.0,11.0,6.0,56.0,32.0,55.0,37.0,20.0,18.0,12.0,,,,,,2.0,111.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
14,H2H 3-6,Philipp Kohlschreiber,7.0,1.0,6187631.0,202912.0,,1.794,Philipp Kohlschreiber,47.0,5.0,1.0,62.0,19.0,42.0,23.0,18.0,19.0,10.0,,,,,,2.0,104.0,,,1.79,2.14,R16,6-4 6-3,Mikhail Youzhny,4.0,0.0,6187631.0,202911.0,,2.14,Mikhail Youzhny,57.0,3.0,3.0,42.0,14.0,62.0,39.0,30.0,23.0,13.0,,,,,,1.0,104.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
15,H2H 3-3,Gael Monfils,2.0,1.0,6186639.0,784661.0,,2.75,Gael Monfils,34.0,3.0,1.0,47.0,12.0,45.0,24.0,15.0,21.0,7.0,,,,,,2.0,92.0,,,2.75,1.50,R32,6-3 6-2,David Ferrer,4.0,2.0,6186639.0,784660.0,,1.5,David Ferrer,58.0,5.0,4.0,45.0,23.0,47.0,29.0,24.0,18.0,11.0,,,,,,1.0,92.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
16,H2H 6-3,Feliciano Lopez,3.0,6.0,6186878.0,202787.0,,1.94,Feliciano Lopez,39.0,4.0,1.0,48.0,17.0,48.0,27.0,14.0,21.0,8.0,,,,,,1.0,96.0,,,1.94,1.94,R32,6-3 6-1,Julien Benneteau,6.0,2.0,6186878.0,202788.0,,1.94,Julien Benneteau,57.0,10.0,5.0,48.0,26.0,48.0,33.0,22.0,15.0,9.0,,,,,,2.0,96.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
17,H2H 1-1,Guillermo Garcia-Lopez,2.0,5.0,6186638.0,202777.0,,1.615,Guillermo Garcia-Lopez,53.0,3.0,2.0,59.0,21.0,61.0,32.0,22.0,29.0,10.0,,,,,,1.0,120.0,,,1.62,2.42,R32,6-3 7-5,Joao Sousa,1.0,3.0,6186638.0,202778.0,,2.42,Joao Sousa,67.0,7.0,4.0,61.0,29.0,59.0,37.0,31.0,22.0,7.0,,,,,,2.0,120.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
18,H2H 1-1,Pablo Carreno Busta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,7-5 7-6(7),Jerzy Janowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
19,H2H 4-0,Pablo Andujar,2.0,3.0,6183872.0,202790.0,,9.5,Pablo Andujar,39.0,1.0,1.0,38.0,9.0,62.0,35.0,18.0,27.0,12.0,,,,,,2.0,100.0,,,9.50,1.08,R32,6-2 6-3,Nicolas Almagro,3.0,0.0,6183872.0,202789.0,,1.08,Nicolas Almagro,61.0,7.0,5.0,62.0,32.0,38.0,23.0,18.0,15.0,11.0,,,,,,1.0,100.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
20,H2H 1-0,Fernando Verdasco,5.0,1.0,6186637.0,202795.0,,1.26,Fernando Verdasco,57.0,4.0,0.0,66.0,15.0,62.0,36.0,27.0,26.0,15.0,,,,,,1.0,128.0,,,1.26,4.20,R32,6-3 7-6(1),Michal Przysiezny,9.0,3.0,6186637.0,202796.0,,4.2,Michal Przysiezny,71.0,2.0,1.0,62.0,20.0,66.0,41.0,36.0,25.0,15.0,,,,,,2.0,128.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
21,H2H 4-1,Janko Tipsarevic,0.0,1.0,6186166.0,202737.0,,2.56,Janko Tipsarevic,16.0,0.0,0.0,6.0,2.0,24.0,12.0,8.0,12.0,6.0,,,,,,1.0,30.0,,,2.56,1.56,R32,1-2 Ret'd,Marcel Granollers,0.0,0.0,6186166.0,202738.0,,1.56,Marcel Granollers,14.0,3.0,0.0,24.0,10.0,6.0,4.0,4.0,2.0,0.0,,,,,,2.0,30.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
22,H2H 4-2,Martin Klizan,7.0,8.0,6186046.0,202747.0,,3.55,Martin Klizan,80.0,7.0,4.0,87.0,37.0,80.0,40.0,27.0,40.0,16.0,,,,,,1.0,167.0,,,3.55,1.33,R32,7-5 3-6 6-0,Fabio Fognini,4.0,7.0,6186046.0,202748.0,,1.333,Fabio Fognini,87.0,8.0,6.0,80.0,37.0,87.0,57.0,39.0,30.0,11.0,,,,,,2.0,167.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
23,H2H 1-0,Kevin Anderson,15.0,4.0,6187394.0,784652.0,,1.65,Kevin Anderson,101.0,8.0,1.0,104.0,36.0,96.0,63.0,47.0,33.0,18.0,,,,,,1.0,200.0,,,1.65,2.35,R32,3-6 7-6(5) 6-3,Roberto Bautista Agut,2.0,1.0,6187394.0,784653.0,,2.35,Roberto Bautista Agut,99.0,4.0,2.0,96.0,31.0,104.0,69.0,44.0,35.0,24.0,,,,,,2.0,200.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
24,H2H 2-0,Albert Montanes,2.0,1.0,6186407.0,202729.0,,4.7,Albert Montanes,40.0,4.0,0.0,51.0,12.0,51.0,33.0,17.0,18.0,11.0,,,,,,1.0,102.0,,,4.70,1.22,R32,6-4 6-1,Dmitry Tursunov,6.0,1.0,6186407.0,202730.0,,1.222,Dmitry Tursunov,62.0,6.0,3.0,51.0,23.0,51.0,34.0,25.0,17.0,14.0,,,,,,2.0,102.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
25,H2H 3-0,Florian Mayer,8.0,3.0,6183676.0,202839.0,,1.88,Florian Mayer,86.0,5.0,2.0,93.0,30.0,84.0,56.0,43.0,28.0,13.0,,,,,,1.0,177.0,,,1.88,2.00,R32,4-6 7-5 6-3,Jeremy Chardy,8.0,2.0,6183676.0,202840.0,,2.0,Jeremy Chardy,91.0,5.0,3.0,84.0,28.0,93.0,55.0,38.0,38.0,25.0,,,,,,2.0,177.0,,,2013-10-21,https://matchstat.com/tennis/tournaments/m/Valencia/2013,Valencia
