,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Paolo Bertolucci,F,6-4 6-4,Mario Martinez,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
1,H2H 1-0,Pedro Rebolledo,SF,6-4 1-6 6-0,Paolo Bertolucci,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
2,H2H 1-0,Marcos Hocevar,SF,6-2 7-5,Mario Martinez,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
3,H2H 2-0,Adriano Panatta,QF,7-6 6-0,Pedro Rebolledo,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
4,H2H 1-0,Diego Perez,QF,4-6 6-2 6-4,Paolo Bertolucci,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
5,H2H 1-0,Uli Pinner,QF,1-6 7-5 6-4,Marcos Hocevar,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
6,H2H 3-1,Jose Higueras,QF,6-2 7-5,Mario Martinez,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
7,H2H 1-0,Damir Keretic,R16,1-6 7-6 6-1,Adriano Panatta,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
8,H2H 1-0,Ricardo Cano,R16,6-4 6-3,Pedro Rebolledo,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
9,H2H 4-0,Antonio Zugarelli,R16,6-2 Retired,Paolo Bertolucci,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
10,H2H 1-2,Ricardo Ycaza,R16,6-3 6-1,Diego Perez,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
11,H2H 1-1,Claudio Panatta,R16,4-6 6-3 6-3,Marcos Hocevar,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
12,H2H 1-0,Stefan Simonsson,R16,2-6 7-6 6-3,Uli Pinner,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
13,H2H 1-1,Stanislav Birner,R16,6-1 3-6 6-4,Mario Martinez,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
14,H2H 1-1,Rick Fagel,R16,6-7 6-2 7-5,Jose Higueras,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
15,H2H 1-0,Fernando Dalla-Fontana,R32,6-4 6-1,Adriano Panatta,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
16,H2H 1-0,Eduardo Bengoechea,R32,6-3 6-3,Damir Keretic,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
17,H2H 1-1,Marko Ostoja,R32,6-3 2-6 7-5,Pedro Rebolledo,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
18,H2H 1-0,Fernando Maynetto,R32,6-4 6-2,Ricardo Cano,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
19,H2H 2-0,Carlos Kirmayr,R32,7-5 5-7 6-2,Paolo Bertolucci,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
20,H2H 2-0,Jean-Francois Caujolle,R32,2-6 6-2 6-4,Antonio Zugarelli,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
21,H2H 1-0,Gianluca Rinaldini,R32,6-4 6-4,Diego Perez,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
22,H2H 3-0,Raul Viver,R32,6-1 6-3,Ricardo Ycaza,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
23,H2H 1-0,Angel Gimenez,R32,6-4 6-2,Claudio Panatta,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
24,H2H 2-0,Gabriel Urpi,R32,3-6 7-5 6-2,Stefan Simonsson,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
25,H2H 1-0,Corrado Barazzutti,R32,6-2 6-3,Uli Pinner,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
26,H2H 3-1,Fernando Luna,R32,6-4 6-3,Mario Martinez,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
27,H2H 1-0,Hans Kary,R32,6-1 6-3,Stanislav Birner,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
28,H2H 1-0,Marco Bellini,R32,5-7 6-2 6-3,Rick Fagel,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
29,H2H 1-0,Guillermo Aubone,R32,6-4 6-0,Jose Higueras,1981-06-15,https://matchstat.com/tennis/tournaments/m/Venice/1981,Venice
