,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-0,Bill Scanlon,F,6-1 6-4 6-0,Brian Gottfried,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
1,H2H 2-0,Henri Leconte,SF,6-2 6-7 6-4,Brian Gottfried,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
2,H2H 1-0,Mike De Palmer,SF,3-6 7-6 7-6,Bill Scanlon,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
3,H2H 3-5,Corrado Barazzutti,QF,6-3 6-1,Brian Gottfried,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
4,H2H 2-1,Marcos Hocevar,QF,7-5 6-3,Henri Leconte,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
5,H2H 1-1,S. Smith,QF,2-6 7-6 7-5,Bill Scanlon,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
6,H2H 1-0,Joao Soares,QF,3-6 7-6 6-1,Mike De Palmer,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
7,H2H 4-0,Adriano Panatta,R16,6-1 6-4,Brian Gottfried,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
8,H2H 1-2,Peter Elter,R16,7-5 6-1,Corrado Barazzutti,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
9,H2H 1-1,Matt Doyle,R16,7-5 6-4,Marcos Hocevar,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
10,H2H 1-1,Ramesh Krishnan,R16,WO,Henri Leconte,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
11,H2H 3-2,I. Nastase,R16,1-6 6-3 6-4,Bill Scanlon,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
12,H2H 1-1,Victor Pecci,R16,6-3 7-6,S. Smith,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
13,H2H 1-1,Terry Moor,R16,6-4 7-5,Joao Soares,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
14,H2H 2-1,Mark Dickson,R16,7-6 2-6 6-2,Mike De Palmer,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
15,H2H 1-0,Peter Feigl,R32,6-1 6-2,Brian Gottfried,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
16,H2H 1-0,Per Hjertquist,R32,7-6 6-4,Adriano Panatta,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
17,H2H 2-0,Nick Saviano,R32,6-4 6-4,Corrado Barazzutti,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
18,H2H 1-0,Bernhard Pils,R32,6-7 7-6 6-1,Peter Elter,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
19,H2H 1-0,Hans Kary,R32,6-4 6-4,Marcos Hocevar,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
20,H2H 1-0,Stanislav Birner,R32,4-6 6-4 7-5,Matt Doyle,1982-10-18,https://matchstat.com/tennis/tournaments/m/Vienna/1982,Vienna
