,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-4,Fernando Gonzalez,2.0,3.0,5704067.0,114242.0,,1.95,Fernando Gonzalez,86.0,4.0,0.0,83.0,16.0,120.0,81.0,55.0,39.0,15.0,,,,,,2.0,203.0,,,1.95,1.80,F,6-3 6-4 7-5,Ivan Ljubicic,17.0,1.0,5704067.0,114241.0,,1.8,Ivan Ljubicic,117.0,10.0,3.0,120.0,50.0,83.0,52.0,46.0,31.0,21.0,,,,,,1.0,203.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
1,H2H 7-2,Dominik Hrbaty,3.0,4.0,5704065.0,114238.0,,3.3,Dominik Hrbaty,41.0,0.0,0.0,40.0,8.0,61.0,38.0,22.0,23.0,11.0,,,,,,2.0,101.0,,,3.30,1.30,SF,6-1 6-4,Ivan Ljubicic,12.0,1.0,5704065.0,114237.0,,1.3,Ivan Ljubicic,60.0,8.0,4.0,61.0,28.0,40.0,32.0,28.0,8.0,4.0,,,,,,1.0,101.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
2,H2H 3-9,Andy Roddick,12.0,0.0,5704066.0,114239.0,,1.294,Andy Roddick,99.0,1.0,1.0,90.0,24.0,111.0,76.0,50.0,35.0,25.0,,,,,,1.0,201.0,,,1.29,4.10,SF,6-4 3-6 7-6(5),Fernando Gonzalez,9.0,3.0,5704066.0,114240.0,,4.1,Fernando Gonzalez,102.0,5.0,1.0,111.0,36.0,90.0,63.0,51.0,27.0,15.0,,,,,,2.0,201.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
3,H2H 3-3,Stan Wawrinka,2.0,1.0,5704061.0,400664.0,,4.8,Stan Wawrinka,39.0,0.0,0.0,46.0,10.0,51.0,29.0,19.0,22.0,10.0,,,,,,2.0,97.0,,,4.80,1.24,QF,6-3 6-2,Ivan Ljubicic,11.0,3.0,5704061.0,400663.0,,1.238,Ivan Ljubicic,58.0,5.0,3.0,51.0,22.0,46.0,27.0,24.0,19.0,12.0,,,,,,1.0,97.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
4,H2H 3-1,Stefan Koubek,2.0,6.0,5704062.0,114231.0,,2.38,Stefan Koubek,80.0,14.0,3.0,97.0,37.0,87.0,40.0,23.0,47.0,20.0,,,,,,1.0,184.0,,,2.38,1.68,QF,6-1 5-7 6-2,Dominik Hrbaty,4.0,7.0,5704062.0,114232.0,,1.676,Dominik Hrbaty,104.0,8.0,7.0,87.0,44.0,97.0,48.0,32.0,49.0,28.0,,,,,,2.0,184.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
5,H2H 10-0,Jurgen Melzer,1.0,1.0,5704063.0,114233.0,,5.0,Jurgen Melzer,49.0,2.0,1.0,55.0,16.0,58.0,38.0,17.0,20.0,16.0,,,,,,1.0,113.0,,,5.00,1.15,QF,6-4 6-3,Andy Roddick,11.0,0.0,5704063.0,114234.0,,1.15,Andy Roddick,64.0,5.0,3.0,58.0,25.0,55.0,33.0,28.0,22.0,11.0,,,,,,2.0,113.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
6,H2H 2-6,David Nalbandian,1.0,0.0,5704064.0,114236.0,,1.72,David Nalbandian,77.0,8.0,2.0,82.0,30.0,87.0,60.0,32.0,27.0,15.0,,,,,,2.0,169.0,,,1.72,2.05,QF,3-6 6-3 6-1,Fernando Gonzalez,11.0,3.0,5704064.0,114235.0,,2.05,Fernando Gonzalez,92.0,13.0,5.0,87.0,40.0,82.0,57.0,39.0,25.0,13.0,,,,,,1.0,169.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
7,H2H 3-1,Florian Mayer,1.0,0.0,5704053.0,114170.0,,6.4,Florian Mayer,45.0,1.0,0.0,50.0,12.0,58.0,38.0,25.0,20.0,8.0,,,,,,2.0,108.0,,,6.40,1.17,R16,6-3 6-3,Ivan Ljubicic,14.0,1.0,5704053.0,114169.0,,1.167,Ivan Ljubicic,63.0,5.0,3.0,58.0,25.0,50.0,32.0,30.0,18.0,8.0,,,,,,1.0,108.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
8,H2H 4-21,Novak Djokovic,1.0,2.0,5704054.0,400662.0,,1.45,Novak Djokovic,38.0,2.0,0.0,50.0,13.0,45.0,26.0,17.0,19.0,8.0,,,,,,2.0,95.0,,,1.45,2.70,R16,6-3 6-3,Stan Wawrinka,7.0,1.0,5704054.0,400661.0,,2.7,Stan Wawrinka,57.0,3.0,3.0,45.0,20.0,50.0,28.0,23.0,22.0,14.0,,,,,,1.0,95.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
9,H2H 1-0,Marcos Baghdatis,5.0,4.0,5704055.0,114205.0,,1.4,Marcos Baghdatis,85.0,8.0,4.0,81.0,32.0,91.0,53.0,36.0,38.0,17.0,,,,,,1.0,172.0,,,1.40,3.30,R16,1-6 7-6(3) 6-2,Stefan Koubek,0.0,2.0,5704055.0,114206.0,,3.3,Stefan Koubek,87.0,9.0,4.0,91.0,38.0,81.0,41.0,29.0,40.0,20.0,,,,,,2.0,172.0,,,2006-10-09,https://matchstat.com/tennis/tournaments/m/Vienna/2006,Vienna
