,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-1,Nicolas Lapentti,F,6-3 6-7(5) 7-6(4),Fernando Gonzalez,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
1,H2H 2-3,Nicolas Massu,SF,6-3 6-4,Nicolas Lapentti,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
2,H2H 1-0,Nicolas Coutelot,SF,6-3 6-3,Fernando Gonzalez,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
3,H2H 2-2,Flavio Saretta,QF,3-6 6-3 7-6(5),Nicolas Lapentti,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
4,H2H 4-2,Albert Montanes,QF,6-3 6-4,Nicolas Massu,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
5,H2H 1-0,Markus Hipfl,QF,6-2 6-1,Nicolas Coutelot,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
6,H2H 11-2,Jose Acasuso,QF,6-4 7-6(5),Fernando Gonzalez,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
7,H2H 2-0,Ramon Delgado,R16,4-6 6-3 6-3,Nicolas Lapentti,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
8,H2H 2-5,David Nalbandian,R16,3-4 Default,Flavio Saretta,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
9,H2H 2-0,Julio Silva,R16,6-0 6-3,Nicolas Massu,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
10,H2H 3-1,Fernando Vicente,R16,7-6(5) 6-4,Albert Montanes,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
11,H2H 3-2,Gaston Gaudio,R16,6-4 7-6(4),Markus Hipfl,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
12,H2H 1-0,Mariano Zabaleta,R16,3-6 6-4 7-6(4),Nicolas Coutelot,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
13,H2H 3-0,Galo Blanco,R16,6-3 6-0,Jose Acasuso,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
14,H2H 4-1,Felix Mantilla,R16,6-1 7-6(6),Fernando Gonzalez,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
15,H2H 4-0,Jacobo Diaz-Ruiz,R32,3-6 6-3 6-4,Nicolas Lapentti,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
16,H2H 3-0,Franco Squillari,R32,2-6 6-2 6-3,Ramon Delgado,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
17,H2H 1-1,Juan-Antonio Marin,R32,6-4 6-2,Flavio Saretta,2002-02-11,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2002,Vina Del Mar
