,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 6-0,Juan Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,WO,Fernando Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
1,H2H 4-0,Pablo Cuevas,4.0,1.0,5784152.0,123176.0,,4.2,Pablo Cuevas,104.0,10.0,3.0,107.0,37.0,115.0,80.0,50.0,35.0,17.0,,,,,,2.0,222.0,,,4.20,1.20,SF,6-7(4) 7-6(6) 6-2,Fernando Gonzalez,10.0,2.0,5784152.0,123175.0,,1.2,Fernando Gonzalez,118.0,7.0,5.0,115.0,48.0,107.0,61.0,44.0,46.0,26.0,,,,,,1.0,222.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
2,H2H 1-0,Santiago Ventura,5.0,3.0,5784153.0,123178.0,,4.0,Santiago Ventura,48.0,3.0,1.0,52.0,17.0,57.0,27.0,21.0,30.0,10.0,,,,,,2.0,109.0,,,4.00,1.22,SF,6-2 6-4,Juan Monaco,1.0,1.0,5784153.0,123177.0,,1.22,Juan Monaco,61.0,7.0,4.0,57.0,26.0,52.0,33.0,23.0,19.0,12.0,,,,,,1.0,109.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
3,H2H 1-1,Carlos Berlocq,1.0,4.0,5784148.0,123168.0,,4.2,Carlos Berlocq,51.0,3.0,0.0,57.0,17.0,64.0,42.0,27.0,22.0,7.0,,,,,,2.0,121.0,,,4.20,1.20,QF,7-5 6-0,Fernando Gonzalez,4.0,1.0,5784148.0,123167.0,,1.2,Fernando Gonzalez,70.0,7.0,4.0,64.0,30.0,57.0,37.0,26.0,20.0,14.0,,,,,,1.0,121.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
4,H2H 1-2,Jose Acasuso,5.0,4.0,5784149.0,123170.0,,1.465,Jose Acasuso,64.0,4.0,1.0,71.0,27.0,73.0,39.0,24.0,34.0,13.0,,,,,,2.0,144.0,,,1.47,2.95,QF,6-3 6-3,Pablo Cuevas,5.0,2.0,5784149.0,123169.0,,2.95,Pablo Cuevas,80.0,16.0,4.0,73.0,36.0,71.0,45.0,32.0,26.0,12.0,,,,,,1.0,144.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
5,H2H 4-0,Juan-Pablo Brzezicki,1.0,2.0,5784150.0,123171.0,,3.7,Juan-Pablo Brzezicki,50.0,2.0,1.0,53.0,17.0,66.0,41.0,23.0,25.0,10.0,,,,,,1.0,119.0,,,3.70,1.33,QF,6-2 6-3,Juan Monaco,3.0,0.0,5784150.0,123172.0,,1.333,Juan Monaco,69.0,14.0,4.0,66.0,33.0,53.0,27.0,22.0,26.0,14.0,,,,,,2.0,119.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
6,H2H 2-0,Fabio Fognini,2.0,1.0,5784151.0,123174.0,,2.05,Fabio Fognini,53.0,1.0,0.0,52.0,14.0,69.0,39.0,26.0,30.0,13.0,,,,,,2.0,121.0,,,2.05,1.70,QF,6-3 6-3,Santiago Ventura,6.0,1.0,5784151.0,123173.0,,1.7,Santiago Ventura,68.0,8.0,3.0,69.0,30.0,52.0,30.0,24.0,22.0,14.0,,,,,,1.0,121.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
7,H2H 1-0,Diego Hartfield,1.0,1.0,5784140.0,123160.0,,4.6,Diego Hartfield,49.0,4.0,2.0,64.0,23.0,47.0,29.0,15.0,18.0,11.0,,,,,,2.0,111.0,,,4.60,1.25,R16,6-3 6-4,Fernando Gonzalez,6.0,6.0,5784140.0,123159.0,,1.25,Fernando Gonzalez,62.0,5.0,4.0,47.0,21.0,64.0,38.0,29.0,26.0,12.0,,,,,,1.0,111.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
8,H2H 1-1,Luis Horna,3.0,1.0,5784141.0,123162.0,,1.613,Luis Horna,109.0,8.0,4.0,110.0,38.0,111.0,86.0,61.0,25.0,10.0,,,,,,2.0,221.0,,,1.61,2.53,R16,7-6(3) 3-6 7-6(3),Carlos Berlocq,12.0,2.0,5784141.0,123161.0,,2.53,Carlos Berlocq,112.0,8.0,3.0,111.0,40.0,110.0,58.0,41.0,52.0,31.0,,,,,,1.0,221.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
9,H2H 2-1,Fernando Verdasco,1.0,6.0,5784142.0,123151.0,,1.282,Fernando Verdasco,64.0,6.0,0.0,75.0,23.0,63.0,38.0,26.0,25.0,15.0,,,,,,1.0,138.0,,,1.28,4.25,R16,7-5 6-3,Pablo Cuevas,4.0,1.0,5784142.0,123152.0,,4.25,Pablo Cuevas,74.0,5.0,2.0,63.0,22.0,75.0,46.0,33.0,29.0,19.0,,,,,,2.0,138.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
10,H2H 2-0,Daniel Gimeno-Traver,3.0,4.0,5784143.0,123153.0,,3.7,Daniel Gimeno-Traver,41.0,0.0,0.0,41.0,9.0,62.0,37.0,25.0,25.0,7.0,,,,,,1.0,103.0,,,3.70,1.33,R16,6-2 6-2,Jose Acasuso,1.0,0.0,5784143.0,123154.0,,1.333,Jose Acasuso,62.0,11.0,4.0,62.0,30.0,41.0,31.0,26.0,10.0,6.0,,,,,,2.0,103.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
11,H2H 1-0,Marcel Granollers,1.0,2.0,5784144.0,123156.0,,1.8,Marcel Granollers,48.0,1.0,0.0,49.0,14.0,67.0,32.0,15.0,35.0,19.0,,,,,,2.0,116.0,,,1.80,2.15,R16,6-2 6-2,Juan-Pablo Brzezicki,1.0,0.0,5784144.0,123155.0,,2.15,Juan-Pablo Brzezicki,68.0,15.0,4.0,67.0,33.0,49.0,29.0,23.0,20.0,12.0,,,,,,1.0,116.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
12,H2H 4-0,Martin Vassallo Arguello,1.0,2.0,5784145.0,123157.0,,4.3,Martin Vassallo Arguello,101.0,12.0,3.0,106.0,40.0,106.0,70.0,43.0,36.0,18.0,,,,,,1.0,212.0,,,4.30,1.20,R16,6-3 4-6 7-5,Juan Monaco,7.0,2.0,5784145.0,123158.0,,1.2,Juan Monaco,111.0,9.0,4.0,106.0,45.0,106.0,64.0,45.0,42.0,21.0,,,,,,2.0,212.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
13,H2H 3-0,Sergio Roitman,6.0,1.0,5784146.0,123163.0,,1.769,Sergio Roitman,96.0,15.0,7.0,97.0,45.0,98.0,59.0,29.0,39.0,22.0,,,,,,1.0,195.0,,,1.77,2.20,R16,4-6 6-3 7-6(4),Santiago Ventura,2.0,6.0,5784146.0,123164.0,,2.2,Santiago Ventura,99.0,14.0,7.0,98.0,47.0,97.0,49.0,34.0,48.0,18.0,,,,,,2.0,195.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
14,H2H 2-2,David Marrero,4.0,1.0,5784147.0,123165.0,,3.3,David Marrero,96.0,8.0,1.0,104.0,32.0,103.0,64.0,42.0,39.0,22.0,,,,,,1.0,207.0,,,3.30,1.40,R16,6-4 6-7(5) 6-3,Fabio Fognini,9.0,4.0,5784147.0,123166.0,,1.4,Fabio Fognini,111.0,11.0,3.0,103.0,39.0,104.0,52.0,41.0,52.0,31.0,,,,,,2.0,207.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
15,H2H 2-0,Paul Capdeville,1.0,3.0,5784124.0,123136.0,,5.0,Paul Capdeville,52.0,4.0,3.0,57.0,20.0,63.0,46.0,26.0,17.0,6.0,,,,,,2.0,120.0,,,5.00,1.23,R32,7-5 6-3,Fernando Gonzalez,5.0,2.0,5784124.0,123135.0,,1.227,Fernando Gonzalez,68.0,7.0,5.0,63.0,31.0,57.0,38.0,28.0,19.0,9.0,,,,,,1.0,120.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
16,H2H 1-2,Mariano Zabaleta,4.0,6.0,5784125.0,124009.0,,2.15,Mariano Zabaleta,63.0,7.0,2.0,71.0,26.0,71.0,39.0,24.0,32.0,13.0,,,,,,1.0,142.0,,,2.15,1.80,R32,6-3 7-5,Diego Hartfield,2.0,4.0,5784125.0,124010.0,,1.8,Diego Hartfield,79.0,11.0,4.0,71.0,34.0,71.0,46.0,32.0,25.0,13.0,,,,,,2.0,142.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
17,H2H 2-0,Nicolas Devilder,2.0,4.0,5784126.0,123137.0,,2.85,Nicolas Devilder,65.0,4.0,1.0,66.0,22.0,81.0,48.0,30.0,33.0,13.0,,,,,,1.0,147.0,,,2.85,1.49,R32,7-5 6-2,Carlos Berlocq,5.0,2.0,5784126.0,123138.0,,1.488,Carlos Berlocq,82.0,12.0,4.0,81.0,38.0,66.0,31.0,25.0,35.0,19.0,,,,,,2.0,147.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
18,H2H 4-7,Agustin Calleri,10.0,2.0,5784127.0,123140.0,,1.588,Agustin Calleri,54.0,4.0,0.0,57.0,13.0,66.0,38.0,31.0,28.0,10.0,,,,,,2.0,123.0,,,1.59,2.60,R32,6-4 6-4,Luis Horna,2.0,2.0,5784127.0,123139.0,,2.6,Luis Horna,69.0,4.0,2.0,66.0,25.0,57.0,41.0,35.0,16.0,9.0,,,,,,1.0,123.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
19,H2H 1-0,Hans Podlipnik-Castillo,1.0,4.0,5784128.0,123142.0,,11.52,Hans Podlipnik-Castillo,56.0,2.0,1.0,48.0,14.0,77.0,58.0,35.0,19.0,7.0,,,,,,2.0,125.0,,,11.52,1.08,R32,6-4 6-3,Fernando Verdasco,6.0,0.0,5784128.0,123141.0,,1.077,Fernando Verdasco,69.0,8.0,4.0,77.0,35.0,48.0,32.0,24.0,16.0,10.0,,,,,,1.0,125.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
20,H2H 1-0,Guillermo Coria,0.0,10.0,5784129.0,124011.0,,2.2,Guillermo Coria,88.0,9.0,4.0,90.0,38.0,91.0,53.0,34.0,38.0,16.0,,,,,,1.0,181.0,,,2.20,1.77,R32,6-4 4-6 6-3,Pablo Cuevas,4.0,2.0,5784129.0,124012.0,,1.769,Pablo Cuevas,93.0,10.0,6.0,91.0,41.0,90.0,53.0,35.0,37.0,17.0,,,,,,2.0,181.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
21,H2H 3-0,Eduardo Schwank,0.0,0.0,5784130.0,124013.0,,1.769,Eduardo Schwank,54.0,2.0,2.0,55.0,14.0,58.0,41.0,31.0,17.0,9.0,,,,,,1.0,113.0,,,1.77,2.20,R32,6-4 1-6 6-1,Daniel Gimeno-Traver,4.0,0.0,5784130.0,124014.0,,2.2,Daniel Gimeno-Traver,59.0,5.0,3.0,58.0,18.0,55.0,37.0,27.0,18.0,14.0,,,,,,2.0,113.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
22,H2H 1-1,Peter Luczak,4.0,2.0,5784131.0,124007.0,,3.2,Peter Luczak,50.0,4.0,0.0,60.0,17.0,56.0,28.0,21.0,28.0,12.0,,,,,,1.0,116.0,,,3.20,1.42,R32,6-2 6-4,Jose Acasuso,6.0,2.0,5784131.0,124008.0,,1.417,Jose Acasuso,66.0,9.0,3.0,56.0,23.0,60.0,27.0,25.0,33.0,18.0,,,,,,2.0,116.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
23,H2H 2-2,Oscar Hernandez Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,7-6(4) 6-1,Juan-Pablo Brzezicki,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
24,H2H 1-1,Boris Pashanski,0.0,3.0,5784133.0,123143.0,,2.15,Boris Pashanski,68.0,4.0,1.0,64.0,20.0,89.0,61.0,36.0,28.0,12.0,,,,,,1.0,153.0,,,2.15,1.80,R32,7-6(4) 6-2,Marcel Granollers,7.0,2.0,5784133.0,123144.0,,1.8,Marcel Granollers,85.0,9.0,3.0,89.0,41.0,64.0,41.0,34.0,23.0,10.0,,,,,,2.0,153.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
25,H2H 4-1,Olivier Patience,0.0,4.0,5784134.0,123146.0,,2.65,Olivier Patience,45.0,1.0,0.0,48.0,13.0,60.0,39.0,21.0,21.0,11.0,,,,,,2.0,108.0,,,2.65,1.57,R32,6-4 6-1,Martin Vassallo Arguello,1.0,1.0,5784134.0,123145.0,,1.571,Martin Vassallo Arguello,63.0,10.0,4.0,60.0,28.0,48.0,35.0,28.0,13.0,7.0,,,,,,1.0,108.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
26,H2H 4-0,Nicolas Lapentti,2.0,2.0,5784135.0,123131.0,,4.5,Nicolas Lapentti,93.0,12.0,3.0,102.0,40.0,87.0,51.0,35.0,36.0,18.0,,,,,,1.0,189.0,,,4.50,1.26,R32,2-6 6-3 6-4,Juan Monaco,6.0,1.0,5784135.0,123132.0,,1.263,Juan Monaco,96.0,11.0,3.0,87.0,34.0,102.0,72.0,45.0,30.0,17.0,,,,,,2.0,189.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
27,H2H 2-3,Nicolas Massu,4.0,8.0,5784136.0,123133.0,,1.455,Nicolas Massu,119.0,13.0,4.0,121.0,47.0,118.0,70.0,47.0,48.0,25.0,,,,,,1.0,239.0,,,1.46,3.00,R32,6-7(3) 7-6(4) 6-3,Sergio Roitman,3.0,1.0,5784136.0,123134.0,,3.0,Sergio Roitman,120.0,11.0,5.0,118.0,46.0,121.0,69.0,46.0,52.0,28.0,,,,,,2.0,239.0,,,2008-01-28,https://matchstat.com/tennis/tournaments/m/Vina%20Del%20Mar/2008,Vina Del Mar
