,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Raul Ramirez,F,6-4 3-6 7-6,Pedro Rebolledo,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
1,H2H 2-0,Zoltan Kuharszky,SF,6-1 6-0,Raul Ramirez,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
2,H2H 1-0,Peter Feigl,SF,6-4 7-6,Pedro Rebolledo,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
3,H2H 2-0,Kjell Johansson,QF,6-4 6-4,Raul Ramirez,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
4,H2H 1-0,J. Fillol,QF,7-6 6-1,Zoltan Kuharszky,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
5,H2H 2-0,Christophe Roger-Vasselin,QF,6-3 6-4,Peter Feigl,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
6,H2H 3-4,Pablo Arraya,QF,6-4 6-4,Pedro Rebolledo,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
7,H2H 1-0,Carlos Castellan,R16,6-2 6-4,Raul Ramirez,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
8,H2H 1-1,Ricardo Cano,R16,7-6 6-1,Kjell Johansson,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
9,H2H 5-8,Orantes,R16,2-6 6-3 7-6,J. Fillol,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
10,H2H 1-0,Paul Torre,R16,6-4 5-7 6-4,Zoltan Kuharszky,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
11,H2H 1-0,Ricardo Acuna,R16,6-0 6-2,Christophe Roger-Vasselin,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
12,H2H 2-0,Claudio Panatta,R16,6-3 6-4,Peter Feigl,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
13,H2H 1-0,Antonio Zugarelli,R16,6-3 5-7 6-4,Pablo Arraya,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
14,H2H 1-0,Guillermo Aubone,R16,7-6 6-1,Pedro Rebolledo,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
15,H2H 1-0,Gustavo Tiberti,R32,6-2 7-6,Raul Ramirez,1982-01-25,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/1982,Vina del Mar
