,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
0,H2H 3-0,Leonardo Mayer,0.0,2.0,6197561.0,207150.0,,3.5,Leonardo Mayer,55.0,0.0,0.0,45.0,7.0,88.0,58.0,36.0,30.0,12.0,,,,,,2.0,133.0,,,3.50,1.37,F,6-2 6-4,Fabio Fognini,5.0,1.0,6197561.0,207149.0,,1.37,Fabio Fognini,78.0,13.0,3.0,88.0,40.0,45.0,34.0,30.0,11.0,8.0,,,,,,1.0,133.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
1,H2H 2-4,Nicolas Almagro,11.0,1.0,6199215.0,207062.0,,2.12,Nicolas Almagro,100.0,11.0,5.0,94.0,39.0,93.0,54.0,39.0,39.0,22.0,,,,,,2.0,187.0,,,2.12,1.85,SF,6-4 1-6 7-6(5),Fabio Fognini,8.0,4.0,6199215.0,207061.0,,1.85,Fabio Fognini,87.0,10.0,4.0,93.0,32.0,94.0,51.0,36.0,43.0,19.0,,,,,,1.0,187.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
2,H2H 3-1,Santiago Giraldo,2.0,2.0,6195849.0,207049.0,,1.85,Santiago Giraldo,56.0,1.0,1.0,58.0,14.0,69.0,37.0,26.0,32.0,16.0,,,,,,1.0,127.0,,,1.85,2.12,SF,7-6(2) 6-3,Leonardo Mayer,6.0,2.0,6195849.0,207050.0,,2.12,Leonardo Mayer,71.0,3.0,3.0,69.0,27.0,58.0,34.0,26.0,24.0,18.0,,,,,,2.0,127.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
3,H2H 5-0,Jeremy Chardy,7.0,5.0,6196945.0,206698.0,,2.94,Jeremy Chardy,85.0,5.0,2.0,81.0,29.0,96.0,55.0,38.0,41.0,18.0,,,,,,2.0,177.0,,,2.94,1.47,QF,6-4 3-6 6-2,Fabio Fognini,2.0,2.0,6196945.0,206697.0,,1.47,Fabio Fognini,92.0,12.0,4.0,96.0,40.0,81.0,54.0,35.0,27.0,17.0,,,,,,1.0,177.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
4,H2H 2-0,Taro Daniel,1.0,1.0,6196943.0,206700.0,,7.6,Taro Daniel,47.0,3.0,1.0,47.0,9.0,70.0,40.0,26.0,30.0,12.0,,,,,,2.0,117.0,,,7.60,1.13,QF,6-2 7-5,Nicolas Almagro,12.0,2.0,6196943.0,206699.0,,1.125,Nicolas Almagro,70.0,6.0,4.0,70.0,32.0,47.0,22.0,21.0,25.0,17.0,,,,,,1.0,117.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
5,H2H 2-3,Guillermo Garcia-Lopez,4.0,6.0,6196944.0,206693.0,,1.96,Guillermo Garcia-Lopez,88.0,10.0,2.0,99.0,37.0,86.0,53.0,36.0,33.0,15.0,,,,,,1.0,185.0,,,1.96,1.96,QF,3-6 6-4 6-2,Santiago Giraldo,5.0,1.0,6196944.0,206694.0,,1.96,Santiago Giraldo,97.0,9.0,3.0,86.0,35.0,99.0,62.0,47.0,37.0,15.0,,,,,,2.0,185.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
6,H2H 2-0,Daniel Gimeno-Traver,6.0,2.0,6196942.0,206695.0,,2.08,Daniel Gimeno-Traver,77.0,5.0,3.0,80.0,25.0,82.0,46.0,37.0,36.0,15.0,,,,,,1.0,162.0,,,2.08,1.85,QF,3-6 7-5 6-3,Leonardo Mayer,4.0,7.0,6196942.0,206696.0,,1.85,Leonardo Mayer,85.0,6.0,4.0,82.0,30.0,80.0,48.0,38.0,32.0,17.0,,,,,,2.0,162.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
7,H2H 6-0,Aljaz Bedene,3.0,1.0,6196954.0,206662.0,,4.2,Aljaz Bedene,61.0,2.0,1.0,59.0,12.0,83.0,50.0,33.0,33.0,16.0,,,,,,2.0,142.0,,,4.20,1.26,R16,6-4 7-6(0),Fabio Fognini,4.0,0.0,6196954.0,206661.0,,1.26,Fabio Fognini,81.0,6.0,2.0,83.0,34.0,59.0,36.0,31.0,23.0,16.0,,,,,,1.0,142.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
8,H2H 2-0,Pablo Carreno Busta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-3 7-6(5),Jeremy Chardy,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
9,H2H 1-0,Martin Alund,2.0,5.0,6196951.0,206666.0,,5.4,Martin Alund,69.0,1.0,1.0,71.0,13.0,86.0,50.0,35.0,36.0,21.0,,,,,,2.0,157.0,,,5.40,1.18,R16,4-6 6-3 6-4,Nicolas Almagro,11.0,1.0,6196951.0,206665.0,,1.181,Nicolas Almagro,88.0,3.0,2.0,86.0,30.0,71.0,44.0,40.0,27.0,18.0,,,,,,1.0,157.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
10,H2H 1-0,Federico Delbonis,11.0,5.0,6196950.0,206652.0,,1.417,Federico Delbonis,123.0,12.0,5.0,113.0,49.0,121.0,84.0,59.0,37.0,15.0,,,,,,2.0,234.0,,,1.42,3.14,R16,1-6 7-6(5) 7-6(7),Taro Daniel,2.0,1.0,6196950.0,206651.0,,3.14,Taro Daniel,111.0,11.0,3.0,121.0,47.0,113.0,84.0,49.0,29.0,15.0,,,,,,1.0,234.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
11,H2H 4-0,Paolo Lorenzi,4.0,0.0,6196949.0,206590.0,,2.46,Paolo Lorenzi,100.0,11.0,5.0,104.0,45.0,95.0,55.0,36.0,40.0,19.0,,,,,,2.0,199.0,,,2.46,1.60,R16,3-6 7-5 6-4,Guillermo Garcia-Lopez,5.0,1.0,6196949.0,206589.0,,1.6,Guillermo Garcia-Lopez,99.0,9.0,6.0,95.0,40.0,104.0,62.0,39.0,42.0,20.0,,,,,,1.0,199.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
12,H2H 4-1,Marcel Granollers,3.0,1.0,6196948.0,206596.0,,1.8,Marcel Granollers,83.0,4.0,2.0,84.0,27.0,89.0,55.0,39.0,34.0,17.0,,,,,,2.0,173.0,,,1.80,2.10,R16,7-6(7) 7-6(2),Santiago Giraldo,11.0,3.0,6196948.0,206595.0,,2.1,Santiago Giraldo,90.0,3.0,2.0,89.0,33.0,84.0,45.0,39.0,39.0,18.0,,,,,,1.0,173.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
13,H2H 4-1,Horacio Zeballos,1.0,1.0,6196947.0,206654.0,,1.94,Horacio Zeballos,51.0,5.0,0.0,59.0,16.0,61.0,42.0,24.0,19.0,11.0,,,,,,2.0,120.0,,,1.94,1.94,R16,6-2 6-4,Daniel Gimeno-Traver,9.0,0.0,6196947.0,206653.0,,1.94,Daniel Gimeno-Traver,69.0,9.0,3.0,61.0,26.0,59.0,40.0,32.0,19.0,11.0,,,,,,1.0,120.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
14,H2H 2-0,Tommy Robredo,7.0,3.0,6196946.0,206592.0,,1.27,Tommy Robredo,92.0,2.0,1.0,85.0,20.0,106.0,65.0,49.0,41.0,23.0,,,,,,2.0,191.0,,,1.27,4.10,R16,3-6 7-6(8) 6-4,Leonardo Mayer,5.0,4.0,6196946.0,206591.0,,4.1,Leonardo Mayer,99.0,3.0,1.0,106.0,34.0,85.0,56.0,44.0,29.0,21.0,,,,,,1.0,191.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
15,H2H 2-2,Stephane Robert,3.0,4.0,6197470.0,206550.0,,1.94,Stephane Robert,83.0,7.0,3.0,81.0,30.0,95.0,51.0,31.0,44.0,22.0,,,,,,2.0,176.0,,,1.94,1.94,R32,2-6 6-3 6-3,Aljaz Bedene,13.0,4.0,6197470.0,206549.0,,1.94,Aljaz Bedene,93.0,10.0,4.0,95.0,42.0,81.0,43.0,34.0,38.0,17.0,,,,,,1.0,176.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
16,H2H 1-1,Filippo Volandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,6-0 3-6 6-1,Pablo Carreno Busta,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
17,H2H 2-0,Christian Garin,2.0,1.0,6196958.0,206607.0,,4.9,Christian Garin,50.0,5.0,1.0,60.0,21.0,60.0,39.0,22.0,21.0,7.0,,,,,,1.0,120.0,,,4.90,1.21,R32,7-5 6-0,Jeremy Chardy,5.0,0.0,6196958.0,206608.0,,1.21,Jeremy Chardy,70.0,9.0,5.0,60.0,31.0,60.0,34.0,25.0,26.0,14.0,,,,,,2.0,120.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
18,H2H 1-0,Albert Ramos-Vinolas,2.0,3.0,6198736.0,206552.0,,1.76,Albert Ramos-Vinolas,55.0,5.0,0.0,61.0,16.0,61.0,39.0,26.0,22.0,13.0,,,,,,2.0,122.0,,,1.76,2.16,R32,6-3 6-4,Martin Alund,3.0,0.0,6198736.0,206551.0,,2.16,Martin Alund,67.0,6.0,2.0,61.0,22.0,61.0,39.0,31.0,22.0,14.0,,,,,,1.0,122.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
19,H2H 1-1,Thomaz Bellucci,5.0,2.0,6197923.0,206558.0,,1.166,Thomaz Bellucci,56.0,3.0,1.0,68.0,26.0,55.0,29.0,19.0,26.0,11.0,,,,,,2.0,123.0,,,1.17,5.80,R32,6-3 6-3,Taro Daniel,1.0,3.0,6197923.0,206557.0,,5.8,Taro Daniel,67.0,9.0,4.0,55.0,25.0,68.0,44.0,29.0,24.0,13.0,,,,,,1.0,123.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
20,H2H 1-3,Pablo Cuevas,4.0,1.0,6198514.0,206537.0,,2.35,Pablo Cuevas,53.0,1.0,0.0,53.0,12.0,69.0,41.0,26.0,28.0,15.0,,,,,,1.0,122.0,,,2.35,1.65,R32,6-3 6-4,Federico Delbonis,4.0,2.0,6198514.0,206538.0,,1.65,Federico Delbonis,69.0,5.0,2.0,69.0,28.0,53.0,32.0,28.0,21.0,13.0,,,,,,2.0,122.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
21,H2H 2-2,Julian Reister,0.0,5.0,6197876.0,206474.0,,2.94,Julian Reister,109.0,17.0,5.0,99.0,43.0,126.0,85.0,50.0,41.0,16.0,,,,,,2.0,225.0,,,2.94,1.45,R32,3-6 6-4 6-4,Guillermo Garcia-Lopez,2.0,6.0,6197876.0,206473.0,,1.45,Guillermo Garcia-Lopez,116.0,24.0,6.0,126.0,60.0,99.0,53.0,38.0,46.0,18.0,,,,,,1.0,225.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
22,H2H 7-0,Alejandro Gonzalez,3.0,1.0,6197834.0,206540.0,,2.18,Alejandro Gonzalez,44.0,3.0,0.0,49.0,17.0,58.0,28.0,14.0,30.0,13.0,,,,,,2.0,107.0,,,2.18,1.75,R32,6-2 6-1,Paolo Lorenzi,1.0,0.0,6197834.0,206539.0,,1.75,Paolo Lorenzi,63.0,8.0,5.0,58.0,31.0,49.0,37.0,24.0,12.0,8.0,,,,,,1.0,107.0,,,2014-02-03,https://matchstat.com/tennis/tournaments/m/Vina%20del%20Mar/2014,Vina del Mar
