,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-0,Jeff Borowiak,F,6-2 6-4,I. Nastase,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
1,H2H 1-0,Alex Metreveli,SF,6-2 4-6 6-1,Jeff Borowiak,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
2,H2H 6-3,J. Alexander,SF,7-5 6-2,I. Nastase,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
3,H2H 2-2,Bjorn Borg,QF,3-6 6-3 6-4,Jeff Borowiak,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
4,H2H 2-1,J. Kodes,QF,4-6 6-4 6-1,Alex Metreveli,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
5,H2H 2-1,Andrew Pattison,QF,6-4 7-6,J. Alexander,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
6,H2H 3-2,Wojtek Fibak,QF,6-3 6-1,I. Nastase,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
7,H2H 1-1,P. Dent,R16,6-4 6-1,Bjorn Borg,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
8,H2H 3-2,Billy Martin,R16,6-3 5-7 6-2,Jeff Borowiak,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
9,H2H 1-0,Kim Warwick,R16,6-2 4-6 6-2,Alex Metreveli,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
10,H2H 5-2,Karl Meiler,R16,7-5 6-1,J. Kodes,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
11,H2H 2-0,Bob Giltinan,R16,7-6 2-6 6-4,J. Alexander,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
12,H2H 2-0,Crealy,R16,7-5 3-6 7-6,Andrew Pattison,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
13,H2H 3-0,Jiri Hrebec,R16,6-4 5-7 6-3,Wojtek Fibak,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
14,H2H 7-2,Z. Franulovic,R16,6-3 6-2,I. Nastase,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
15,,W Fibak / K Meiler,F,6-3 6-4,J Alexander / P Dent,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
16,,B Borg / B Giltinan,SF,6-4 6-7 6-4,J Alexander / P Dent,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
17,,A Pattison / K Warwick,SF,2-6 7-5 7-6,W Fibak / K Meiler,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
18,,Z Franulovic / B Martin,QF,WO,J Alexander / P Dent,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
19,,J Hrebec / J Kodes,QF,6-4 6-4,B Borg / B Giltinan,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
20,,J Borowiak / C Crealy,QF,6-7 6-4 6-3,A Pattison / K Warwick,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
21,,A Metreveli / I Nastase,QF,6-3 2-6 6-0,W Fibak / K Meiler,1976-01-12,https://matchstat.com/tennis/tournaments/m/WCT%20Atlanta/1976,WCT Atlanta
