,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-8,G. Vilas,F,4-6 7-5 7-5 2-6 6-3,Paul McNamee,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
1,H2H 3-0,Jimmy Arias,SF,7-5 3-6 6-1,G. Vilas,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
2,H2H 3-1,Kevin Curren,SF,3-6 6-3 6-3,Paul McNamee,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
3,H2H 6-2,Bill Scanlon,QF,6-2 6-0,G. Vilas,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
4,H2H 2-1,Vijay Amritraj,QF,6-3 6-3,Jimmy Arias,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
5,H2H 1-0,Mario Martinez,QF,6-1 6-1,Kevin Curren,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
6,H2H 3-0,John Sadri,QF,3-6 6-3 6-4,Paul McNamee,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
7,H2H 5-1,Dick Stockton,R16,6-2 6-4,G. Vilas,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
8,H2H 1-0,Jose-Luis Damiani,R16,6-2 6-3,Bill Scanlon,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
9,H2H 1-0,F. Stolle,R16,6-4 7-6,Jimmy Arias,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
10,H2H 1-0,Andy Andrews,R16,6-3 7-5,Vijay Amritraj,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
11,H2H 1-0,Terry Moor,R16,2-6 7-5 6-1,Mario Martinez,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
12,H2H 3-1,Balazs Taroczy,R16,6-3 6-2,Kevin Curren,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
13,H2H 4-1,Mark Edmondson,R16,6-3 4-6 6-3,John Sadri,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
14,H2H 2-0,Peter McNamara,R16,7-6 4-6 6-4,Paul McNamee,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
15,,V Amritraj / F Stolle,F,7-5 6-2,A Amritraj / T Giammalva,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
16,,K Curren / F McMillan,SF,6-4 6-4,A Amritraj / T Giammalva,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
17,,W Maze / M Mitchell,SF,6-3 6-3,V Amritraj / F Stolle,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
18,,P McNamara / P McNamee,QF,6-4 3-6 6-2,K Curren / F McMillan,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
19,,J Damiani / B Prajoux,QF,6-2 6-3,A Amritraj / T Giammalva,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
20,,T Moor / B Taroczy,QF,6-4 6-4,W Maze / M Mitchell,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
21,,A Andrews / J Sadri,QF,6-3 7-5,V Amritraj / F Stolle,1982-11-01,https://matchstat.com/tennis/tournaments/m/WCT%20Baltimore/1982,WCT Baltimore
