,loser,round,score,winner,start_date,tournament_link,tournament_name
0,C Drysdale / A Gimeno,F,7-6 6-2 6-2,Z Franulovic / J Gisbert,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
1,B Bowrey / D Davidson,SF,6-3 6-1,Z Franulovic / J Gisbert,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
2,T Okker / M Riessen,SF,7-5 6-1,C Drysdale / A Gimeno,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
3,R Emerson / R Laver,QF,4-6 7-5 7-6,B Bowrey / D Davidson,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
4,B Maud / S Stone,QF,6-4 5-7 6-3,Z Franulovic / J Gisbert,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
5,K Rosewall / F Stolle,QF,6-4 6-2,C Drysdale / A Gimeno,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
6,A Ashe / B Lutz,QF,7-6 7-6,T Okker / M Riessen,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
7,L Bruguera / J Gisbert,R16,7-6 6-1,R Emerson / R Laver,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
8,M Mandarino / J Pinto Bravo,R16,6-4 6-3,B Bowrey / D Davidson,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
9,B Carmichael / R Ruffels,R16,7-5 7-6,B Maud / S Stone,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
10,I El Shafei / B Fairlie,R16,3-6 6-3 7-6,Z Franulovic / J Gisbert,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
11,A Munoz / O Orantes,R16,6-3 6-1,C Drysdale / A Gimeno,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
12,J Borowiak / T Leonard,R16,6-7 6-4 7-6,K Rosewall / F Stolle,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
13,J Newcombe / R Taylor,R16,6-2 3-6 6-2,A Ashe / B Lutz,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
14,J Barclay / B Mignot,R16,6-3 6-2,T Okker / M Riessen,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
15,M Cox / G Stilwell,R32,6-4 6-3,M Mandarino / J Pinto Bravo,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
16,R Barth / T Ulrich,R32,7-6 6-2,B Carmichael / R Ruffels,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
17,E Alvarez / T Ryan,R32,6-2 6-3,B Maud / S Stone,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
18,J Alexander / P Dent,R32,7-5 7-5,Z Franulovic / J Gisbert,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
19,L Hoad / M Santana,R32,WO,I El Shafei / B Fairlie,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
20,H Elschenbroich / M Mulligan,R32,6-2 6-2,A Munoz / O Orantes,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
21,J Moreno-tallada / R Riba,R32,6-1 6-4,C Drysdale / A Gimeno,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
22,C Crealy / F McMillan,R32,6-1 7-5,J Borowiak / T Leonard,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
23,C Pasarell / N Pilic,R32,6-7 6-4 6-2,K Rosewall / F Stolle,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
24,J Arilla / J Guerrero,R32,6-3 6-3,A Ashe / B Lutz,1971-10-18,https://matchstat.com/tennis/tournaments/m/WCT%20Barcelona/1971,WCT Barcelona
