,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Lloyd Bourne,F,6-3 6-4 5-7 6-2,Tomas Smid,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
1,H2H 1-0,Drew Gitlin,SF,6-4 6-4,Tomas Smid,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
2,H2H 1-0,Carlos Kirmayr,SF,6-2 6-0,Lloyd Bourne,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
3,H2H 3-1,Corrado Barazzutti,QF,6-3 6-4,Tomas Smid,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
4,H2H 1-0,Peter Elter,QF,6-4 6-3,Drew Gitlin,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
5,H2H 2-0,Pavel Slozil,QF,6-4 6-3,Lloyd Bourne,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
6,H2H 2-2,Wojtek Fibak,QF,1-6 6-3 6-4,Carlos Kirmayr,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
7,H2H 2-2,Christophe Roger-Vasselin,R16,6-3 6-2,Tomas Smid,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
8,H2H 1-0,Roland Stadler,R16,3-6 6-2 6-3,Corrado Barazzutti,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
9,H2H 2-0,Andy Andrews,R16,6-2 6-3,Drew Gitlin,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
10,H2H 1-0,Chris Johnstone,R16,2-6 6-3 7-5,Peter Elter,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
11,H2H 3-0,Jose Lopez-Maeso,R16,7-6 6-4,Pavel Slozil,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
12,H2H 1-0,Per Hjertquist,R16,6-2 7-6,Lloyd Bourne,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
13,H2H 1-0,Fritz Buehning,R16,7-5 6-1,Carlos Kirmayr,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
14,H2H 1-1,Rick Meyer,R16,6-3 5-7 6-4,Wojtek Fibak,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
15,H2H 3-1,Victor Amaya,R32,6-4 6-3,Tomas Smid,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
16,H2H 1-0,Denis Naegelen,R32,6-2 7-6,Christophe Roger-Vasselin,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
17,H2H 1-0,Leo Palin,R32,6-2 6-3,Roland Stadler,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
18,H2H 1-0,Mike Estep,R32,6-2 7-5,Corrado Barazzutti,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
19,H2H 1-0,Bill Scanlon,R32,6-3 3-6 6-1,Andy Andrews,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
20,H2H 1-0,Colin Dowdeswell,R32,6-4 7-6,Drew Gitlin,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
21,H2H 1-0,Gianni Ocleppo,R32,6-1 6-1,Chris Johnstone,1982-07-26,https://matchstat.com/tennis/tournaments/m/WCT%20Cap%20d%27Agde/1982,WCT Cap d'Agde
