,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-4,Bill Scanlon,F,6-2 2-6 6-3 6-4,Wojtek Fibak,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
1,H2H 7-8,G. Vilas,SF,6-4 3-6 6-4,Wojtek Fibak,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
2,H2H 2-2,Tom Gullikson,SF,3-6 6-3 6-2,Bill Scanlon,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
3,H2H 3-0,Terry Moor,QF,6-3 6-4,G. Vilas,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
4,H2H 2-6,Harold Solomon,QF,4-6 6-4 6-3,Wojtek Fibak,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
5,H2H 2-2,Balazs Taroczy,QF,6-4 3-6 6-4,Bill Scanlon,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
6,H2H 1-1,Jose Luis Clerc,QF,6-4 7-6,Tom Gullikson,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
7,H2H 2-1,Mark Dickson,R16,2-6 6-4 6-4,G. Vilas,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
8,H2H 4-5,Eddie Dibbs,R16,3-6 6-4 6-2,Terry Moor,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
9,H2H 2-2,B. Lutz,R16,4-6 6-1 7-5,Wojtek Fibak,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
10,H2H 4-1,Bruce Manson,R16,6-3 6-4,Harold Solomon,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
11,H2H 1-1,Heinz Gunthardt,R16,6-4 7-6,Bill Scanlon,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
12,H2H 1-0,Roscoe Tanner,R16,6-7 6-3 6-4,Balazs Taroczy,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
13,H2H 1-0,Hans Gildemeister,R16,7-6 3-6 6-3,Tom Gullikson,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
14,H2H 2-2,Vijay Amritraj,R16,6-1 6-4,Jose Luis Clerc,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
15,,M Cahill / B Manson,F,3-6 6-2 6-3,A Amritraj / V Amritraj,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
16,,H Gunthardt / B Taroczy,SF,7-5 6-3,A Amritraj / V Amritraj,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
17,,S Meister / C Wittus,SF,7-5 6-2,M Cahill / B Manson,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
18,,M Dickson / T Moor,QF,7-6 6-3,H Gunthardt / B Taroczy,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
19,,H Solomon / R Tanner,QF,WO,A Amritraj / V Amritraj,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
20,,J Clerc / H Gildemeister,QF,WO,S Meister / C Wittus,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
21,,T Delatte / E Fromm,QF,6-7 6-4 6-3,M Cahill / B Manson,1982-11-29,https://matchstat.com/tennis/tournaments/m/WCT%20Chicago/1982,WCT Chicago
