,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 5-3,Peter McNamara,F,6-4 4-6 6-4 7-5,Ivan Lendl,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
1,H2H 6-1,Eliot Teltscher,SF,6-2 3-6 6-4,Ivan Lendl,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
2,H2H 2-6,Jose Luis Clerc,SF,6-2 6-3,Peter McNamara,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
3,H2H 6-0,Paul McNamee,QF,5-7 6-4 6-2,Ivan Lendl,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
4,H2H 4-0,David Carter,QF,6-2 6-3,Eliot Teltscher,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
5,H2H 2-2,Balazs Taroczy,QF,7-5 6-4,Peter McNamara,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
6,H2H 4-5,Jose Higueras,QF,WO,Jose Luis Clerc,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
7,H2H 7-1,Mel Purcell,R16,7-5 7-6,Ivan Lendl,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
8,H2H 2-2,Vijay Amritraj,R16,6-2 6-4,Paul McNamee,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
9,H2H 3-5,Eddie Dibbs,R16,7-5 2-6 6-4,Eliot Teltscher,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
10,H2H 1-1,Bruce Manson,R16,7-6 6-3,David Carter,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
11,H2H 2-2,Bill Scanlon,R16,7-6 6-3,Balazs Taroczy,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
12,H2H 3-1,Victor Pecci,R16,6-3 6-4,Peter McNamara,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
13,H2H 4-1,Christopher Mottram,R16,2-6 7-6 6-3,Jose Higueras,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
14,H2H 3-2,Tomas Smid,R16,7-5 6-1,Jose Luis Clerc,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
15,,T Smid / B Taroczy,F,6-4 7-6,M Purcell / E Teltscher,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
16,,P McNamara / P McNamee,SF,7-6 6-3,M Purcell / E Teltscher,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
17,,A Amritraj / B Scanlon,SF,7-5 6-2,T Smid / B Taroczy,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
18,,C Mottram / E Van Dillen,QF,7-6 6-4,P McNamara / P McNamee,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
19,,D Cahill / N Saviano,QF,6-4 7-6,M Purcell / E Teltscher,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
20,,F Stolle / I Tiriac,QF,7-6 6-2,A Amritraj / B Scanlon,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
21,,D Carter / R Meyer,QF,7-5 6-3,T Smid / B Taroczy,1982-01-25,https://matchstat.com/tennis/tournaments/m/WCT%20Delray%20Beach/1982,WCT Delray Beach
