,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-0,Ross Case,F,7-6 6-2,Jimmy Connors,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
1,H2H 1-3,Brian Gottfried,SF,6-3 6-7 7-6,Ross Case,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
2,H2H 15-2,Raul Ramirez,SF,6-2 7-6,Jimmy Connors,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
3,H2H 4-0,Billy Martin,QF,6-2 6-2,Brian Gottfried,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
4,H2H 1-1,Geoff Masters,QF,6-3 2-6 6-3,Ross Case,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
5,H2H 2-0,C. Pasarell,QF,6-3 6-2,Raul Ramirez,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
6,H2H 7-0,J. Alexander,QF,WO,Jimmy Connors,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
7,H2H 2-1,K. Rosewall,R16,4-6 7-5 6-4,Billy Martin,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
8,H2H 1-0,T. Roche,R16,7-6 6-3,Brian Gottfried,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
9,H2H 1-1,Andrew Pattison,R16,7-5 6-4,Geoff Masters,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
10,H2H 1-0,Vitas Gerulaitis,R16,6-4 6-4,Ross Case,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
11,H2H 2-0,Stone,R16,6-3 6-4,Raul Ramirez,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
12,H2H 1-0,Jeff Borowiak,R16,2-6 7-6 6-3,C. Pasarell,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
13,H2H 1-0,Fred McNair,R16,6-4 4-6 6-2,J. Alexander,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
14,H2H 7-0,P. Dent,R16,6-4 7-5,Jimmy Connors,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
15,,J Connors / B Martin,F,6-7 6-2 7-5,J Alexander / P Dent,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
16,,V Gerulaitis / F McNair,SF,6-2 6-4,J Alexander / P Dent,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
17,,B Gottfried / R Ramirez,SF,5-7 7-6 6-0,J Connors / B Martin,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
18,,T Roche / K Rosewall,QF,6-4 6-4,V Gerulaitis / F McNair,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
19,,J Borowiak / A Pattison,QF,6-4 6-2,J Alexander / P Dent,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
20,,C Pasarell / S Stone,QF,6-2 7-6,J Connors / B Martin,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
21,,R Case / G Masters,QF,7-5 3-6 7-5,B Gottfried / R Ramirez,1976-04-19,https://matchstat.com/tennis/tournaments/m/WCT%20Denver/1976,WCT Denver
