,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-6,Boris Becker,F,6-7 6-1 6-1 6-4,Anders Jarryd,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
1,H2H 3-7,Mats Wilander,SF,6-4 7-5 6-3,Anders Jarryd,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
2,H2H 25-10,Stefan Edberg,SF,7-6 7-6 4-6 7-6,Boris Becker,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
3,H2H 5-0,Johan Kriek,QF,3-6 4-6 7-6 6-3 6-2,Mats Wilander,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
4,H2H 6-4,Joakim Nystrom,QF,6-4 6-2 6-4,Anders Jarryd,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
5,H2H 6-0,Yannick Noah,QF,6-3 7-6 7-6,Stefan Edberg,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
6,H2H 6-0,Paul Annacone,QF,7-5 7-5 6-1,Boris Becker,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
7,H2H 1-6,Brad Gilbert,R16,6-4 6-1 2-6 4-6 6-3,Johan Kriek,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
8,H2H 4-2,Thierry Tulasne,R16,6-3 4-0 Retired,Anders Jarryd,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
9,H2H 1-0,Matt Anger,R16,7-5 6-4 6-2,Yannick Noah,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
10,H2H 2-0,Miloslav Mecir,R16,6-7 6-2 6-3 7-6,Paul Annacone,1986-04-07,https://matchstat.com/tennis/tournaments/m/WCT%20Finals/1986,WCT Finals
