,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 7-2,P. Dent,F,6-7 6-1 6-1,G. Vilas,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
1,H2H 4-1,Sandy Mayer,SF,6-2 6-2,G. Vilas,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
2,H2H 3-6,Roscoe Tanner,SF,6-4 6-4,P. Dent,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
3,H2H 4-4,Harold Solomon,QF,6-2 6-3,G. Vilas,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
4,H2H 1-0,Sherwood Stewart,QF,6-4 6-4,Sandy Mayer,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
5,H2H 3-3,Tom Gorman,QF,6-3 6-4,Roscoe Tanner,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
6,H2H 1-1,Cliff Richey,QF,6-3 2-6 6-0,P. Dent,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
7,H2H 1-1,M. Cox,R16,6-4 6-4,G. Vilas,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
8,H2H 2-1,Cliff Drysdale,R16,1-6 7-6 6-3,Harold Solomon,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
9,H2H 3-1,M. Riessen,R16,6-1 7-5,Sandy Mayer,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
10,H2H 1-0,J. Alexander,R16,6-1 6-7 6-2,Sherwood Stewart,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
11,H2H 4-2,Eddie Dibbs,R16,6-1 6-7 7-5,Roscoe Tanner,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
12,H2H 2-0,J. Fillol,R16,2-6 6-3 6-4,Tom Gorman,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
13,H2H 1-0,Billy Martin,R16,6-3 6-3,P. Dent,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
14,H2H 1-0,Vitas Gerulaitis,R16,6-1 6-0,Cliff Richey,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
15,,E Dibbs / H Solomon,F,6-4 7-5,V Gerulaitis / S Mayer,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
16,,M Riessen / R Tanner,SF,1-6 6-3 7-6,V Gerulaitis / S Mayer,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
17,,B Martin / S Stewart,SF,6-3 4-6 6-4,E Dibbs / H Solomon,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
18,,J Alexander / P Dent,QF,6-3 6-3,M Riessen / R Tanner,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
19,,J Fillol / T Gorman,QF,6-1 6-3,V Gerulaitis / S Mayer,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
20,,M Cox / C Drysdale,QF,6-4 6-4,B Martin / S Stewart,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
21,,C Richey / G Vilas,QF,7-5 6-3,E Dibbs / H Solomon,1976-02-23,https://matchstat.com/tennis/tournaments/m/WCT%20Fort%20Worth/1976,WCT Fort Worth
