,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 6-1,Roscoe Tanner,F,6-0 4-6 6-0 6-4,Johan Kriek,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
1,H2H 2-1,Balazs Taroczy,SF,7-5 6-0,Johan Kriek,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
2,H2H 5-1,John Sadri,SF,4-6 7-6 6-4,Roscoe Tanner,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
3,H2H 2-7,G. Vilas,QF,6-3 6-4,Balazs Taroczy,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
4,H2H 3-1,Brian Teacher,QF,6-4 4-6 6-1,Johan Kriek,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
5,H2H 3-2,Jose Higueras,QF,7-6 6-1,John Sadri,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
6,H2H 4-3,Kim Warwick,QF,4-6 6-3 7-6,Roscoe Tanner,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
7,H2H 8-0,Hans Gildemeister,R16,6-7 6-2 6-4,G. Vilas,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
8,H2H 2-0,Fritz Buehning,R16,4-6 6-3 6-4,Balazs Taroczy,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
9,H2H 2-1,Bruce Manson,R16,6-3 5-7 6-3,Johan Kriek,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
10,H2H 1-4,Eliot Teltscher,R16,6-3 5-7 7-5,Brian Teacher,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
11,H2H 2-0,Pat Du Pre,R16,6-3 1-6 6-1,John Sadri,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
12,H2H 2-3,Raul Ramirez,R16,6-4 6-2,Jose Higueras,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
13,H2H 4-2,B. Lutz,R16,7-5 6-3,Roscoe Tanner,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
14,H2H 1-1,Jose Luis Clerc,R16,WO,Kim Warwick,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
15,,B Lutz / R Ramirez,F,4-6 7-6 6-3,F Buehning / J Kriek,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
16,,I Tiriac / G Vilas,SF,6-4 6-1,B Lutz / R Ramirez,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
17,,S Ball / P Dent,SF,6-4 6-2,F Buehning / J Kriek,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
18,,H Gildemeister / K Warwick,QF,6-1 4-6 6-4,B Lutz / R Ramirez,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
19,,P Du Pre / R Tanner,QF,6-4 7-6,I Tiriac / G Vilas,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
20,,A Amritraj / J Sadri,QF,6-2 3-6 7-6,S Ball / P Dent,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
21,,B Manson / E Teltscher,QF,6-1 7-5,F Buehning / J Kriek,1982-08-09,https://matchstat.com/tennis/tournaments/m/WCT%20La%20Costa/1982,WCT La Costa
