,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 3-0,M. Cox,F,6-7 7-6 6-4,Bjorn Borg,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
1,H2H 1-1,J. Kodes,SF,6-4 6-4,M. Cox,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
2,H2H 10-2,Roscoe Tanner,SF,7-6 4-6 6-3,Bjorn Borg,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
3,H2H 2-0,Bengtson,QF,6-1 7-5,J. Kodes,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
4,H2H 1-0,Stephen Warboys,QF,6-0 7-5,M. Cox,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
5,H2H 2-2,A. Ashe,QF,6-4 7-6,Bjorn Borg,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
6,H2H 1-0,R. Laver,QF,6-3 5-7 6-4,Roscoe Tanner,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
7,H2H 3-2,Eddie Dibbs,R16,6-1 1-6 6-3,J. Kodes,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
8,H2H 2-0,R. Taylor,R16,7-6 7-6,Bengtson,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
9,H2H 3-0,Onny Parun,R16,6-1 6-4,M. Cox,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
10,H2H 1-0,Adriano Panatta,R16,7-6 7-6,Stephen Warboys,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
11,H2H 6-4,Harold Solomon,R16,6-1 6-1,A. Ashe,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
12,H2H 1-0,Tito Vazquez,R16,6-1 7-6,Bjorn Borg,1974-02-18,https://matchstat.com/tennis/tournaments/m/WCT%20London/1974,WCT London
