,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 2-3,John Sadri,F,3-6 7-6 4-6 7-6 6-2,Tomas Smid,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
1,H2H 2-0,Bruce Manson,SF,6-3 7-6,John Sadri,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
2,H2H 5-0,Paul McNamee,SF,6-4 3-6 6-4,Tomas Smid,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
3,H2H 4-1,Jose Luis Clerc,QF,6-1 6-4,Bruce Manson,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
4,H2H 2-0,Balazs Taroczy,QF,6-7 6-4 6-4,John Sadri,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
5,H2H 1-1,Terry Moor,QF,6-4 6-3,Tomas Smid,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
6,H2H 1-0,Tony Giammalva,QF,7-6 6-4,Paul McNamee,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
7,H2H 3-1,Wojtek Fibak,R16,6-3 2-6 7-5,Jose Luis Clerc,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
8,H2H 2-0,Mike Cahill,R16,6-3 6-4,Bruce Manson,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
9,H2H 2-0,Rick Meyer,R16,6-2 6-7 7-5,Balazs Taroczy,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
10,H2H 3-2,Jose Higueras,R16,6-3 7-6,John Sadri,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
11,H2H 2-1,Vincent Van Patten,R16,7-6 6-2,Terry Moor,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
12,H2H 1-6,Sandy Mayer,R16,7-6 6-1,Tomas Smid,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
13,H2H 1-1,Fritz Buehning,R16,6-4 6-4,Paul McNamee,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
14,H2H 1-1,Peter McNamara,R16,6-4 6-7 7-6,Tony Giammalva,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
15,,T Smid / B Taroczy,F,6-4 7-5,S Stewart / F Taygan,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
16,,S Giammalva / R Meyer,SF,7-5 6-1,S Stewart / F Taygan,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
17,,T Moor / J Sadri,SF,7-6 6-4,T Smid / B Taroczy,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
18,,A Amritraj / F Buehning,QF,7-6 6-3,S Stewart / F Taygan,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
19,,J Higueras / B Nichols,QF,6-3 7-5,S Giammalva / R Meyer,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
20,,W Fibak / B Manson,QF,6-3 6-4,T Moor / J Sadri,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
21,,D Cahill / S Mayer,QF,7-6 7-6,T Smid / B Taroczy,1982-01-18,https://matchstat.com/tennis/tournaments/m/WCT%20Mexico%20City/1982,WCT Mexico City
