,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 1-0,Fritz Buehning,F,3-6 6-3 6-4 6-3,Jose Luis Clerc,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
1,H2H 3-1,Wojtek Fibak,SF,6-4 6-4,Jose Luis Clerc,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
2,H2H 3-0,Mark Edmondson,SF,6-0 3-6 6-4,Fritz Buehning,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
3,H2H 1-0,Tom Cain,QF,6-4 6-3,Jose Luis Clerc,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
4,H2H 1-1,John Sadri,QF,2-6 7-6 6-1,Wojtek Fibak,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
5,H2H 1-1,Tomas Smid,QF,6-4 6-3,Mark Edmondson,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
6,H2H 1-2,Peter McNamara,QF,7-5 7-5,Fritz Buehning,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
7,H2H 1-0,Mark Vines,R16,6-2 7-6,Jose Luis Clerc,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
8,H2H 2-0,Jose-Luis Damiani,R16,6-1 6-1,Tom Cain,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
9,H2H 7-0,Vijay Amritraj,R16,6-2 7-6,Wojtek Fibak,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
10,H2H 1-0,Jim Gurfein,R16,6-4 6-0,John Sadri,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
11,H2H 4-0,Kim Warwick,R16,6-2 6-2,Tomas Smid,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
12,H2H 1-0,Rolf Gehring,R16,6-2 6-2,Mark Edmondson,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
13,H2H 2-0,I. Nastase,R16,6-2 6-4,Fritz Buehning,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
14,H2H 2-1,Carlos Kirmayr,R16,6-2 6-4,Peter McNamara,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
15,,S Ball / R Gehring,F,6-4 6-2,M Edmondson / K Warwick,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
16,,W Fibak / T Smid,SF,6-2 7-5,M Edmondson / K Warwick,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
17,,J Chatman / J Gurfein,SF,6-3 6-7 6-3,S Ball / R Gehring,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
18,,V Amritraj / F Buehning,QF,WO,M Edmondson / K Warwick,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
19,,T Cain / M Vines,QF,6-4 6-4,W Fibak / T Smid,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
20,,J Damiani / C Kirmayr,QF,4-6 7-5 7-6,J Chatman / J Gurfein,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
21,,I Nastase / J Sadri,QF,6-7 6-3 6-4,S Ball / R Gehring,1982-02-08,https://matchstat.com/tennis/tournaments/m/WCT%20Richmond/1982,WCT Richmond
