,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 14-1,G. Vilas,F,7-6 6-2,Bjorn Borg,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
1,H2H 1-0,Andrew Pattison,SF,7-5 3-6 6-2,G. Vilas,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
2,H2H 2-1,T. Koch,SF,7-6 6-4,Bjorn Borg,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
3,H2H 10-1,J. Fillol,QF,6-0 6-4,G. Vilas,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
4,H2H 2-2,P. Dent,QF,1-6 6-4 6-1,Andrew Pattison,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
5,H2H 1-0,Ross Case,QF,6-4 6-4,T. Koch,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
6,H2H 5-0,Geoff Masters,QF,6-7 7-5 6-1,Bjorn Borg,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
7,H2H 3-1,Kim Warwick,R16,6-2 6-4,G. Vilas,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
8,H2H 1-0,Luis-Felipe Tavares,R16,6-3 6-4,J. Fillol,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
9,H2H 1-1,C. Pasarell,R16,6-1 1-6 6-4,P. Dent,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
10,H2H 0-2,Sandy Mayer,R16,WO,Andrew Pattison,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
11,H2H 1-2,Tom Gorman,R16,6-7 6-0 6-3,Ross Case,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
12,H2H 1-0,Bob Giltinan,R16,6-0 6-3,T. Koch,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
13,H2H 1-1,Cliff Richey,R16,6-3 7-6,Geoff Masters,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
14,H2H 1-0,Stone,R16,5-7 6-4 6-3,Bjorn Borg,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
15,,C Pasarell / S Stone,F,7-5 6-1,R Case / G Masters,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
16,,T Koch / L Tavares,SF,7-6 6-3,R Case / G Masters,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
17,,J Fillol / T Gorman,SF,7-6 6-1,C Pasarell / S Stone,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
18,,P Dent / B Giltinan,QF,4-6 6-3 6-1,R Case / G Masters,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
19,,S Mayer / C Richey,QF,WO,T Koch / L Tavares,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
20,,B Borg / G Vilas,QF,6-0 7-5,J Fillol / T Gorman,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
21,,A Pattison / K Warwick,QF,6-3 7-6,C Pasarell / S Stone,1976-03-29,https://matchstat.com/tennis/tournaments/m/WCT%20Sao%20Paulo/1976,WCT Sao Paulo
