,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name
0,H2H 8-1,Kevin Curren,F,6-3 3-6 6-2,John McEnroe,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
1,H2H 3-0,David Pate,SF,6-3 6-3,John McEnroe,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
2,H2H 4-2,Todd Witsken,SF,7-5 6-7 6-4,Kevin Curren,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
3,H2H 2-0,Glenn Layendecker,QF,6-2 6-7 6-2,John McEnroe,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
4,H2H 2-0,Jim Grabb,QF,6-3 6-4,David Pate,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
5,H2H 2-1,Marty Davis,QF,6-7 6-1 6-4,Kevin Curren,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
6,H2H 1-1,Sammy Giammalva,QF,6-7 7-5 6-3,Todd Witsken,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
7,H2H 1-0,Jaime Yzaga,R16,6-3 6-4,John McEnroe,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
8,H2H 2-1,Jonathan Canter,R16,7-6 4-6 6-3,Glenn Layendecker,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
9,H2H 2-1,Brian Teacher,R16,6-4 6-4,David Pate,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
10,H2H 1-0,Leonardo Lavalle,R16,6-1 6-3,Jim Grabb,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
11,H2H 3-1,Jimmy Arias,R16,6-3 6-4,Marty Davis,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
12,H2H 8-2,Scott Davis,R16,6-4 7-6,Kevin Curren,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
13,H2H 1-0,Matt Anger,R16,2-6 6-4 7-5,Todd Witsken,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
14,H2H 2-3,Tim Mayotte,R16,4-6 6-4 6-3,Sammy Giammalva,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
15,H2H 2-0,Christo Van Rensburg,R32,6-2 6-4,John McEnroe,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
16,H2H 1-0,Nduka Odizor,R32,6-4 7-5,Jaime Yzaga,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
17,H2H 1-0,Andre Agassi,R32,6-4 7-6,Glenn Layendecker,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
18,H2H 1-0,Dan Cassidy,R32,6-3 6-3,Jonathan Canter,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
19,H2H 3-0,Mike Leach,R32,3-6 6-1 6-2,David Pate,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
20,H2H 3-0,John Sadri,R32,6-7 6-3 7-6,Brian Teacher,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
21,H2H 1-0,Glenn Michibata,R32,6-4 4-6 6-2,Leonardo Lavalle,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
22,H2H 1-2,Paul Annacone,R32,3-6 6-3 6-3,Jim Grabb,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
23,H2H 1-0,Todd Nelson,R32,6-4 6-4,Jimmy Arias,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
24,H2H 2-0,Peter Fleming,R32,6-3 3-6 6-3,Marty Davis,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
25,H2H 4-0,Dan Goldie,R32,4-6 6-3 6-4,Scott Davis,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
26,H2H 2-0,Bud Schultz,R32,6-2 6-2,Kevin Curren,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
27,H2H 1-0,Gary Donnelly,R32,5-7 7-6 6-1,Matt Anger,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
28,H2H 1-1,Mel Purcell,R32,3-6 6-3 6-2,Todd Witsken,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
29,H2H 2-3,Bill Scanlon,R32,7-5 3-6 6-4,Sammy Giammalva,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
30,H2H 2-1,Marcel Freeman,R32,6-3 6-2,Tim Mayotte,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
31,,S Davis / D Pate,F,7-6 6-4,L Lavalle / M Leach,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
32,,P Annacone / C Van Rensburg,SF,6-3 3-6 7-6,S Davis / D Pate,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
33,,P Fleming / J McEnroe,SF,4-6 7-6 7-6,L Lavalle / M Leach,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
34,,G Layendecker / G Michibata,QF,6-4 6-4,P Annacone / C Van Rensburg,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
35,,G Donnelly / B Walts,QF,6-3 4-6 7-6,S Davis / D Pate,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
36,,S Stewart / K Warwick,QF,6-4 6-2,L Lavalle / M Leach,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
37,,J Canter / B Willenborg,QF,6-2 7-5,P Fleming / J McEnroe,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
38,,D Cassidy / M Purcell,R16,6-3 6-2,P Annacone / C Van Rensburg,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
39,,K Richter / R Rudeen,R16,6-1 6-2,G Layendecker / G Michibata,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
40,,B Schultz / T Witsken,R16,6-4 7-6,S Davis / D Pate,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
41,,D Goldie / M Robertson,R16,6-3 6-2,G Donnelly / B Walts,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
42,,S Giammalva / N Odizor,R16,6-4 4-6 6-2,L Lavalle / M Leach,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
43,,M Anger / R Simpson,R16,6-1 6-4,S Stewart / K Warwick,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
44,,J Arias / R Nixon,R16,6-3 1-6 6-2,J Canter / B Willenborg,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
45,,K Curren / M Mitchell,R16,6-2 6-3,P Fleming / J McEnroe,1986-10-06,https://matchstat.com/tennis/tournaments/m/WCT%20Scottsdale/1986,WCT Scottsdale
